ADA;Cardano;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,210393;0,230057;0,206205;0,225214;202.076.000;5.839.139.264
30-05-2018;0,203685;0,218023;0,201184;0,211143;222.612.000;5.474.319.455
29-05-2018;0,175475;0,208739;0,174153;0,20319;185.184.000;5.268.121.463
28-05-2018;0,193696;0,194977;0,174002;0,174783;95.106.200;4.531.611.170
27-05-2018;0,196354;0,196436;0,192322;0,193557;58.991.000;5.018.365.992
26-05-2018;0,199761;0,205492;0,195895;0,196567;60.616.400;5.096.406.474
25-05-2018;0,20906;0,210636;0,19732;0,200655;83.368.000;5.202.396.339
24-05-2018;0,203324;0,213302;0,193109;0,208989;127.678.000;5.418.472.545
23-05-2018;0,224393;0,22615;0,198798;0,202873;124.268.000;5.259.902.581
22-05-2018;0,249397;0,250076;0,223408;0,224408;78.363.296;5.818.242.045
21-05-2018;0,25613;0,261169;0,247134;0,24884;85.090.304;6.451.692.233
20-05-2018;0,243143;0,260785;0,240974;0,256136;101.310.000;6.640.856.139
19-05-2018;0,246199;0,248354;0,238934;0,243271;57.778.000;6.307.304.377
18-05-2018;0,242816;0,246809;0,234781;0,245544;79.212.200;6.366.236.608
17-05-2018;0,257352;0,263111;0,242194;0,243664;83.683.800;6.317.493.716
16-05-2018;0,259082;0,260186;0,24372;0,256375;108.749.000;6.647.052.709
15-05-2018;0,274269;0,27876;0,257697;0,260155;97.408.800;6.745.057.036
14-05-2018;0,285852;0,286088;0,261086;0,273434;161.643.008;7.089.342.605
13-05-2018;0,27164;0,290151;0,264361;0,28589;179.522.000;7.412.290.196
12-05-2018;0,262649;0,28341;0,241278;0,270932;255.480.992;7.024.473.075
11-05-2018;0,296797;0,299462;0,248137;0,260127;348.752.000;6.744.331.078
10-05-2018;0,323879;0,327908;0,296317;0,297089;122.958.000;7.702.647.459
09-05-2018;0,328426;0,328426;0,304458;0,323593;178.122.000;8.389.818.537
08-05-2018;0,335595;0,348219;0,323071;0,328352;142.455.008;8.513.205.465
07-05-2018;0,349948;0,349948;0,323506;0,335176;171.384.992;8.690.131.795
06-05-2018;0,365933;0,365933;0,341467;0,350021;148.186.000;9.075.019.157
05-05-2018;0,361318;0,373605;0,360962;0,366338;139.447.008;9.498.071.167
04-05-2018;0,370777;0,370777;0,350842;0,360182;171.266.000;9.338.464.121
03-05-2018;0,371926;0,389749;0,368789;0,369709;300.814.016;9.585.471.322
02-05-2018;0,357602;0,376704;0,349324;0,37242;272.855.008;9.655.759.610
01-05-2018;0,342953;0,363261;0,323701;0,358693;365.521.984;9.299.858.712
30-04-2018;0,364297;0,364297;0,336625;0,343318;298.712.000;8.901.230.003
29-04-2018;0,36067;0,387901;0,347508;0,365057;671.886.976;9.464.858.589
28-04-2018;0,28713;0,364954;0,28713;0,357874;636.742.016;9.278.624.442
27-04-2018;0,294589;0,307469;0,287786;0,288489;197.183.008;7.479.674.652
26-04-2018;0,270795;0,294972;0,259865;0,294295;220.715.008;7.630.207.224
