XLM;Stellar ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,278473;0,302591;0,273827;0,296652;78.378.600;5.511.516.297
30-05-2018;0,283893;0,295864;0,271554;0,277747;59.599.500;5.160.225.305
29-05-2018;0,253952;0,283321;0,249187;0,282845;62.185.300;5.254.869.643
28-05-2018;0,276329;0,27894;0,252205;0,253582;48.667.900;4.711.101.345
27-05-2018;0,284194;0,284375;0,274538;0,276376;45.604.600;5.134.532.368
26-05-2018;0,288601;0,29488;0,283048;0,284695;40.772.900;5.289.058.498
25-05-2018;0,292986;0,298521;0,283877;0,288069;45.218.800;5.351.728.668
24-05-2018;0,279751;0,29644;0,276007;0,291338;45.262.500;5.412.433.355
23-05-2018;0,300583;0,301912;0,272845;0,280355;39.564.300;5.208.361.469
22-05-2018;0,318612;0,321454;0,301084;0,301084;31.944.800;5.593.406.735
21-05-2018;0,33296;0,33342;0,315671;0,318115;27.528.600;5.909.680.714
20-05-2018;0,317749;0,334381;0,315875;0,33281;30.586.700;6.182.647.215
19-05-2018;0,319639;0,329105;0,312646;0,317234;23.504.200;5.893.275.243
18-05-2018;0,313269;0,319522;0,306723;0,319488;31.108.600;5.935.137.107
17-05-2018;0,335431;0,350488;0,310994;0,313497;31.796.700;5.823.823.801
16-05-2018;0,346798;0,347675;0,323518;0,334677;43.623.300;6.217.251.507
15-05-2018;0,369699;0,373292;0,348445;0,348445;39.801.700;6.472.988.182
14-05-2018;0,376304;0,383316;0,350513;0,36968;58.938.400;6.867.325.954
13-05-2018;0,359814;0,381345;0,357971;0,375852;73.407.904;6.981.954.503
12-05-2018;0,314162;0,364699;0,304241;0,359937;93.267.504;6.686.300.986
11-05-2018;0,353429;0,355498;0,3008;0,314252;80.168.200;5.837.632.969
10-05-2018;0,377714;0,386574;0,353962;0,353962;39.548.400;6.575.266.762
09-05-2018;0,385144;0,388978;0,359381;0,37797;54.383.500;7.021.214.148
08-05-2018;0,396568;0,411193;0,379952;0,386371;50.210.900;7.177.232.907
07-05-2018;0,413665;0,414859;0,381616;0,395702;48.023.200;7.349.028.618
06-05-2018;0,430338;0,432132;0,40805;0,412944;43.793.500;7.669.220.382
05-05-2018;0,431216;0,435669;0,428005;0,430875;44.096.200;8.002.220.722
04-05-2018;0,438234;0,439682;0,425356;0,43114;51.379.800;8.007.124.717
03-05-2018;0,439016;0,442878;0,429411;0,437379;83.481.296;8.122.976.380
02-05-2018;0,439037;0,446807;0,434455;0,439227;68.610.896;8.157.279.931
01-05-2018;0,425853;0,451238;0,397226;0,439733;152.906.000;8.166.623.313
30-04-2018;0,458688;0,460128;0,417446;0,424659;81.453.296;7.886.506.767
29-04-2018;0,429945;0,461518;0,424669;0,458405;156.688.992;8.513.162.207
28-04-2018;0,390447;0,435816;0,390447;0,428918;105.747.000;7.965.525.229
27-04-2018;0,386439;0,425157;0,38391;0,391085;177.676.992;7.262.888.447
26-04-2018;0,341455;0,388597;0,331014;0,387556;152.903.008;7.197.177.341
25-04-2018;0,397897;0,3984;0,329635;0,339517;130.724.000;6.304.992.289
24-04-2018;0,372631;0,407527;0,370864;0,40067;120.285.000;7.440.628.098
23-04-2018;0,367921;0,37505;0,367044;0,372128;57.282.000;6.910.289.168
22-04-2018;0,375207;0,383253;0,365541;0,368139;64.261.400;6.836.209.709
21-04-2018;0,391513;0,398127;0,3484;0,375663;119.787.000;6.975.926.123
20-04-2018;0,366551;0,398048;0,3565;0,391165;170.282.000;7.263.791.134
19-04-2018;0,354726;0,377249;0,34903;0,36612;171.820.000;6.798.564.855
18-04-2018;0,300338;0,353661;0,300338;0,351544;158.384.992;6.527.764.923
17-04-2018;0,284747;0,317498;0,279779;0,300202;112.255.000;5.574.193.666
16-04-2018;0,290237;0,301667;0,272608;0,284156;90.408.600;5.273.857.670
