XMR;Monero;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;154,56;159,17;154,31;155,52;35.146.100;2.501.878.232
30-05-2018;157,6;161,27;152,87;155,23;23.704.800;2.496.706.141
29-05-2018;150,04;166,33;147,93;157,57;51.033.600;2.533.873.619
28-05-2018;166,23;168,22;149,74;149,96;38.161.100;2.410.951.638
27-05-2018;164,47;170,17;161,17;166,08;32.033.800;2.669.603.313
26-05-2018;164,84;168,6;162,99;164,55;17.384.600;2.644.399.184
25-05-2018;171,66;173,66;162,92;164,72;26.129.900;2.646.565.789
24-05-2018;171,21;177,51;160,85;171,49;44.489.500;2.754.772.302
23-05-2018;175,8;179,53;166,33;171,54;49.136.900;2.755.129.010
22-05-2018;198,64;198,95;176,27;176,27;51.057.500;2.830.532.785
21-05-2018;203,83;203,83;194,91;198,74;34.791.200;3.190.644.546
20-05-2018;197,79;205,31;196,6;203,45;34.040.600;3.265.583.092
19-05-2018;203,62;204,21;197,2;197,57;31.524.400;3.170.651.199
18-05-2018;193,02;211,53;187,24;204,05;58.532.500;3.273.886.032
17-05-2018;199,34;204,69;192,92;192,99;44.934.200;3.095.873.995
16-05-2018;204,87;205,11;193,21;199,21;46.385.200;3.194.929.060
15-05-2018;214,69;218,83;203,04;205,17;56.849.200;3.289.843.587
14-05-2018;210,19;219,12;197,33;215,04;56.526.000;3.447.444.624
13-05-2018;202,05;213,78;202,05;209,58;32.021.800;3.359.116.954
12-05-2018;197,57;205,73;192,06;201,96;32.938.200;3.236.419.839
11-05-2018;218,48;218,48;197,65;197,74;48.447.300;3.168.080.696
10-05-2018;227,21;233,27;218,21;218,22;36.197.200;3.495.512.780
09-05-2018;223,82;232,48;216,97;227,52;41.903.700;3.643.688.002
08-05-2018;233,22;234,57;220,23;223,35;33.703.600;3.576.230.452
07-05-2018;235,74;235,84;222,75;233,07;44.546.500;3.731.033.124
06-05-2018;240,88;242,44;232,6;235,49;50.393.500;3.768.995.961
05-05-2018;241,23;245,48;239,72;240,78;73.154.304;3.852.847.483
04-05-2018;246,68;248,4;238,9;241,53;77.875.600;3.863.990.606
03-05-2018;249,34;257,62;242,95;245,98;115.162.000;3.934.424.837
02-05-2018;239,94;252,72;238,84;249,66;83.039.296;3.992.528.815
01-05-2018;242,45;242,45;229,56;240,26;71.420.800;3.841.343.353
30-04-2018;256,35;259,07;239,08;242,46;103.574.000;3.875.582.215
29-04-2018;260,91;262,91;244,05;256,87;92.297.200;4.105.183.265
28-04-2018;251,77;265,51;251,55;261,51;84.646.704;4.178.340.973
27-04-2018;267,29;268,63;251,88;251,88;93.178.896;4.023.636.239
26-04-2018;258,09;277,25;250,21;268,27;153.394.000;4.284.652.704
25-04-2018;293,56;293,56;249,15;257,14;157.435.008;4.106.018.095
24-04-2018;282,18;298,08;280,24;296,04;141.852.000;4.726.092.120
23-04-2018;270,81;287,11;270,81;283,3;110.600.000;4.521.764.826
22-04-2018;257,32;283,99;250,24;271,3;142.363.008;4.329.350.423
21-04-2018;271,41;271,41;240,04;258,18;89.939.200;4.118.666.854
20-04-2018;239,01;271,98;238,51;271,98;128.551.000;4.338.350.444
