DASH;DASH;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;303,42;314,66;300,9;306,25;81.447.904;2.481.254.406
30-05-2018;316,89;319,14;297,97;304,14;74.927.104;2.463.589.131
29-05-2018;288,37;318,53;286,14;316,1;98.299.696;2.559.946.793
28-05-2018;315,96;320,37;288,02;288,44;84.403.696;2.335.386.097
27-05-2018;321,72;322,87;313,18;315,97;85.613.504;2.557.738.563
26-05-2018;339,3;339,48;321,57;321,79;86.956.800;2.604.223.098
25-05-2018;344,45;346,97;329,97;339,71;83.410.200;2.748.621.321
24-05-2018;340,42;348,99;325,95;343,71;93.794.600;2.780.392.632
23-05-2018;360,45;361,04;331,37;340,67;80.860.800;2.755.130.866
22-05-2018;384,6;386,4;359,02;360,39;78.835.696;2.913.949.652
21-05-2018;402,51;404,68;384,66;384,79;85.493.504;3.110.587.580
20-05-2018;386,9;404,25;384,95;402,08;94.187.200;3.249.625.600
19-05-2018;395,93;402,83;385,72;386,53;99.795.000;3.123.221.513
18-05-2018;387,96;396,43;376,92;395,89;125.453.000;3.198.179.209
17-05-2018;413,03;417,8;385,22;387,41;198.663.008;3.128.935.428
16-05-2018;429,32;429,32;399,22;412,6;177.326.000;3.331.616.742
15-05-2018;432,18;451,96;424,23;429,34;174.088.000;3.466.002.913
14-05-2018;416,49;447,55;390,87;432,71;157.680.992;3.492.421.258
13-05-2018;404,11;421,23;395,07;416,84;99.754.096;3.363.601.736
12-05-2018;389,24;409,24;379,01;404,53;77.808.896;3.263.504.720
11-05-2018;421,61;424,12;389,61;394,21;108.972.000;3.179.508.977
10-05-2018;443,15;460,73;420,41;421,34;100.427.000;3.397.588.841
09-05-2018;443,13;446;416,56;443,16;102.561.000;3.572.684.538
08-05-2018;458,76;467;438,34;443,78;98.776.400;3.576.889.004
07-05-2018;485,74;486,01;448,33;457,99;108.330.000;3.690.582.865
06-05-2018;506,06;521,14;482,57;485,22;97.449.000;3.909.156.981
05-05-2018;486,32;508,47;485,69;505,71;113.858.000;4.073.325.150
04-05-2018;502,68;502,68;480;486,32;150.130.000;3.916.238.170
03-05-2018;481,56;511,29;480;503,32;124.091.000;4.052.181.986
02-05-2018;478,17;482,65;461,84;481,49;129.694.000;3.872.724.832
01-05-2018;473,16;478,9;455,47;478,9;101.299.000;3.850.990.786
30-04-2018;498,44;499,43;472,02;472,77;118.497.000;3.800.869.265
29-04-2018;494,3;505,19;478,62;498,69;101.137.000;4.008.355.637
28-04-2018;470,74;500,29;469,61;494,11;101.078.000;3.970.612.935
27-04-2018;504,29;504,29;471,57;472,06;108.192.000;3.792.522.900
26-04-2018;463,11;504,12;450,95;503,86;132.803.000;4.047.072.446
25-04-2018;527,81;528,05;449,23;461,01;125.297.000;3.702.055.798
24-04-2018;504,88;541,29;504,88;530,13;140.408.992;4.256.166.616
23-04-2018;466,9;524,05;460,84;503,39;148.591.008;4.040.545.099
22-04-2018;444,55;478,45;440,24;467,71;100.845.000;3.753.277.069
21-04-2018;461,26;461,26;427,39;444,5;92.526.096;3.566.210.634
20-04-2018;431,57;464,41;426,38;460,41;113.061.000;3.693.054.506
19-04-2018;420,83;433,79;407,43;431,33;104.800.000;3.458.970.126
18-04-2018;363,41;421,93;362,33;421,18;114.930.000;3.376.842.140
17-04-2018;364,04;377,03;360;363,85;76.948.496;2.916.542.661
16-04-2018;381,8;381,8;355,49;363,58;78.933.104;2.913.646.378
15-04-2018;356,67;384,68;356,67;381,7;87.933.504;3.058.233.716
14-04-2018;352,53;374,76;350,53;356,14;77.555.400;2.852.749.589
13-04-2018;355,67;388,31;346,61;353,07;93.868.000;2.827.497.770
12-04-2018;308,94;354;305,76;353,8;89.128.200;2.832.737.041
11-04-2018;299,51;309,42;296,69;309,42;70.827.504;2.476.815.400
10-04-2018;298,65;300,85;293,22;298,81;71.283.200;2.391.341.335
09-04-2018;311,26;321,83;293,13;298,4;69.226.600;2.387.576.526
08-04-2018;297,94;314,1;297,79;310,85;63.050.000;2.486.592.274
07-04-2018;285,72;308,67;285,17;297,8;60.452.100;2.381.621.336
06-04-2018;300,65;302,8;284,21;285,45;61.683.100;2.282.373.594
05-04-2018;300,25;304,66;290,07;301,65;66.728.700;2.411.373.001
04-04-2018;339,84;340,33;298,09;299,85;74.811.696;2.396.349.456
03-04-2018;312,64;342,02;311,93;339,85;90.557.504;2.715.474.953
02-04-2018;292,64;311,81;288,98;311,81;72.383.600;2.488.906.375
01-04-2018;306,21;311,11;285,68;291,53;84.000.096;2.326.519.709
31-03-2018;310,91;328,29;304,43;305,76;72.144.400;2.439.551.831
30-03-2018;328,65;331,36;303,44;311,12;83.525.600;2.481.738.094
29-03-2018;350,85;351,36;317,97;329,28;101.243.000;2.625.985.214
28-03-2018;354,93;368,52;348,56;351,26;107.592.000;2.800.637.743
27-03-2018;390,24;392,19;354,23;354,75;88.373.400;2.827.781.324
26-03-2018;410,73;413,66;372,97;390,87;107.776.000;3.114.957.614
25-03-2018;420,02;423,19;409,39;411,79;102.753.000;3.280.916.459
24-03-2018;432,17;459,2;424,61;424,61;111.372.000;3.382.310.545
23-03-2018;411,27;427,46;392,33;427,46;105.668.000;3.404.207.356
22-03-2018;434,44;438,4;398,59;411,36;96.356.400;3.275.281.129
21-03-2018;429,15;450,64;424,79;434,51;115.173.000;3.458.731.672
20-03-2018;412,49;442,05;399,17;428,88;109.677.000;3.413.062.474
19-03-2018;392,32;409,32;368,52;409,32;113.994.000;3.256.650.746
18-03-2018;388,18;394,15;342,51;394,15;117.296.000;3.135.131.078
17-03-2018;426,3;427,39;383,16;387,28;95.970.496;3.079.752.016
16-03-2018;418,54;432,67;402,88;425,52;97.572.200;3.383.053.777
15-03-2018;425,95;431,43;393,73;418,24;93.514.000;3.324.300.982
14-03-2018;487,36;493,49;419,03;426,26;96.938.400;3.387.172.660
13-03-2018;499,24;514,01;479,87;487,37;83.317.104;3.871.860.286
12-03-2018;531,15;549,33;486,33;501,3;85.381.400;3.981.518.097
11-03-2018;483,6;548,41;469,99;531,8;100.122.000;4.222.769.381
10-03-2018;499,36;528,35;479,01;484,35;91.266.096;3.845.007.858
09-03-2018;492,66;499,86;440,97;499,5;113.806.000;3.964.291.413
08-03-2018;511,74;531,48;484,65;493,82;104.108.000;3.918.214.464
07-03-2018;578,14;586,74;501,81;513,74;108.981.000;4.075.312.019
06-03-2018;613,68;613,68;564,19;578,51;118.674.000;4.587.947.355
05-03-2018;620,88;621,26;608,79;614,58;121.584.000;4.872.770.941
04-03-2018;610;621,47;594,71;620,48;118.065.000;4.918.415.183
