NEO;NEO;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;51,44;54,08;50,92;52,93;85.826.000;3.440.333.000
30-05-2018;52,36;53,31;50,53;51,54;82.723.104;3.350.184.500
29-05-2018;48,12;53,43;47,96;52,11;106.526.000;3.386.883.500
28-05-2018;52,86;53,06;47,96;48,26;92.695.200;3.136.997.500
27-05-2018;52,32;53,03;51,2;52,93;76.785.504;3.440.677.500
26-05-2018;52,74;54,32;51,55;52,26;84.223.296;3.397.082.000
25-05-2018;55,1;56,26;52,01;53,03;93.827.504;3.447.132.000
24-05-2018;52,36;55,12;50,68;54,76;107.696.000;3.559.166.000
23-05-2018;57,45;57,8;51,81;52,47;109.642.000;3.410.433.000
22-05-2018;62,41;62,5;57,1;57,38;95.219.600;3.729.869.000
21-05-2018;63,59;65,85;60,95;62,46;121.919.000;4.059.919.500
20-05-2018;59,23;63,77;58,75;63,51;89.350.200;4.128.007.000
19-05-2018;59,66;60,64;58,15;59,17;79.662.304;3.845.907.000
18-05-2018;57,72;60,28;56,99;59,68;94.202.000;3.879.102.500
17-05-2018;61,94;63,22;57,18;57,82;96.606.600;3.758.456.000
16-05-2018;63,06;63,37;59,88;61,85;99.496.200;4.020.185.000
15-05-2018;66,38;69,34;62,54;63,25;98.810.800;4.111.224.000
14-05-2018;67,82;69,23;63,19;66,46;130.220.000;4.320.095.000
13-05-2018;64,76;69,3;63,15;67,76;105.992.000;4.404.211.500
12-05-2018;63,45;67,61;59,07;64,76;125.551.000;4.209.081.500
11-05-2018;69,96;70,41;61,45;63,4;177.496.992;4.121.052.000
10-05-2018;76,32;76,97;70,18;70,18;126.392.000;4.561.492.000
09-05-2018;77,12;77,21;72,9;76,33;120.422.000;4.961.567.000
08-05-2018;79,57;81,08;76,03;77,08;126.518.000;5.010.206.500
07-05-2018;83,59;83,59;76,5;79,29;157.183.008;5.154.149.000
06-05-2018;84,3;87,94;80,72;83,56;177.590.000;5.431.127.000
05-05-2018;84,31;86,07;84,16;84,36;128.178.000;5.483.549.500
04-05-2018;87,7;87,7;82,56;84,26;153.112.000;5.476.867.500
03-05-2018;84,92;89,68;83,86;87,82;226.830.000;5.708.397.500
02-05-2018;84,41;85,39;82,84;84,79;137.844.000;5.511.337.000
01-05-2018;84,37;84,86;79,32;84,64;180.819.008;5.501.645.500
30-04-2018;92,15;94,76;82,86;84,27;377.384.992;5.477.712.500
29-04-2018;76,59;92,52;76,59;91,07;502.971.008;5.919.667.000
28-04-2018;72,42;78,2;72,42;76,75;143.123.008;4.988.548.500
27-04-2018;77,02;77,31;72,67;72,67;133.132.000;4.723.387.500
26-04-2018;71,56;77,24;69,81;77,19;142.338.000;5.017.044.500
25-04-2018;82,49;82,58;69,03;71,38;232.380.992;4.639.700.000
24-04-2018;76,29;84,44;76,24;83,01;214.076.000;5.395.591.500
23-04-2018;73,65;77,8;73,65;76,22;129.211.000;4.954.573.000
22-04-2018;74,53;77,2;73;73,76;118.189.000;4.794.510.500
21-04-2018;79,1;79,62;71,16;74,99;172.502.000;4.874.493.000
20-04-2018;74,18;79,47;72,56;79,03;184.820.992;5.136.904.500
19-04-2018;72,55;74,79;70,96;74,13;172.656.992;4.818.261.500
18-04-2018;65,71;73,36;65,71;72,84;146.354.000;4.734.645.500
17-04-2018;67,01;69,85;65,66;65,75;104.953.000;4.273.919.000
16-04-2018;70,12;70,77;64,4;66,7;124.354.000;4.335.409.000
15-04-2018;64,33;70,33;64,33;70,33;126.368.000;4.571.534.500
14-04-2018;62,21;65,45;61,75;63,86;90.798.000;4.150.867.500
13-04-2018;66,66;68,1;61,56;62,21;177.671.008;4.043.481.000
12-04-2018;58,38;66,71;54,91;66,71;272.688.992;4.336.150.000
11-04-2018;52,58;59,46;52,32;58,54;178.200.992;3.805.191.000
10-04-2018;53,2;53,2;49,67;52,62;90.631.296;3.420.436.500
09-04-2018;49,37;56,66;49,37;52,93;267.976.992;3.440.502.000
08-04-2018;46,54;49,19;46,54;49,19;44.671.100;3.197.343.500
07-04-2018;44,91;47,81;44,83;46,42;49.786.600;3.017.586.000
06-04-2018;47,05;47,48;44,59;44,94;46.850.100;2.920.989.500
05-04-2018;47,46;47,85;45,85;47,2;63.650.600;3.068.097.500
04-04-2018;53,38;53,63;46,95;47,55;73.956.800;3.090.750.000
03-04-2018;48,98;54,13;48,63;53,64;84.566.304;3.486.704.000
02-04-2018;47,34;50,3;46,79;48,82;62.854.800;3.173.254.500
01-04-2018;50,34;50,59;45,3;47,3;73.349.000;3.074.773.000
31-03-2018;50,43;52,91;49,97;50,13;68.031.800;3.258.125.000
30-03-2018;51,85;53,58;49,1;50,31;114.151.000;3.270.358.000
29-03-2018;57,31;57,4;51,45;51,88;110.023.000;3.372.525.000
28-03-2018;55,34;60,12;55,34;57,24;81.977.504;3.720.366.000
27-03-2018;59,49;60,02;52,51;55,53;145.188.992;3.609.469.500
26-03-2018;65,4;65,93;55,92;59,74;144.888.992;3.882.879.000
25-03-2018;65,19;67,44;63,87;65,43;82.989.200;4.252.813.500
24-03-2018;69,07;70,24;65,73;65,73;102.618.000;4.272.716.500
23-03-2018;69,61;69,61;63,92;68,56;137.020.992;4.456.127.000
22-03-2018;72,81;75,07;66,92;69,64;152.648.000;4.526.470.000
21-03-2018;76,41;77,79;71,52;72,95;177.772.992;4.741.873.500
20-03-2018;73,85;79,56;67,59;76,03;255.944.000;4.941.950.000
19-03-2018;67,19;73,44;62,74;73,44;274.503.008;4.773.606.500
