MIOTA;IOTA;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;1,57;1,81;1,57;1,75;129.956.000;4.875.518.479
30-05-2018;1,59;1,64;1,52;1,57;81.370.200;4.368.420.974
29-05-2018;1,36;1,65;1,34;1,59;115.233.000;4.419.786.694
28-05-2018;1,46;1,47;1,35;1,35;54.854.700;3.761.065.812
27-05-2018;1,48;1,48;1,42;1,46;53.187.200;4.051.387.750
26-05-2018;1,49;1,54;1,46;1,48;47.325.400;4.106.783.788
25-05-2018;1,54;1,58;1,46;1,49;60.063.900;4.143.390.202
24-05-2018;1,49;1,55;1,4;1,53;69.067.296;4.261.964.964
23-05-2018;1,63;1,64;1,41;1,47;83.679.696;4.097.972.677
22-05-2018;1,73;1,74;1,62;1,63;50.660.600;4.536.499.170
21-05-2018;1,83;1,84;1,72;1,72;49.624.200;4.791.354.302
20-05-2018;1,75;1,84;1,74;1,83;47.072.900;5.074.449.461
19-05-2018;1,76;1,81;1,72;1,75;49.493.100;4.858.396.572
18-05-2018;1,72;1,78;1,66;1,76;59.367.100;4.888.888.019
17-05-2018;1,91;1,96;1,69;1,73;75.466.304;4.796.357.456
16-05-2018;2;2;1,82;1,9;80.072.000;5.288.111.954
15-05-2018;1,95;2,09;1,92;2;100.872.000;5.559.755.449
14-05-2018;2,01;2,02;1,84;1,95;83.450.304;5.412.662.706
13-05-2018;1,91;2,03;1,84;2,01;83.447.000;5.590.663.825
12-05-2018;1,85;1,96;1,71;1,9;109.540.000;5.293.615.424
11-05-2018;2,14;2,15;1,8;1,84;141.572.992;5.125.565.023
10-05-2018;2,28;2,31;2,14;2,14;83.346.896;5.960.230.172
09-05-2018;2,44;2,44;2,27;2,28;112.923.000;6.344.944.958
08-05-2018;2,26;2,59;2,25;2,45;333.348.000;6.820.883.929
07-05-2018;2,31;2,31;2,11;2,26;109.952.000;6.276.596.309
06-05-2018;2,38;2,51;2,21;2,3;114.890.000;6.404.037.772
05-05-2018;2,47;2,47;2,31;2,38;101.642.000;6.619.117.825
04-05-2018;2,58;2,59;2,35;2,47;150.327.008;6.863.382.947
03-05-2018;2,27;2,68;2,2;2,6;327.371.008;7.220.246.840
02-05-2018;1,99;2,31;1,94;2,26;166.059.008;6.277.041.033
01-05-2018;1,96;1,98;1,84;1,98;66.547.100;5.516.255.800
30-04-2018;2,04;2,05;1,94;1,96;61.762.500;5.460.053.697
29-04-2018;2,03;2,12;1,94;2,05;83.230.200;5.686.112.895
28-04-2018;1,89;2,09;1,89;2,04;71.172.496;5.658.011.844
27-04-2018;2,05;2,09;1,89;1,9;68.547.104;5.270.378.551
26-04-2018;1,79;2,05;1,73;2,04;84.783.800;5.676.579.106
25-04-2018;2,14;2,14;1,74;1,8;154.364.992;4.994.037.650
24-04-2018;2,13;2,21;2,12;2,15;97.529.200;5.976.379.243
23-04-2018;2;2,18;2;2,13;93.462.000;5.908.781.066
22-04-2018;1,92;2,1;1,89;2,01;95.478.200;5.577.266.489
21-04-2018;1,97;1,99;1,8;1,92;80.024.496;5.348.816.895
20-04-2018;1,77;2;1,74;1,97;109.930.000;5.487.987.977
19-04-2018;1,69;1,78;1,65;1,77;66.210.300;4.915.015.604
18-04-2018;1,55;1,7;1,55;1,69;58.938.900;4.684.953.883
17-04-2018;1,62;1,66;1,54;1,55;57.495.900;4.312.802.573
16-04-2018;1,66;1,69;1,52;1,62;83.770.400;4.499.892.756
15-04-2018;1,44;1,69;1,44;1,67;135.480.992;4.642.037.935
14-04-2018;1,31;1,45;1,29;1,43;47.173.200;3.983.900.755
13-04-2018;1,33;1,5;1,28;1,32;90.093.696;3.658.695.712
12-04-2018;1,07;1,38;1,04;1,34;81.319.296;3.725.904.754
11-04-2018;1,01;1,07;1;1,07;23.924.000;2.979.545.282
10-04-2018;0,990551;1,01;0,967799;1,01;21.163.200;2.803.739.992
09-04-2018;1,02;1,06;0,967257;0,989505;25.263.700;2.750.359.113
08-04-2018;0,981009;1,05;0,981009;1,02;23.121.200;2.840.096.248
07-04-2018;0,935452;1,01;0,934562;0,984719;13.535.500;2.737.056.281
06-04-2018;0,979734;0,995309;0,929204;0,935367;13.385.200;2.599.880.902
05-04-2018;0,990249;0,990948;0,941145;0,982953;19.414.000;2.732.147.630
04-04-2018;1,11;1,11;0,970967;0,990158;20.877.700;2.752.174.146
03-04-2018;1,03;1,12;1,03;1,11;30.602.800;3.089.253.342
02-04-2018;0,995176;1,06;0,990856;1,03;26.124.500;2.875.785.417
01-04-2018;1,08;1,1;0,956615;0,994798;35.953.200;2.765.071.166
31-03-2018;1,11;1,16;1,07;1,08;28.350.300;2.994.443.564
30-03-2018;1,09;1,14;1,05;1,11;37.597.100;3.087.113.104
29-03-2018;1,19;1,19;1,07;1,09;38.707.000;3.038.415.734
28-03-2018;1,17;1,24;1,16;1,19;24.150.200;3.314.061.752
27-03-2018;1,23;1,24;1,16;1,17;29.726.700;3.261.862.173
26-03-2018;1,32;1,33;1,18;1,24;32.849.900;3.437.000.376
25-03-2018;1,31;1,35;1,28;1,32;26.291.200;3.672.982.497
24-03-2018;1,35;1,41;1,33;1,33;29.655.100;3.684.934.477
23-03-2018;1,33;1,34;1,25;1,34;30.507.500;3.715.008.995
22-03-2018;1,37;1,41;1,27;1,33;35.665.500;3.686.685.581
21-03-2018;1,45;1,49;1,34;1,37;57.554.800;3.811.319.719
20-03-2018;1,33;1,52;1,3;1,44;67.039.500;3.990.766.194
19-03-2018;1,24;1,34;1,19;1,33;55.966.600;3.696.413.937
18-03-2018;1,14;1,29;1,06;1,23;111.700.000;3.407.676.332
17-03-2018;1,1;1,15;1,07;1,14;38.853.100;3.176.280.436
16-03-2018;1,1;1,15;1,03;1,1;29.977.700;3.060.596.385
15-03-2018;1,12;1,14;1,04;1,09;43.235.400;3.035.358.250
14-03-2018;1,31;1,37;1,11;1,12;45.727.000;3.126.165.505
13-03-2018;1,34;1,35;1,29;1,31;22.675.600;3.644.575.698
12-03-2018;1,39;1,42;1,28;1,34;27.739.400;3.720.568.056
11-03-2018;1,31;1,43;1,28;1,39;31.315.700;3.862.018.352
10-03-2018;1,4;1,47;1,29;1,31;31.847.500;3.636.181.516
09-03-2018;1,4;1,41;1,2;1,39;58.591.300;3.876.138.366
08-03-2018;1,53;1,55;1,39;1,4;35.024.800;3.883.170.577
07-03-2018;1,7;1,71;1,38;1,53;68.445.504;4.253.709.759
06-03-2018;1,87;1,89;1,66;1,7;61.796.200;4.722.894.471
05-03-2018;1,9;1,9;1,86;1,88;24.413.600;5.218.123.381
04-03-2018;1,86;1,91;1,81;1,89;28.452.300;5.265.542.168
03-03-2018;1,91;1,96;1,85;1,86;25.861.200;5.180.127.203
02-03-2018;1,98;2,01;1,86;1,92;27.602.600;5.326.219.314
01-03-2018;1,85;2,01;1,84;1,97;41.523.600;5.474.646.231
