ETC;Ethereum Classic;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;15,23;15,58;15,04;15,31;122.136.000;1.560.500.252
30-05-2018;15,31;15,5;14,8;15,2;129.317.000;1.549.516.669
29-05-2018;14,51;15,49;14,33;15,22;157.135.008;1.551.361.668
28-05-2018;15,2;15,53;14,31;14,4;147.459.008;1.467.433.570
27-05-2018;15,27;15,35;14,99;15,21;132.207.000;1.549.279.314
26-05-2018;15,2;15,8;15,03;15,25;141.440.992;1.553.878.610
25-05-2018;15,73;15,73;14,88;15,19;141.072.000;1.546.881.772
24-05-2018;14,91;15,73;14,59;15,71;184.862.000;1.599.671.686
23-05-2018;16,5;16,63;14,65;14,95;172.594.000;1.522.642.859
22-05-2018;17,68;17,7;16,46;16,47;133.700.000;1.676.613.932
21-05-2018;18,19;18,23;17,55;17,68;125.063.000;1.799.578.413
20-05-2018;17,7;18,34;17,52;18,16;144.931.008;1.847.876.036
19-05-2018;18;18,11;17,57;17,7;148.970.000;1.801.265.188
18-05-2018;16,93;18,12;16,66;18;178.787.008;1.831.068.357
17-05-2018;17,76;18,33;16,83;17,04;166.820.000;1.733.333.916
16-05-2018;18,2;18,28;17,01;17,76;204.932.000;1.806.661.315
15-05-2018;18,76;19,93;18,21;18,26;239.530.000;1.857.333.095
14-05-2018;18,8;19,1;17,56;18,79;221.006.000;1.910.204.187
13-05-2018;18,12;19,1;17,83;18,73;201.048.000;1.903.940.125
12-05-2018;17,79;18,49;16,53;18,15;258.036.992;1.844.938.503
11-05-2018;19,78;19,84;17,18;17,73;354.950.016;1.801.565.622
10-05-2018;21,51;21,76;19,73;19,74;225.995.008;2.006.424.436
09-05-2018;22,43;22,43;20,47;21,5;293.584.000;2.184.191.206
08-05-2018;23,65;23,75;22,17;22,47;257.408.992;2.282.453.221
07-05-2018;25,45;25,45;22,74;23,64;411.630.016;2.400.993.968
06-05-2018;22,74;25,8;22,72;25,34;666.931.968;2.574.015.402
05-05-2018;22,37;23,19;22,33;22,76;263.167.008;2.311.307.417
04-05-2018;22,72;22,72;21,76;22,4;299.227.008;2.274.105.001
03-05-2018;21,64;23,43;21,48;22,76;370.436.992;2.310.262.706
02-05-2018;21,56;21,75;21,09;21,67;193.015.008;2.199.317.381
01-05-2018;21,86;21,86;20,7;21,58;210.024.992;2.190.162.937
30-04-2018;21,84;22,95;21,42;21,68;351.048.992;2.199.403.283
29-04-2018;21,72;22,26;20,48;21,83;271.380.000;2.214.596.921
28-04-2018;20,57;22,28;20,57;21,73;246.408.992;2.203.911.511
27-04-2018;21,01;21,93;20,24;20,56;273.598.016;2.084.620.973
26-04-2018;18,6;21,54;18,21;21,06;280.513.984;2.135.535.000
25-04-2018;22,11;22,13;18,27;18,58;358.536.000;1.883.211.547
24-04-2018;20,48;22,82;20,46;22,25;320.566.016;2.254.967.708
23-04-2018;18,77;20,75;18,74;20,48;278.155.008;2.075.470.093
22-04-2018;18,66;19,4;18,3;18,79;157.018.000;1.903.688.523
21-04-2018;19,7;19,98;17,73;18,69;216.888.000;1.892.942.103
20-04-2018;18,42;19,76;17,96;19,64;256.292.000;1.988.765.810
19-04-2018;17,63;18,38;17,5;18,38;172.275.008;1.861.604.035
18-04-2018;16,08;17,77;16,08;17,62;200.759.008;1.783.643.678
17-04-2018;16,16;16,74;16,07;16,07;133.100.000;1.626.916.758
16-04-2018;16,73;16,85;15,66;16,12;122.772.000;1.631.393.188
15-04-2018;16,08;16,83;16,03;16,75;121.745.000;1.695.010.294
14-04-2018;15,57;16,31;15,5;16,02;130.820.000;1.621.139.577
13-04-2018;16,06;16,61;15,52;15,61;190.710.000;1.578.753.651
12-04-2018;14,56;16,25;13,8;16,17;211.979.008;1.634.841.227
11-04-2018;13,69;14,6;13,61;14,59;104.725.000;1.475.548.379
10-04-2018;13,65;13,78;13,35;13,65;73.476.000;1.380.096.673
09-04-2018;14,14;14,51;13,35;13,63;94.279.200;1.377.760.900
08-04-2018;13,47;14,48;13,45;14,12;95.690.304;1.426.747.763
07-04-2018;13,15;13,8;13,14;13,47;79.211.104;1.360.822.819
06-04-2018;13,69;13,85;13,04;13,15;84.228.496;1.328.254.703
05-04-2018;13,65;13,81;13,24;13,72;97.405.600;1.385.108.573
04-04-2018;15,12;15,12;13,53;13,64;106.000.000;1.377.470.981
03-04-2018;14,16;15,27;14,02;15,16;140.058.000;1.530.705.773
