XEM;NEM;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,241572;0,247709;0,238188;0,245114;12.045.200;2.206.026.000
30-05-2018;0,238923;0,247984;0,234813;0,241666;15.315.900;2.174.994.000
29-05-2018;0,228418;0,251814;0,227359;0,238668;21.312.100;2.148.012.000
28-05-2018;0,256166;0,257409;0,227476;0,228315;14.242.400;2.054.835.000
27-05-2018;0,259764;0,259764;0,25483;0,256728;8.622.780;2.310.552.000
26-05-2018;0,264087;0,268117;0,258198;0,259076;8.466.730;2.331.684.000
25-05-2018;0,272184;0,273338;0,261342;0,263889;10.265.400;2.375.001.000
24-05-2018;0,261781;0,271983;0,253679;0,271747;14.832.000;2.445.723.000
23-05-2018;0,287784;0,288524;0,258562;0,261433;20.737.100;2.352.897.000
22-05-2018;0,311148;0,311765;0,287475;0,287475;12.907.200;2.587.275.000
21-05-2018;0,322131;0,323688;0,307844;0,311285;12.810.200;2.801.565.000
20-05-2018;0,307633;0,323653;0,305548;0,321398;13.539.800;2.892.582.000
19-05-2018;0,312745;0,31516;0,303839;0,307566;10.598.700;2.768.094.000
18-05-2018;0,302422;0,314336;0,294569;0,312504;14.800.200;2.812.536.000
17-05-2018;0,32785;0,330284;0,300915;0,30394;14.571.600;2.735.460.000
16-05-2018;0,334973;0,336379;0,308866;0,326662;20.936.100;2.939.958.000
15-05-2018;0,368053;0,371488;0,333211;0,335998;20.419.800;3.023.982.000
14-05-2018;0,355596;0,384197;0,33354;0,368996;55.798.800;3.320.964.000
13-05-2018;0,332291;0,359158;0,32597;0,356028;17.116.300;3.204.252.000
12-05-2018;0,320572;0,338638;0,30283;0,33263;22.235.900;2.993.670.000
11-05-2018;0,351545;0,352745;0,302395;0,320185;31.627.100;2.881.665.000
10-05-2018;0,380541;0,382684;0,351925;0,351925;17.493.600;3.167.325.000
09-05-2018;0,377643;0,388323;0,358346;0,379517;20.417.800;3.415.653.000
08-05-2018;0,391219;0,400717;0,369613;0,37816;18.733.400;3.403.440.000
07-05-2018;0,418172;0,418172;0,378504;0,390551;24.381.900;3.514.959.000
06-05-2018;0,426807;0,427184;0,401352;0,418524;24.604.800;3.766.716.000
05-05-2018;0,431253;0,437699;0,424589;0,426755;19.589.700;3.840.795.000
04-05-2018;0,434097;0,436845;0,424241;0,431269;21.333.000;3.881.421.000
03-05-2018;0,420532;0,437737;0,415064;0,43405;37.784.100;3.906.450.000
02-05-2018;0,403381;0,422766;0,397913;0,420621;30.572.500;3.785.589.000
01-05-2018;0,408822;0,408822;0,388932;0,404853;26.075.500;3.643.677.000
30-04-2018;0,42658;0,42658;0,403889;0,40888;25.523.800;3.679.920.000
29-04-2018;0,420597;0,435278;0,401773;0,427005;43.274.300;3.843.045.000
28-04-2018;0,386391;0,425454;0,386391;0,420334;37.733.900;3.783.006.000
27-04-2018;0,401991;0,408412;0,38837;0,388561;38.144.900;3.497.049.000
26-04-2018;0,377831;0,403456;0,362525;0,403456;40.545.100;3.631.104.000
25-04-2018;0,431915;0,453693;0,35536;0,376121;89.480.800;3.385.089.000
24-04-2018;0,394354;0,437799;0,394354;0,434433;64.570.700;3.909.897.000
23-04-2018;0,385145;0,396286;0,382399;0,394801;32.336.500;3.553.209.000
22-04-2018;0,387255;0,401667;0,380189;0,386091;33.013.300;3.474.819.000
21-04-2018;0,406739;0,412009;0,358062;0,388677;62.556.300;3.498.093.000
20-04-2018;0,387246;0,409838;0,376828;0,405268;54.148.200;3.647.412.000
19-04-2018;0,374391;0,388575;0,36999;0,38763;62.521.700;3.488.670.000
18-04-2018;0,338948;0,375668;0,338948;0,375668;89.930.200;3.381.012.000
17-04-2018;0,344922;0,346734;0,327327;0,340167;48.733.200;3.061.503.000
16-04-2018;0,357259;0,372672;0,315593;0,344979;89.113.504;3.104.811.000
15-04-2018;0,306989;0,358358;0,306989;0,358358;83.251.504;3.225.222.000
14-04-2018;0,280179;0,305177;0,278387;0,305177;30.159.900;2.746.593.000
13-04-2018;0,276;0,309298;0,269359;0,282566;60.138.100;2.543.094.000
12-04-2018;0,246282;0,277684;0,236673;0,275733;40.413.700;2.481.597.000
11-04-2018;0,235401;0,247211;0,233022;0,246886;15.445.500;2.221.974.000
10-04-2018;0,229739;0,235359;0,224297;0,235359;12.849.700;2.118.231.000
09-04-2018;0,235835;0,244534;0,223406;0,229289;21.341.700;2.063.601.000
08-04-2018;0,22294;0,23549;0,220521;0,23549;15.325.100;2.119.410.000
07-04-2018;0,219517;0,228065;0,218537;0,222968;12.824.500;2.006.712.000
06-04-2018;0,223908;0,227781;0,21313;0,219099;15.421.400;1.971.891.000
05-04-2018;0,237;0,241623;0,214718;0,224768;46.090.300;2.022.912.000
04-04-2018;0,258314;0,266589;0,224548;0,227384;36.788.000;2.046.456.000
03-04-2018;0,226965;0,261529;0,22594;0,260692;74.217.504;2.346.228.000
02-04-2018;0,209004;0,228825;0,207913;0,226911;28.985.500;2.042.199.000
01-04-2018;0,221523;0,224177;0,198162;0,20879;15.920.600;1.879.110.000
31-03-2018;0,221387;0,229381;0,218697;0,221104;17.615.800;1.989.936.000
30-03-2018;0,220175;0,231469;0,206299;0,220901;27.991.400;1.988.109.000
29-03-2018;0,253712;0,255246;0,221222;0,221222;26.252.300;1.990.998.000
28-03-2018;0,249475;0,258299;0,24832;0,253923;17.816.400;2.285.307.000
27-03-2018;0,264836;0,266302;0,246689;0,249203;23.645.300;2.242.827.000
26-03-2018;0,288446;0,289787;0,255252;0,2661;38.184.800;2.394.900.000
25-03-2018;0,279636;0,311647;0,275051;0,288878;71.368.896;2.599.902.000
24-03-2018;0,279302;0,290183;0,276706;0,282152;42.879.500;2.539.368.000
23-03-2018;0,296295;0,296295;0,268338;0,278787;50.435.000;2.509.083.000
22-03-2018;0,293437;0,311009;0,28014;0,297499;87.736.000;2.677.491.000
21-03-2018;0,309843;0,314733;0,285323;0,290294;104.430.000;2.612.646.000
20-03-2018;0,294834;0,344168;0,278131;0,310745;323.806.016;2.796.705.000
19-03-2018;0,287236;0,314138;0,275261;0,301993;120.826.000;2.717.937.000
18-03-2018;0,283261;0,28596;0,224753;0,281759;72.757.104;2.535.831.000
17-03-2018;0,340714;0,340714;0,279494;0,281779;55.729.900;2.536.011.000
16-03-2018;0,381054;0,386193;0,336487;0,338381;47.704.200;3.045.429.000
15-03-2018;0,420145;0,427301;0,3387;0,376528;96.351.904;3.388.752.000
14-03-2018;0,472692;0,524337;0,391035;0,399253;164.630.000;3.593.277.000
13-03-2018;0,390232;0,477692;0,390232;0,465787;144.068.992;4.192.083.000
12-03-2018;0,35035;0,412719;0,345692;0,390672;90.235.504;3.516.048.000
11-03-2018;0,340915;0,361351;0,334325;0,350379;29.528.800;3.153.411.000
10-03-2018;0,338757;0,357122;0,337643;0,341924;24.086.700;3.077.316.000
09-03-2018;0,340783;0,363011;0,320117;0,33807;57.774.800;3.042.630.000
08-03-2018;0,296244;0,360421;0,283055;0,341636;65.751.000;3.074.724.000
07-03-2018;0,338929;0,34341;0,286299;0,297047;24.605.000;2.673.423.000
06-03-2018;0,352065;0,358341;0,334087;0,339163;26.655.100;3.052.467.000
05-03-2018;0,354704;0,37499;0,336002;0,353482;63.880.400;3.181.338.000
04-03-2018;0,377368;0,377368;0,351159;0,356651;49.838.900;3.209.859.000
03-03-2018;0,394581;0,405506;0,37432;0,377967;35.009.700;3.401.703.000
02-03-2018;0,418319;0,423794;0,393694;0,395159;17.893.800;3.556.431.000
01-03-2018;0,399489;0,416245;0,392158;0,416245;19.529.000;3.746.205.000
