ZEC;Zcash ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;244,55;256,31;238,26;245,67;61.591.600;992.308.562
30-05-2018;253,63;260,73;238,43;251,18;53.620.800;1.012.683.548
29-05-2018;229,26;257,66;223,01;247,92;71.846.000;997.789.075
28-05-2018;263,15;269,14;221,23;228,76;77.346.896;919.093.956
27-05-2018;274,98;276,86;258,29;261,35;57.269.700;1.048.116.407
26-05-2018;283,35;286,96;270,21;277,19;62.077.600;1.109.645.276
25-05-2018;298,02;298,56;275,8;286,23;68.341.504;1.143.815.807
24-05-2018;287,23;300,79;272,58;294,98;106.695.000;1.176.633.118
23-05-2018;314,28;333,03;282,01;288,73;142.578.000;1.149.680.237
22-05-2018;330,26;346,87;312,15;314,88;142.211.008;1.251.520.196
21-05-2018;351,86;352,65;326,83;329,47;89.672.200;1.307.174.284
20-05-2018;344,86;357,94;340,05;352,18;125.868.000;1.394.800.077
19-05-2018;359,33;377,7;343,38;345,2;154.256.992;1.364.622.717
18-05-2018;315,68;365,69;306,07;358,81;235.260.992;1.415.922.653
17-05-2018;367,95;368,85;312,57;315,93;134.332.992;1.244.454.143
16-05-2018;354,39;378,63;327,66;366,85;298.528.992;1.442.345.130
15-05-2018;312,24;386,4;310,9;355,47;419.545.984;1.394.786.521
14-05-2018;261,08;349,56;246,85;312,02;293.688.000;1.222.305.129
13-05-2018;245,58;263,03;243,79;260,84;28.585.200;1.019.932.977
12-05-2018;238,67;253,05;230,34;245,65;38.966.000;958.772.394
11-05-2018;263,64;263,64;238,22;238,83;58.885.700;930.425.540
10-05-2018;276,5;287,7;264,11;264,11;54.034.000;1.027.058.826
09-05-2018;275,35;277,25;265,85;275,95;49.023.000;1.071.169.349
08-05-2018;281,35;290,59;273,13;275,21;53.964.300;1.066.262.018
07-05-2018;291,44;292,14;272,53;281,35;58.105.400;1.088.062.396
06-05-2018;306,64;310,04;288,32;291,23;59.462.900;1.124.219.886
05-05-2018;296,74;309,66;296,74;306,3;61.409.500;1.180.160.475
04-05-2018;308,75;308,75;294,53;296,93;61.999.900;1.141.916.289
03-05-2018;292,92;311,51;291,97;308,42;77.706.896;1.183.937.686
02-05-2018;290,28;294,82;285,77;293,37;60.618.000;1.124.067.489
01-05-2018;285,43;290,49;271,51;290,49;66.730.800;1.110.944.896
30-04-2018;293,48;296,53;284,17;285,14;67.256.896;1.088.460.840
29-04-2018;296,57;302,51;285,01;293,76;63.386.900;1.119.260.622
28-04-2018;282,63;298,5;282,63;296,62;55.599.300;1.128.002.840
27-04-2018;303,44;303,44;281,53;283,37;61.549.400;1.075.595.603
26-04-2018;284,48;302,85;274,74;302,85;67.863.400;1.147.379.409
25-04-2018;318,4;318,4;267,55;283,6;86.984.896;1.072.410.121
24-04-2018;298,18;327,48;298,18;319,66;99.571.800;1.206.498.289
23-04-2018;272,27;297,69;270,27;297,63;79.506.600;1.121.196.159
22-04-2018;270,17;280,59;264,67;272,32;61.057.600;1.023.928.306
21-04-2018;281,8;282,5;256,38;270,64;65.454.300;1.015.670.002
20-04-2018;263,13;285,38;256,07;281,98;80.577.504;1.056.178.338
