MKR;Maker ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;740,03;764,76;734,52;752,74;104.654;465.363.535
30-05-2018;751,51;769,34;731,56;740,53;97.378;457.818.065
29-05-2018;703,19;751,7;695,84;751,36;154.890;464.510.381
28-05-2018;771,08;780,92;701,27;701,75;216.474;433.839.483
27-05-2018;756,75;770,65;741,15;767,89;394.412;474.728.449
26-05-2018;779,66;799,53;755,51;755,51;82.813;467.078.499
25-05-2018;781,83;793,27;761,67;780,38;268.019;482.452.587
24-05-2018;758,74;782,53;736,49;781,23;251.658;482.980.554
23-05-2018;858,3;866,59;746,69;760,67;1.293.800;470.267.936
22-05-2018;903,36;905,67;855,27;859,02;550.632;531.070.637
21-05-2018;923,87;931,03;898,22;904,69;213.875;559.302.008
20-05-2018;894,06;945,23;886,09;922,77;359.353;570.484.512
19-05-2018;906,89;918,83;883,39;893,81;181.159;552.580.018
18-05-2018;868,44;909,06;858,28;907,4;56.991;560.980.497
17-05-2018;900,24;914,3;862,84;868,32;57.979;536.822.010
16-05-2018;926,87;929,82;871,59;899,51;201.531;556.101.443
15-05-2018;957,23;976,55;917,32;927,68;322.976;573.520.629
14-05-2018;990,55;992,92;950,9;958,85;480.194;592.790.170
13-05-2018;937,46;997,28;930,84;991,02;195.475;612.674.848
12-05-2018;950,01;957,02;899,64;938,13;294.540;579.979.873
11-05-2018;1.071,24;1.071,24;952,77;952,77;510.666;589.025.781
10-05-2018;1.025,05;1.112,16;1.016,19;1.070,39;2.043.870;661.744.823
09-05-2018;1.007,16;1.053,88;977,52;1.024,29;164.928;633.244.523
08-05-2018;1.029,14;1.037,71;997,31;1.008,54;162.549;623.507.435
07-05-2018;1.068,58;1.078,20;972,54;1.026,06;223.153;634.338.786
06-05-2018;1.161,75;1.162,32;974,86;1.066,23;721.690;659.172.995
05-05-2018;1.144,30;1.194,44;1.082,48;1.154,58;1.337.290;713.793.419
04-05-2018;1.132,16;1.184,22;1.107,90;1.143,79;358.328;707.122.741
03-05-2018;1.038,69;1.145,04;1.037,58;1.141,70;218.963;705.830.645
02-05-2018;1.041,01;1.063,11;1.029,54;1.038,97;176.261;642.320.106
01-05-2018;1.051,01;1.051,01;1.003,65;1.042,01;97.283;644.199.519
30-04-2018;1.075,43;1.077,00;1.046,61;1.048,72;131.845;648.347.827
29-04-2018;1.064,56;1.081,17;1.038,98;1.075,23;601.462;664.737.045
28-04-2018;990,18;1.077,75;990,05;1.064,61;174.175;658.171.466
27-04-2018;1.012,26;1.055,39;989,48;996,33;135.676;615.957.638
26-04-2018;905,87;1.015,48;890,07;1.010,22;507.992;624.546.058
25-04-2018;1.046,34;1.046,34;898,27;898,27;1.086.360;555.332.368
24-04-2018;960,51;1.047,54;960,51;1.047,54;1.445.500;647.618.318
23-04-2018;920,55;959,67;919,74;926,9;521.808;573.035.938
22-04-2018;903,13;941,45;890,3;923,29;239.192;570.802.900
21-04-2018;910,54;918,99;882,91;908,37;193.786;561.580.796
20-04-2018;851,16;921,99;847,54;909,99;187.741;562.584.180
19-04-2018;776,08;877,7;773,07;851,54;444.714;526.445.675
18-04-2018;750,37;797,28;748,75;775,74;500.472;479.582.774
17-04-2018;741,57;770,4;738,92;749,9;151.414;463.608.387
16-04-2018;771,21;775,04;732,71;742,04;234.067;458.747.262
15-04-2018;716,89;770,71;716,89;770,71;179.877;476.476.798
14-04-2018;698,15;754,71;693,54;717,08;162.168;443.318.769
13-04-2018;660,71;732,19;644,03;698,51;382.834;431.839.516
12-04-2018;589,8;663,5;582,9;660,29;226.496;408.212.087
11-04-2018;569,93;591,49;560,1;591,49;839.176;365.675.544
10-04-2018;530,76;568,91;524,41;568,91;248.767;351.713.488
09-04-2018;527,12;557,09;515,18;530,82;218.185;328.165.810
08-04-2018;512,14;535,77;503,17;526,41;41.781;325.442.517
07-04-2018;484,11;519,1;481,21;511,93;75.473;316.488.724
06-04-2018;500,65;505,82;475,44;484,15;111.595;299.313.120
05-04-2018;502,11;506,33;478,8;502,49;65.316;310.651.418
04-04-2018;526,63;541,18;487,4;503,57;54.718;311.319.104
03-04-2018;503,19;535,36;500,88;526,3;96.666;325.374.512
02-04-2018;490,15;515,49;487,88;504,46;63.934;311.871.799
01-04-2018;517,66;523,06;473,2;488,91;56.166;302.258.357
31-03-2018;509,12;538,91;506,34;517,55;58.319;319.963.782
30-03-2018;496,89;525,23;474,42;513,58;114.540;317.511.273
29-03-2018;582,04;619,28;465,96;498,16;1.943.640;307.977.582
28-03-2018;587,05;604,7;578,2;580,03;209.768;358.593.126
27-03-2018;637,89;647,75;583,49;590,98;132.833;365.360.866
26-03-2018;679,49;684,3;608,78;643,26;208.885;397.681.814
