ETH;Ethereum;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;558,5;585,54;557,07;577,65;1.985.040.000;57.643.138.807
30-05-2018;566,83;583,14;545,43;559,59;2.053.970.048;55.829.809.817
29-05-2018;516,15;572,26;516,15;565,39;2.330.820.096;56.396.587.656
28-05-2018;573,04;576,05;512,55;516,04;2.356.900.096;51.463.146.627
27-05-2018;588,52;590,33;562,87;572,67;1.788.790.016;57.099.072.056
26-05-2018;587,43;606,17;583,51;587,28;1.694.300.032;58.544.016.481
25-05-2018;602,14;617,19;575,62;586,73;2.110.919.936;58.477.440.268
24-05-2018;584,54;610,82;557,21;601,76;2.791.099.904;59.962.094.302
23-05-2018;646,67;651,64;572,95;583,59;2.995.429.888;58.139.666.822
22-05-2018;700,18;700,98;644,03;647,74;2.230.469.888;64.517.663.406
21-05-2018;717,19;719,28;692,49;699,22;2.005.170.048;69.631.032.596
20-05-2018;697,92;723,75;692,67;715,37;2.156.910.080;71.224.213.260
19-05-2018;695,07;715,58;686,79;696,53;2.021.549.952;69.334.147.807
18-05-2018;672,1;695,03;663,81;694,37;2.305.740.032;69.104.455.849
17-05-2018;708,72;718,83;668,83;672,66;2.350.619.904;66.929.938.612
16-05-2018;708,09;710,2;682,54;707,05;2.476.130.048;70.337.446.111
15-05-2018;731,14;739,05;700,99;708,87;2.523.069.952;70.504.110.201
14-05-2018;732,73;742,17;695,79;730,55;3.005.110.016;72.645.181.706
13-05-2018;687,17;741,31;675,32;733,5;2.362.500.096;72.923.278.119
12-05-2018;679,88;691,41;644,07;686,05;2.668.480.000;68.192.028.458
11-05-2018;727,01;736,98;669,83;679,59;3.290.080.000;67.535.702.572
10-05-2018;752,58;766,75;726,66;727,28;2.748.950.016;72.260.117.775
09-05-2018;752,9;759,53;718,47;752,28;2.877.870.080;74.728.439.730
08-05-2018;755,01;774,25;728,13;752,86;2.920.489.984;74.770.813.968
07-05-2018;793,34;795,76;710,18;753,72;4.316.120.064;74.841.655.792
06-05-2018;816,09;835,06;764,88;792,31;3.105.570.048;78.656.662.788
05-05-2018;784,58;827,46;784,24;816,12;3.035.040.000;81.003.446.783
04-05-2018;776,78;803,75;762,63;785,62;3.533.410.048;77.960.306.236
03-05-2018;686,59;784,34;686,59;779,54;4.210.939.904;77.340.839.220
02-05-2018;674,08;688,84;667,42;687,15;2.822.269.952;68.159.979.253
01-05-2018;670,46;674,4;637,54;673,61;2.678.960.128;66.803.233.984
30-04-2018;689,76;694,44;666,12;669,92;2.853.100.032;66.423.712.256
29-04-2018;683,91;697,76;670,51;688,88;2.740.559.872;68.289.153.706
28-04-2018;644,65;691,44;644,65;683,68;2.496.659.968;67.759.208.004
27-04-2018;662,11;684,87;647,03;647,03;2.598.129.920;64.114.105.428
26-04-2018;618,08;663,18;604,01;662,81;2.984.009.984;65.663.946.135
25-04-2018;707,06;707,06;600,21;615,42;4.216.140.032;60.955.966.711
24-04-2018;643,4;708,88;643,4;708,16;3.581.860.096;70.127.342.534
23-04-2018;621,2;646,7;621,03;642,55;2.386.830.080;63.617.020.167
22-04-2018;606,12;640,77;593,87;621,86;2.426.269.952;61.556.034.015
21-04-2018;616;621,89;578,55;605,4;2.612.460.032;59.913.832.194
20-04-2018;567,99;618,72;560,28;615,72;2.849.469.952;60.922.818.296
19-04-2018;524,04;567,89;523,26;567,89;2.256.869.888;56.178.772.001
18-04-2018;503,31;525,09;503,05;524,79;1.762.940.032;51.904.227.886
17-04-2018;511,14;518,03;502,56;502,89;1.760.359.936;49.728.519.115
16-04-2018;532,07;534,2;500,25;511,15;1.758.979.968;50.534.185.799
15-04-2018;502,88;531,7;502,88;531,7;1.726.089.984;52.555.419.462
14-04-2018;492,58;512,02;488,28;501,48;1.519.079.936;49.557.725.333
13-04-2018;493,16;526,47;482,66;492,73;2.419.249.920;48.683.660.481
12-04-2018;430,16;493,06;417,41;492,94;2.519.360.000;48.693.844.481
11-04-2018;415,02;430,54;412,47;430,54;1.439.040.000;42.521.044.920
10-04-2018;399,41;415,89;393,88;414,24;1.196.000.000;40.903.130.396
09-04-2018;400,86;429,25;390,61;398,53;1.478.390.016;39.343.018.191
08-04-2018;385,74;402,59;385,6;400,51;948.488.000;39.530.560.784
07-04-2018;370,38;393,06;369,94;385,31;951.475.008;38.023.057.371
06-04-2018;382,73;385,2;366,91;370,29;967.105.984;36.532.478.896
05-04-2018;379,95;387,72;369,82;383,23;1.210.680.064;37.802.008.408
04-04-2018;416,48;417,47;375,31;380,54;1.287.730.048;37.528.933.631
03-04-2018;387,31;418,97;383,53;416,89;1.363.399.936;41.105.280.498
02-04-2018;379,7;395,17;377,59;386,42;1.102.259.968;38.093.277.842
01-04-2018;397,25;400,53;363,8;379,61;1.256.930.048;37.413.407.420
31-03-2018;395;418,47;392,95;396,46;1.323.920.000;39.066.085.342
30-03-2018;385,9;409,93;368,63;394,64;1.878.130.048;38.879.465.944
29-03-2018;448,08;450,81;385,81;385,97;1.970.230.016;38.016.727.209
28-03-2018;450,29;466,21;444,86;446,28;1.514.179.968;43.948.072.321
27-03-2018;489,59;491,46;449,97;450,12;1.617.939.968;44.316.774.118
26-03-2018;524,29;526,38;470,44;489,95;1.638.880.000;48.228.842.327
25-03-2018;522,7;535,82;515,66;524,29;1.151.170.048;51.598.047.955
24-03-2018;542,57;545,38;526,08;526,44;1.300.009.984;51.799.123.912
23-03-2018;539,86;540,49;512,13;539,62;1.596.349.952;53.084.905.906
22-03-2018;562,1;577,57;523,09;539,7;1.523.459.968;53.082.150.649
21-03-2018;559,1;589,61;550,57;561,73;1.781.270.016;55.237.391.316
20-03-2018;556,72;567,09;521,2;557,17;1.833.680.000;54.777.982.164
19-03-2018;546,63;558,1;519,12;556,73;2.046.790.016;54.722.473.140
18-03-2018;551,64;551,64;460,09;538,64;2.685.499.904;52.934.184.182
17-03-2018;601,68;609,15;549,1;552,78;1.267.810.048;54.312.035.489
16-03-2018;611,78;623,17;587,86;601,67;1.417.350.016;59.103.031.871
15-03-2018;614,84;620,62;579,51;611,3;1.770.460.032;60.037.233.577
14-03-2018;691,22;702,78;594,1;614,29;1.810.560.000;60.318.025.226
13-03-2018;698,15;713,73;682,35;690,83;1.425.959.936;67.819.092.121
12-03-2018;724,41;742,51;683,27;699,83;1.764.999.936;68.688.764.839
11-03-2018;685,31;735,83;668,12;723,34;1.562.680.064;70.981.343.639
10-03-2018;730,16;748,03;682,7;686,89;1.532.960.000;67.390.487.259
09-03-2018;702,2;729,16;648,11;728,92;2.233.019.904;71.498.733.754
08-03-2018;752,57;773,77;696,17;704,6;1.891.640.064;69.098.851.661
07-03-2018;816,27;825,61;726,55;752,83;2.175.419.904;73.813.918.307
06-03-2018;853,82;853,82;809,93;816,95;1.943.069.952;80.083.929.891
05-03-2018;866,85;869,92;853,52;853,68;1.898.489.984;83.667.342.992
04-03-2018;856,19;867,95;840,28;866,68;1.697.939.968;84.923.240.778
03-03-2018;856,71;868,45;855,21;857,22;1.699.369.984;83.979.651.073
02-03-2018;871,76;876,38;852,42;856,85;1.894.419.968;83.925.690.001
01-03-2018;856,01;880,3;851,92;872,2;1.868.519.936;85.410.827.047
