XTZ;Tezos;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;4,94;5,31;4,78;4,83;799.551;-
30-05-2018;4,82;5,29;4,67;5,13;795.714;-
29-05-2018;4,22;4,86;4,18;4,86;746.728;-
28-05-2018;4,35;4,44;4,2;4,22;734.131;-
27-05-2018;4,4;4,71;4,28;4,34;888.253;-
26-05-2018;4,38;4,72;4,34;4,4;850.989;-
25-05-2018;4,11;4,55;4,1;4,39;748.165;-
24-05-2018;3,89;4,12;3,85;4,09;808.681;-
23-05-2018;4,18;4,25;3,85;3,92;686.064;-
22-05-2018;4,5;4,64;4,09;4,18;834.201;-
21-05-2018;4,86;4,91;4,49;4,51;648.977;-
20-05-2018;4,77;5,01;4,75;4,86;719.261;-
19-05-2018;4,7;4,85;4,66;4,76;539.467;-
18-05-2018;4,51;4,73;4,45;4,7;707.950;-
17-05-2018;4,5;4,68;4,45;4,51;838.531;-
16-05-2018;5,02;5,02;4,43;4,51;830.118;-
15-05-2018;5,15;5,46;4,6;5,03;1.396.440;-
14-05-2018;4,31;5,2;4,19;5,13;908.313;-
13-05-2018;3,93;4,9;3,64;4,29;775.378;-
12-05-2018;3,7;3,95;3,54;3,89;606.088;-
11-05-2018;3,85;3,91;3,65;3,71;690.693;-
10-05-2018;3,9;4;3,8;3,84;426.150;-
09-05-2018;3,8;3,99;3,67;3,9;721.042;-
08-05-2018;3,85;3,93;3,72;3,8;635.011;-
07-05-2018;4,03;4,04;3,76;3,84;389.978;-
06-05-2018;4,07;4,21;3,89;4,03;940.943;-
05-05-2018;3,87;4,15;3,87;4,06;685.947;-
04-05-2018;3,92;4,07;3,8;3,89;1.101.230;-
03-05-2018;3,7;3,94;3,62;3,93;864.271;-
02-05-2018;3,63;3,73;3,48;3,71;321.435;-
01-05-2018;3,62;3,66;3,45;3,65;447.033;-
30-04-2018;3,77;3,85;3,5;3,62;921.106;-
29-04-2018;3,73;3,9;3,64;3,77;1.188.380;-
28-04-2018;3,54;3,73;3,41;3,73;930.614;-
27-04-2018;3,51;3,77;3,4;3,55;983.449;-
26-04-2018;3,58;3,59;3,34;3,5;1.079.720;-
25-04-2018;4,18;4,21;3,29;3,62;1.198.230;-
24-04-2018;3,46;4,21;3,45;4,21;1.480.110;-
23-04-2018;3,15;3,49;2,97;3,47;1.126.150;-
22-04-2018;3;3,17;2,94;3,17;490.323;-
21-04-2018;2,99;3,08;2,94;2,98;318.341;-
20-04-2018;3,05;3,2;2,93;2,99;764.020;-
19-04-2018;3,02;3,05;2,91;3,05;438.272;-
18-04-2018;2,84;3,03;2,83;3,02;352.946;-
17-04-2018;3,06;3,09;2,82;2,85;312.086;-
16-04-2018;2,99;3,12;2,92;3,06;314.907;-
15-04-2018;2,87;3,11;2,85;2,99;711.535;-
14-04-2018;2,84;2,93;2,77;2,87;562.631;-
13-04-2018;3,05;3,08;2,79;2,84;561.679;-
12-04-2018;2,67;3,07;2,65;3,05;801.305;-
11-04-2018;2,68;2,73;2,63;2,67;627.519;-
10-04-2018;2,61;2,7;2,58;2,68;570.796;-
09-04-2018;2,65;2,75;2,52;2,61;597.836;-
08-04-2018;2,6;2,67;2,6;2,64;645.937;-
07-04-2018;2,51;2,66;2,49;2,6;426.068;-
06-04-2018;2,69;2,7;2,46;2,5;434.243;-
05-04-2018;2,67;2,72;2,54;2,7;952.683;-
04-04-2018;2,87;2,9;2,56;2,66;846.519;-
03-04-2018;2,76;2,94;2,69;2,88;682.609;-
02-04-2018;2,65;2,8;2,63;2,75;257.206;-
01-04-2018;2,87;2,89;2,54;2,64;534.227;-
31-03-2018;2,81;2,96;2,73;2,86;312.477;-
30-03-2018;2,78;3,06;2,67;2,81;435.505;-
29-03-2018;3,13;3,15;2,74;2,79;375.158;-
28-03-2018;3,01;3,21;2,94;3,14;441.428;-
27-03-2018;3,52;3,57;2,91;3,02;1.624.890;-
26-03-2018;3,94;4,16;3,3;3,52;1.057.200;-
25-03-2018;3,9;4,03;3,68;3,93;552.477;-
24-03-2018;3,51;3,91;3,36;3,91;1.218.370;-
23-03-2018;3,37;3,47;3,2;3,47;468.063;-
22-03-2018;3,38;3,43;3,2;3,34;480.031;-
21-03-2018;3,3;3,54;3,2;3,35;753.571;-
20-03-2018;3,05;3,33;2,85;3,29;813.326;-
19-03-2018;2,81;3,21;2,81;3,02;700.166;-
18-03-2018;2,79;2,83;2,51;2,82;411.180;-
17-03-2018;2,94;2,95;2,73;2,79;346.576;-
16-03-2018;3,16;3,19;2,94;2,94;409.957;-
15-03-2018;3,08;3,29;2,87;3,17;240.690;-
14-03-2018;3,38;3,64;2,95;3,09;327.781;-
13-03-2018;3,3;3,45;3,16;3,38;182.144;-
12-03-2018;3,57;3,9;3,21;3,31;360.429;-
11-03-2018;3,01;3,6;2,92;3,6;251.491;-
10-03-2018;3,06;3,25;3,01;3,01;311.390;-
09-03-2018;3,02;3,17;2,74;3,08;502.712;-
08-03-2018;3,4;3,55;2,9;3,04;670.284;-
07-03-2018;3,58;3,74;3,3;3,4;371.408;-
06-03-2018;4,08;4,08;3,57;3,62;925.033;-
05-03-2018;4,25;4,27;4;4,05;306.890;-
04-03-2018;4,38;4,4;4,07;4,26;425.664;-
03-03-2018;4,3;4,46;4,26;4,41;257.175;-
02-03-2018;4,38;4,43;4,28;4,31;327.186;-
01-03-2018;4,24;4,56;4,22;4,39;547.252;-
