QTUM;QTUM;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;13,09;13,57;12,98;13,35;121.813.000;1.183.489.551
30-05-2018;13,18;13,52;12,85;13,08;122.833.000;1.159.570.828
29-05-2018;12,34;13,37;12,25;13,19;127.041.000;1.169.492.431
28-05-2018;13,31;13,46;12,31;12,41;123.898.000;1.100.046.812
27-05-2018;13,27;13,42;13;13,25;114.514.000;1.174.100.093
26-05-2018;13,32;13,69;13,13;13,23;110.855.000;1.172.897.928
25-05-2018;14,02;14,06;13,11;13,34;117.740.000;1.182.145.088
24-05-2018;13,37;14,27;12,84;14;142.782.000;1.240.779.903
23-05-2018;15,11;15,23;13,35;13,47;137.510.000;1.193.274.260
22-05-2018;16,33;16,36;14,96;15,16;133.593.000;1.343.213.307
21-05-2018;16,84;16,93;16,13;16,32;147.283.008;1.446.250.340
20-05-2018;16,12;17,17;15,94;16,8;144.048.000;1.488.575.096
19-05-2018;16,08;16,36;15,59;16,07;119.203.000;1.423.868.718
18-05-2018;15,48;16,12;15,15;16,07;136.196.992;1.423.661.544
17-05-2018;16,62;17,06;15,27;15,54;197.268.000;1.376.628.140
16-05-2018;17;17;15,96;16,57;216.532.992;1.468.513.869
15-05-2018;18,06;18,61;16,88;17,03;163.231.008;1.508.971.287
14-05-2018;17,5;18,73;16,41;18,06;189.400.992;1.599.722.840
13-05-2018;16,39;18,01;16,03;17,48;117.365.000;1.548.251.408
12-05-2018;16,13;16,82;14,76;16,4;162.164.992;1.452.717.124
11-05-2018;18,58;18,65;15,7;16,23;202.450.000;1.437.494.015
10-05-2018;20,21;20,38;18,55;18,59;168.132.000;1.646.614.761
09-05-2018;20,87;20,87;19,51;20,2;144.154.000;1.789.473.021
08-05-2018;21,58;21,92;20,56;20,87;182.507.008;1.848.490.341
07-05-2018;22,9;22,9;20,91;21,57;223.002.000;1.910.285.225
06-05-2018;22,51;23,66;21,83;22,92;333.259.008;2.030.554.772
05-05-2018;22,21;23,02;22,14;22,51;220.967.008;1.993.848.572
04-05-2018;22,84;23,51;21,81;22,23;246.099.008;1.968.950.101
03-05-2018;22,34;23,33;21,94;22,9;259.996.992;2.028.618.521
02-05-2018;22,23;22,47;21,71;22,36;195.646.000;1.980.055.475
01-05-2018;22,71;22,71;21,13;22,12;229.135.008;1.959.332.189
30-04-2018;23,15;25,6;22,12;22,64;414.455.008;2.004.861.847
29-04-2018;21,8;23,56;20,64;23,06;374.563.008;2.042.161.683
28-04-2018;19,89;22,13;19,89;21,79;245.488.992;1.930.090.785
27-04-2018;21,22;21,26;19,97;19,97;209.527.008;1.768.833.458
26-04-2018;19,25;21,28;18,6;21,15;230.351.008;1.872.462.666
25-04-2018;22,78;22,78;18,5;19,17;275.424.992;1.697.455.928
24-04-2018;20,47;23,7;20,47;23,05;311.035.008;2.040.637.093
23-04-2018;19,57;20,75;19,57;20,5;233.026.000;1.815.217.101
22-04-2018;19,28;19,99;18,66;19,39;168.798.000;1.717.221.127
21-04-2018;20,35;20,74;18,19;19,34;209.811.008;1.712.535.230
20-04-2018;18,71;20,6;18,21;20,31;243.844.992;1.798.343.566
19-04-2018;17,6;18,72;17,48;18,72;212.700.992;1.657.418.102
18-04-2018;16,34;17,6;16,29;17,55;243.663.008;1.554.090.084
17-04-2018;16,53;16,94;16,01;16,37;188.056.992;1.448.988.725
16-04-2018;16,78;16,91;15,69;16,32;195.194.000;1.445.107.321
15-04-2018;15,84;16,91;15,84;16,85;177.596.000;1.491.517.550
14-04-2018;15,67;16,28;15,39;15,81;203.908.000;1.399.297.541
13-04-2018;16,27;17,26;15,57;15,57;326.062.016;1.378.067.500
12-04-2018;14,39;16,48;13,77;16,36;227.064.992;1.448.570.107
11-04-2018;13,46;14,43;13,45;14,43;129.214.000;1.277.295.944
10-04-2018;13,5;13,6;12,97;13,44;89.319.904;1.189.695.208
09-04-2018;13,46;14,48;13,18;13,46;125.374.000;1.191.380.339
08-04-2018;13,19;13,59;12,78;13,46;74.875.904;1.191.180.567
07-04-2018;12,86;13,51;12,84;13,17;82.806.496;1.165.746.664
06-04-2018;13,43;13,58;12,62;12,88;78.152.096;1.139.818.525
05-04-2018;13,63;13,72;12,99;13,52;97.377.600;1.196.207.813
04-04-2018;15,19;15,21;13,3;13,64;94.847.800;1.207.521.104
03-04-2018;14,43;15,24;14,29;15,23;126.352.000;1.347.897.929
02-04-2018;13,53;14,65;13,37;14,39;118.403.000;1.273.721.340
01-04-2018;14,26;14,4;12,79;13,46;91.857.800;1.191.229.440
31-03-2018;14,34;14,88;14,18;14,25;85.937.600;1.260.608.278
30-03-2018;14,28;14,96;13,54;14,38;116.895.000;1.272.094.517
29-03-2018;15,71;15,77;14,13;14,34;112.786.000;1.268.600.654
28-03-2018;15,3;16,26;15,3;15,68;113.916.000;1.387.495.086
27-03-2018;16,16;16,94;14,76;15,31;158.892.992;1.354.481.446
26-03-2018;18,02;18,24;15,31;16,24;251.406.000;1.436.994.493
25-03-2018;17,88;18,42;17,72;18,02;191.428.992;1.594.742.759
24-03-2018;18,62;19,27;17,97;18,07;204.348.992;1.598.989.718
23-03-2018;19,29;19,29;17,86;18,45;197.627.008;1.632.387.701
22-03-2018;20,02;20,29;18,1;19,53;257.544.992;1.727.872.102
21-03-2018;20,99;21,27;18,93;19,77;298.078.016;1.748.854.335
20-03-2018;21,14;22,08;18,51;20,77;681.012.992;1.536.317.134
19-03-2018;13,44;20,7;13,31;20,29;445.147.008;1.500.579.937
18-03-2018;13,54;13,73;11,18;13,48;134.149.000;997.036.156
17-03-2018;14,95;15,1;13,08;13,57;97.763.200;1.003.734.578
