BTG;Bitcoin Gold ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;42,14;45,41;41,54;44,36;16.443.900;755.895.549
30-05-2018;43,29;44,75;41,51;42,35;11.323.700;721.436.519
29-05-2018;40,48;44,06;40,28;43,3;14.634.600;737.619.689
28-05-2018;44,32;44,76;40,49;40,55;11.881.700;690.676.069
27-05-2018;44,46;44,52;43,95;44,33;10.054.500;755.002.388
26-05-2018;45,24;46;44,4;44,44;10.607.800;756.732.308
25-05-2018;46,99;47,26;44,63;45,23;10.904.200;770.101.635
24-05-2018;45,35;47,62;44,33;47,05;15.457.600;801.003.463
23-05-2018;50,61;50,61;44,69;45,38;16.724.500;772.435.585
22-05-2018;53,92;53,95;50,64;50,64;11.871.600;861.931.651
21-05-2018;56,04;56,08;53,42;53,87;12.601.400;916.739.710
20-05-2018;53,17;56,57;53,07;55,91;14.230.500;951.397.206
19-05-2018;54,24;54,29;52;53,13;13.166.900;903.978.735
18-05-2018;53,26;54,23;51,95;54,21;20.822.400;922.266.897
17-05-2018;59,8;59,8;52,79;53,27;21.261.100;906.204.662
16-05-2018;58,33;60,35;54,9;60,35;21.224.900;1.026.432.764
15-05-2018;58,44;64,87;57,54;58,42;34.357.600;993.490.765
14-05-2018;59,79;60,27;55,91;58,49;22.368.900;994.701.798
13-05-2018;57,37;60,35;56;59,81;16.482.100;1.016.921.731
12-05-2018;56,84;59,24;53,5;57,09;22.741.400;970.564.027
11-05-2018;64,65;65,4;55,32;56,9;34.785.000;967.166.611
10-05-2018;70,37;70,96;64,75;64,75;21.005.700;1.100.569.740
09-05-2018;71,62;71,62;66,4;70,05;24.826.900;1.190.436.352
08-05-2018;73,77;75,38;70,17;71,7;24.173.700;1.218.315.000
07-05-2018;77,72;77,85;71,62;73,37;26.749.600;1.246.617.585
06-05-2018;80,53;83,8;75,05;77,79;67.628.600;1.321.517.099
05-05-2018;74,99;81,58;74,99;80,42;61.619.100;1.366.018.061
04-05-2018;76,92;77,21;73,9;75,06;26.634.700;1.274.836.405
03-05-2018;76,01;77,48;73,9;76,94;38.523.900;1.306.588.343
02-05-2018;71,65;76,36;70,74;75,82;33.903.200;1.287.501.089
01-05-2018;73,28;73,43;69,17;71,7;20.320.400;1.217.373.622
30-04-2018;78,67;79,03;73,03;73,25;24.958.700;1.243.552.877
29-04-2018;77,84;81,24;74,11;78,32;47.669.300;1.329.431.186
