BAT;Basic Attention Token;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,266585;0,284225;0,264858;0,277734;2.369.600;277.734.000
30-05-2018;0,281352;0,288373;0,263494;0,266625;2.293.530;266.625.000
29-05-2018;0,250335;0,283549;0,246147;0,281625;3.041.930;281.625.000
28-05-2018;0,280487;0,281543;0,250261;0,250261;2.265.200;250.261.000
27-05-2018;0,283345;0,284034;0,277606;0,280541;1.441.200;280.541.000
26-05-2018;0,290833;0,294643;0,28306;0,283559;1.710.280;283.559.000
25-05-2018;0,312017;0,31233;0,286548;0,291022;2.025.840;291.022.000
24-05-2018;0,298139;0,325157;0,281058;0,311497;5.523.260;311.497.000
23-05-2018;0,308834;0,314927;0,271097;0,297605;5.796.060;297.605.000
22-05-2018;0,344411;0,345614;0,308194;0,309015;2.773.260;309.015.000
21-05-2018;0,351664;0,356934;0,343855;0,344437;2.447.770;344.437.000
20-05-2018;0,348429;0,356133;0,344268;0,351259;2.004.930;351.259.000
19-05-2018;0,362119;0,363086;0,345912;0,348088;2.770.420;348.088.000
18-05-2018;0,357857;0,368052;0,346978;0,361729;3.644.390;361.729.000
17-05-2018;0,392524;0,421358;0,355735;0,357854;8.947.410;357.854.000
16-05-2018;0,373185;0,407366;0,344623;0,392283;10.878.100;392.283.000
15-05-2018;0,403851;0,407073;0,366792;0,372427;4.664.060;372.427.000
14-05-2018;0,389918;0,41377;0,366876;0,404774;6.042.450;404.774.000
13-05-2018;0,36609;0,392253;0,355403;0,389423;4.894.890;389.423.000
12-05-2018;0,347384;0,367031;0,330351;0,363629;5.268.220;363.629.000
11-05-2018;0,381353;0,381353;0,31717;0,348191;7.594.750;348.191.000
10-05-2018;0,378682;0,394201;0,365482;0,383166;8.556.110;383.166.000
09-05-2018;0,391597;0,391822;0,36418;0,379371;5.609.840;379.371.000
08-05-2018;0,408217;0,420731;0,380933;0,391668;6.111.690;391.668.000
07-05-2018;0,437753;0,43949;0,382824;0,405995;6.942.380;405.995.000
06-05-2018;0,451134;0,453949;0,419688;0,437427;6.016.770;437.427.000
05-05-2018;0,482148;0,487889;0,443374;0,450836;10.395.000;450.836.000
04-05-2018;0,490363;0,501506;0,478427;0,482687;6.894.470;482.687.000
03-05-2018;0,490932;0,51646;0,488557;0,49158;15.010.800;491.580.000
02-05-2018;0,504219;0,523011;0,489825;0,491364;12.751.200;491.364.000
01-05-2018;0,480199;0,508905;0,442289;0,503444;14.562.200;503.444.000
30-04-2018;0,465091;0,502423;0,444017;0,479718;12.709.500;479.718.000
29-04-2018;0,440325;0,465133;0,435038;0,465133;7.606.110;465.133.000
28-04-2018;0,416056;0,471707;0,41577;0,44105;12.786.800;441.050.000
27-04-2018;0,43994;0,447372;0,41667;0,418297;5.786.420;418.297.000
26-04-2018;0,407347;0,439768;0,399228;0,43925;7.506.600;439.250.000
25-04-2018;0,457921;0,458297;0,380483;0,403847;10.950.800;403.847.000
24-04-2018;0,435338;0,469561;0,435338;0,458046;10.757.500;458.046.000
23-04-2018;0,423968;0,438266;0,422633;0,435824;7.346.400;435.824.000
22-04-2018;0,41282;0,444652;0,401102;0,425449;10.641.500;425.449.000
21-04-2018;0,405404;0,412996;0,376078;0,41141;8.605.380;411.410.000
20-04-2018;0,383429;0,418643;0,372616;0,407727;16.586.600;407.727.000
19-04-2018;0,36244;0,401703;0,353847;0,384186;27.273.800;384.186.000
18-04-2018;0,274827;0,402724;0,27463;0,361764;48.542.100;361.764.000
17-04-2018;0,271823;0,281638;0,266217;0,274953;7.087.260;274.953.000
16-04-2018;0,267449;0,273727;0,25991;0,271688;7.550.920;271.688.000
15-04-2018;0,257177;0,266862;0,257177;0,266862;4.998.180;266.862.000
14-04-2018;0,242326;0,261219;0,241163;0,257346;5.032.090;257.346.000
13-04-2018;0,234238;0,259842;0,227069;0,2421;7.614.480;242.100.000
12-04-2018;0,208478;0,233402;0,199337;0,233311;5.925.880;233.311.000
11-04-2018;0,19899;0,210221;0,197025;0,209018;4.803.470;209.018.000
10-04-2018;0,187525;0,19898;0,183323;0,19898;5.211.810;198.980.000
09-04-2018;0,199381;0,202288;0,183913;0,187006;4.486.340;187.006.000
08-04-2018;0,19509;0,202685;0,194572;0,199976;4.223.320;199.976.000
07-04-2018;0,180331;0,196904;0,18015;0,194678;4.672.030;194.678.000
06-04-2018;0,185539;0,188966;0,179205;0,180172;4.242.680;180.172.000
05-04-2018;0,187869;0,211638;0,180591;0,185819;7.091.280;185.819.000
04-04-2018;0,211399;0,211828;0,187472;0,188309;4.339.240;188.309.000
03-04-2018;0,199335;0,225461;0,199335;0,211568;10.359.800;211.568.000
02-04-2018;0,186898;0,200733;0,185507;0,199357;4.822.270;199.357.000
01-04-2018;0,195568;0,197938;0,174754;0,186136;4.474.620;186.136.000
31-03-2018;0,185831;0,195823;0,185831;0,195289;4.017.800;195.289.000
30-03-2018;0,188415;0,190857;0,176944;0,185911;4.906.680;185.911.000
29-03-2018;0,223284;0,224641;0,186172;0,188864;4.810.120;188.864.000
28-03-2018;0,2243;0,233325;0,218682;0,223775;7.325.310;223.775.000
27-03-2018;0,21678;0,26145;0,206477;0,226107;20.462.500;226.107.000
26-03-2018;0,211551;0,233671;0,184982;0,216878;11.853.000;216.878.000
25-03-2018;0,212356;0,221881;0,204398;0,210988;4.093.880;210.988.000
24-03-2018;0,21429;0,235244;0,211529;0,215019;5.436.620;215.019.000
23-03-2018;0,208129;0,211858;0,195378;0,211858;5.034.550;211.858.000
22-03-2018;0,207912;0,217945;0,192553;0,207624;3.824.490;207.624.000
21-03-2018;0,212079;0,225229;0,206217;0,208152;5.095.830;208.152.000
20-03-2018;0,206148;0,221051;0,19614;0,211607;4.744.160;211.607.000
19-03-2018;0,189039;0,206083;0,184619;0,204119;4.389.990;204.119.000
18-03-2018;0,1897;0,189917;0,156901;0,189207;5.125.320;189.207.000
17-03-2018;0,198651;0,201822;0,18663;0,190163;4.629.150;190.163.000
16-03-2018;0,196785;0,205228;0,191247;0,197728;4.389.510;197.728.000
15-03-2018;0,221354;0,225045;0,186964;0,195941;7.128.880;195.941.000
14-03-2018;0,246661;0,251562;0,215635;0,22115;4.645.650;221.150.000
13-03-2018;0,260966;0,267216;0,245337;0,246668;4.214.560;246.668.000
12-03-2018;0,272;0,279918;0,255859;0,261717;6.952.680;261.717.000
11-03-2018;0,2599;0,280528;0,251583;0,272858;2.583.620;272.858.000
10-03-2018;0,258741;0,296706;0,258741;0,261025;4.266.990;261.025.000
09-03-2018;0,269369;0,2711;0,22946;0,259717;5.051.810;259.717.000
08-03-2018;0,298525;0,309998;0,268783;0,271218;3.217.760;271.218.000
07-03-2018;0,337471;0,346364;0,277994;0,299935;4.940.190;299.935.000
06-03-2018;0,375588;0,375588;0,334184;0,338273;3.151.660;338.273.000
05-03-2018;0,376595;0,391938;0,374227;0,375513;4.017.680;375.513.000
04-03-2018;0,378781;0,379706;0,367716;0,376859;3.257.860;376.859.000
03-03-2018;0,404781;0,406489;0,373031;0,379234;5.018.260;379.234.000
02-03-2018;0,373657;0,418654;0,369649;0,405679;13.092.800;405.679.000
01-03-2018;0,339976;0,403773;0,328186;0,374938;11.112.000;374.938.000
