DOGE;DOGE COIN;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,003429;0,003513;0,003317;0,003398;8.971.080;389.661.096
30-05-2018;0,003447;0,003506;0,003323;0,003354;7.463.910;384.506.684
29-05-2018;0,003226;0,003446;0,003168;0,003437;9.244.550;393.979.506
28-05-2018;0,003433;0,003447;0,003218;0,003226;7.502.800;369.745.371
27-05-2018;0,003464;0,00348;0,003401;0,003424;3.494.870;392.428.907
26-05-2018;0,00355;0,003569;0,003459;0,003463;6.353.660;396.818.057
25-05-2018;0,003474;0,003607;0,003376;0,003514;10.613.600;402.683.933
24-05-2018;0,00359;0,003713;0,003248;0,003499;10.460.200;400.915.452
23-05-2018;0,003858;0,004274;0,003435;0,003591;14.899.100;411.345.523
22-05-2018;0,004212;0,004281;0,003823;0,003851;10.205.700;441.124.252
21-05-2018;0,004397;0,004419;0,003947;0,004271;18.454.500;489.159.638
20-05-2018;0,00425;0,004476;0,003907;0,004423;15.909.900;506.485.164
19-05-2018;0,004217;0,004428;0,004005;0,004286;15.007.400;490.735.464
18-05-2018;0,003996;0,004377;0,003755;0,004017;13.622.000;459.919.190
17-05-2018;0,004368;0,00448;0,004173;0,004188;17.314.000;479.446.692
16-05-2018;0,004474;0,00455;0,00426;0,004385;9.611.630;501.944.871
15-05-2018;0,004443;0,004788;0,004418;0,004515;21.076.900;516.726.421
14-05-2018;0,004499;0,004559;0,004219;0,00446;12.399.700;510.361.318
13-05-2018;0,004307;0,004622;0,003965;0,004329;19.823.500;495.286.562
12-05-2018;0,00445;0,004668;0,003918;0,004473;27.449.400;511.781.761
11-05-2018;0,005036;0,005036;0,003997;0,004362;27.582.800;498.921.346
10-05-2018;0,004825;0,005296;0,004531;0,00487;34.878.500;557.000.639
09-05-2018;0,005273;0,005324;0,004652;0,005093;33.562.300;582.406.976
08-05-2018;0,004833;0,005356;0,004792;0,005303;40.660.100;606.410.324
07-05-2018;0,004966;0,005017;0,004632;0,004817;25.891.500;550.808.734
06-05-2018;0,005202;0,005259;0,004725;0,00497;33.446.900;568.134.218
05-05-2018;0,005267;0,005347;0,005026;0,00518;30.335.800;592.172.154
04-05-2018;0,005533;0,005555;0,005205;0,005269;14.434.200;602.168.795
03-05-2018;0,005334;0,005649;0,005212;0,005641;50.484.900;644.659.838
02-05-2018;0,005114;0,005415;0,005041;0,005273;49.958.400;602.519.225
01-05-2018;0,005272;0,005272;0,004899;0,005144;11.657.500;587.750.702
30-04-2018;0,005405;0,005534;0,005136;0,00521;36.411.800;595.237.179
29-04-2018;0,00547;0,005558;0,005222;0,005459;37.883.800;623.566.087
28-04-2018;0,005364;0,005622;0,005314;0,005357;35.916.600;611.859.890
27-04-2018;0,005583;0,005739;0,005296;0,005422;38.969.800;619.127.865
26-04-2018;0,005128;0,005676;0,004896;0,005627;41.358.700;642.470.068
25-04-2018;0,005879;0,005919;0,004947;0,005093;38.270.000;581.482.891
24-04-2018;0,005489;0,005908;0,005482;0,0058;36.637.000;662.124.918
23-04-2018;0,005545;0,005707;0,0054;0,005482;33.576.300;625.700.626
22-04-2018;0,005442;0,005773;0,005328;0,005539;18.456.900;632.129.664
21-04-2018;0,005878;0,005887;0,005194;0,005413;25.007.100;617.731.981
20-04-2018;0,005834;0,005958;0,005698;0,005893;23.110.700;672.355.879
19-04-2018;0,005397;0,005824;0,00532;0,005824;27.012.500;664.427.354
18-04-2018;0,004712;0,005468;0,004708;0,005412;21.720.200;617.372.188
17-04-2018;0,004588;0,004869;0,004515;0,004744;17.139.500;541.044.699
16-04-2018;0,004588;0,00492;0,004391;0,004585;22.272.600;522.843.971
15-04-2018;0,004135;0,004614;0,004135;0,004571;11.867.500;521.261.891
14-04-2018;0,003958;0,004218;0,003924;0,00415;13.585.900;473.228.673
13-04-2018;0,003782;0,004294;0,00375;0,003995;18.150.400;455.430.861
12-04-2018;0,003374;0,003798;0,003255;0,003798;13.877.700;432.950.912
11-04-2018;0,003039;0,003499;0,003013;0,003396;25.292.400;387.108.403
10-04-2018;0,002759;0,003073;0,00274;0,003043;10.212.100;346.737.261
09-04-2018;0,002855;0,002929;0,002724;0,002763;4.827.250;314.807.366
08-04-2018;0,002786;0,002907;0,002786;0,002843;3.683.180;323.884.729
07-04-2018;0,002682;0,002865;0,002669;0,002802;3.034.220;319.168.904
06-04-2018;0,002715;0,002737;0,002614;0,00267;2.848.290;304.130.896
05-04-2018;0,002785;0,002791;0,002654;0,002714;4.829.150;309.054.897
04-04-2018;0,002982;0,003006;0,002717;0,00277;5.330.250;315.475.248
03-04-2018;0,002794;0,002993;0,00278;0,00298;6.618.080;339.266.307
02-04-2018;0,002731;0,002814;0,002704;0,002797;5.034.000;318.465.574
01-04-2018;0,002818;0,002869;0,002595;0,002719;3.373.820;309.485.889
31-03-2018;0,002752;0,002897;0,002699;0,002819;3.505.010;320.911.092
30-03-2018;0,002811;0,00289;0,002648;0,002763;5.378.440;314.463.228
29-03-2018;0,003171;0,003177;0,002758;0,002827;5.630.550;321.655.144
28-03-2018;0,003134;0,003244;0,003114;0,003141;4.912.220;357.344.344
27-03-2018;0,003276;0,003283;0,003108;0,003145;5.235.300;357.785.687
26-03-2018;0,003498;0,003541;0,003141;0,003289;6.061.990;374.176.872
25-03-2018;0,00355;0,003576;0,003463;0,003505;3.476.340;398.679.314
24-03-2018;0,003597;0,003727;0,00351;0,00359;4.461.220;408.301.808
23-03-2018;0,003533;0,00356;0,003341;0,00356;6.178.530;404.772.685
22-03-2018;0,003666;0,003726;0,003443;0,003528;5.210.480;401.139.207
21-03-2018;0,003651;0,003833;0,003606;0,003659;6.711.100;415.921.725
20-03-2018;0,003466;0,003727;0,003388;0,003651;6.638.060;414.990.078
19-03-2018;0,003199;0,003504;0,003144;0,00344;8.278.910;390.980.328
18-03-2018;0,00328;0,00328;0,00279;0,00319;9.029.610;362.543.841
17-03-2018;0,003505;0,00355;0,003249;0,003299;6.231.110;374.824.967
16-03-2018;0,003542;0,003655;0,003441;0,00351;6.407.110;398.839.483
15-03-2018;0,003521;0,003619;0,003267;0,003536;9.316.740;401.676.595
14-03-2018;0,003954;0,004018;0,003423;0,003524;7.532.350;400.229.180
