OMG;OmiseGO;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;10,31;10,89;10,29;10,55;50.501.700;1.076.497.900
30-05-2018;10,52;10,84;9,98;10,33;45.997.000;1.054.007.721
29-05-2018;9,64;10,75;9,56;10,52;45.009.000;1.073.548.870
28-05-2018;10,42;10,59;9,61;9,64;36.995.300;983.500.400
27-05-2018;10,78;10,78;10,28;10,42;39.393.500;1.063.191.551
26-05-2018;10,71;11,16;10,55;10,78;35.272.400;1.099.835.031
25-05-2018;11,19;11,48;10,61;10,72;40.454.300;1.094.232.895
24-05-2018;10,63;11,34;10,22;11,15;47.290.900;1.137.886.699
23-05-2018;11,51;11,6;10,13;10,65;46.023.500;1.086.457.253
22-05-2018;12,57;12,91;11,47;11,53;27.751.100;1.176.275.107
21-05-2018;13,04;13,14;12,32;12,57;28.183.300;1.283.123.863
20-05-2018;12,52;13,24;12,41;13,02;37.409.600;1.328.594.024
19-05-2018;12,52;12,88;12,37;12,51;32.444.300;1.276.389.054
18-05-2018;12,38;12,78;12,11;12,52;38.880.800;1.278.031.940
17-05-2018;13,17;13,58;12,29;12,41;38.815.700;1.266.501.131
16-05-2018;13,55;13,55;12,83;13,17;32.027.500;1.343.645.300
15-05-2018;14,24;14,48;13,52;13,57;32.125.800;1.384.799.061
14-05-2018;14,25;14,6;13,31;14,25;46.665.600;1.453.739.009
13-05-2018;13,72;14,65;13,43;14,28;39.654.500;1.456.830.899
12-05-2018;13,33;14,11;12,63;13,7;39.982.700;1.398.442.151
11-05-2018;15,3;15,3;13,16;13,37;58.339.000;1.364.696.679
10-05-2018;16,18;16,39;15,31;15,31;45.211.900;1.562.404.123
09-05-2018;16,04;16,68;15,39;16,18;48.365.400;1.650.895.424
08-05-2018;16,68;16,88;15,83;16,05;43.030.100;1.637.436.011
07-05-2018;16,92;16,96;15,79;16,61;51.355.400;1.694.957.398
06-05-2018;17,4;17,63;16,5;16,92;45.342.000;1.726.733.448
05-05-2018;17,8;17,91;17,36;17,39;55.580.400;1.774.070.988
04-05-2018;18,18;18,18;17,2;17,81;70.046.496;1.817.612.545
03-05-2018;17,24;18,71;17,11;18,22;134.736.992;1.858.847.940
02-05-2018;16,96;17,29;16,69;17,24;73.425.104;1.759.519.720
01-05-2018;16,99;17,08;16,07;16,99;58.684.400;1.733.947.857
30-04-2018;18,05;18,06;16,81;16,95;68.967.800;1.729.886.563
29-04-2018;18,08;18,46;17,14;18,09;93.513.696;1.846.286.502
28-04-2018;17,36;18,3;17,31;18,08;79.047.200;1.844.980.357
27-04-2018;18,17;19,02;17,41;17,41;143.819.008;1.776.897.567
26-04-2018;15,72;21,37;15,19;18,22;675.097.984;1.859.419.378
25-04-2018;18,05;18,05;14,87;15,59;122.642.000;1.590.445.416
24-04-2018;15,84;18,65;15,78;18,16;153.864.992;1.852.837.634
23-04-2018;15,19;15,94;15,16;15,85;58.387.200;1.617.843.841
22-04-2018;15,37;15,89;15,13;15,19;57.141.600;1.550.128.404
21-04-2018;16,27;16,27;14,48;15,4;91.124.800;1.571.159.374
20-04-2018;15,72;16,4;15,25;16,23;126.297.000;1.656.303.679
19-04-2018;15,02;15,96;14,91;15,73;125.155.000;1.605.149.748
18-04-2018;14,56;15,15;14,36;15,02;84.420.304;1.532.638.310
17-04-2018;15,36;15,69;14,21;14,24;151.960.000;1.453.259.409
16-04-2018;14,1;15,59;13,2;15,44;222.730.000;1.575.975.782
15-04-2018;13,88;14,36;13,82;14,1;68.222.200;1.439.116.312
14-04-2018;12,98;13,96;12,98;13,66;109.430.000;1.394.309.427
13-04-2018;12,04;16,06;11,65;12,67;349.808.992;1.292.583.207
12-04-2018;9,8;12,2;9,47;12,02;119.743.000;1.226.673.923
11-04-2018;9,24;9,82;9,24;9,82;37.589.500;1.001.796.629
10-04-2018;9,1;9,3;8,9;9,25;28.200.500;943.769.112
09-04-2018;9,58;9,82;8,92;9,1;29.849.700;928.229.052
08-04-2018;9,39;9,66;9,24;9,56;22.099.000;975.388.017
07-04-2018;9,29;9,61;9,11;9,39;31.193.800;958.468.341
06-04-2018;8,88;9,51;8,75;9,32;63.649.300;951.077.399
05-04-2018;8,24;9,64;8,1;8,94;86.820.000;911.766.527
04-04-2018;9,5;9,5;8,19;8,25;29.824.900;841.872.481
03-04-2018;8,79;9,78;8,71;9,52;38.323.300;971.379.786
02-04-2018;8,12;9,39;8,07;8,75;48.495.000;893.143.761
01-04-2018;8,23;8,42;7,52;8,09;24.526.400;825.762.003
31-03-2018;8,28;8,73;8,16;8,23;21.296.300;840.284.699
30-03-2018;8,43;8,67;8;8,28;31.776.100;844.961.309
29-03-2018;9,73;9,8;8,35;8,46;34.338.700;863.102.434
28-03-2018;9,75;10,24;9,68;9,73;20.930.600;992.448.511
27-03-2018;10,33;10,38;9,38;9,77;23.759.900;997.256.756
26-03-2018;10,87;10,93;9,47;10,34;31.909.400;1.055.007.738
25-03-2018;11,03;11,15;10,66;10,88;21.690.300;1.110.294.393
24-03-2018;11,59;11,76;11,03;11,1;29.693.200;1.133.060.086
23-03-2018;11,53;11,53;10,59;11,5;30.954.000;1.173.591.388
22-03-2018;11,86;12,39;10,78;11,57;36.755.900;1.180.520.077
21-03-2018;12,15;12,65;11,56;11,86;33.733.200;1.209.765.472
20-03-2018;11,54;12,53;10,66;12,08;46.839.900;1.233.163.830
19-03-2018;10,52;11,45;10,06;11,45;42.172.600;1.168.060.682
18-03-2018;9,83;10,53;8,44;10,47;39.837.300;1.068.089.594
17-03-2018;11,22;11,26;9,82;9,86;30.985.800;1.006.616.099
16-03-2018;11,32;11,83;10,83;11,22;28.698.800;1.144.754.163
15-03-2018;11,7;11,73;10,34;11,31;44.593.200;1.154.509.431
14-03-2018;13,61;13,75;11,34;11,69;28.942.400;1.193.203.966
13-03-2018;13,74;14,14;12,98;13,75;24.721.000;1.403.401.419
12-03-2018;14,66;14,84;13,47;13,78;23.439.900;1.405.932.074
11-03-2018;13,41;14,98;12,85;14,68;30.486.600;1.497.841.800
10-03-2018;15,01;15,36;13,25;13,44;44.982.900;1.371.553.938
09-03-2018;13,72;15,11;11,75;15,02;59.857.400;1.532.301.570
08-03-2018;14,47;15,27;13,37;13,74;41.855.800;1.402.187.112
07-03-2018;15,87;16,46;13,71;14,5;52.446.000;1.479.688.430
06-03-2018;17,2;17,2;15,57;15,86;38.911.600;1.618.333.645
05-03-2018;17,96;18,08;17,16;17,22;39.490.400;1.756.958.452
04-03-2018;17,88;18,48;17,09;17,94;39.416.700;1.830.990.323
03-03-2018;18,52;19,02;17,72;17,9;49.308.100;1.826.469.838
02-03-2018;19,19;19,36;17,82;18,52;50.691.600;1.889.389.276
01-03-2018;18,61;19,95;18,46;19,21;67.000.600;1.960.727.224
