DCR;Decred ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;90,18;93,93;89,09;93,65;3.222.580;669.205.255
30-05-2018;93,74;93,93;88,28;90,13;3.206.320;644.011.509
29-05-2018;89,93;95,61;85,79;93,55;6.600.080;668.509.974
28-05-2018;91,79;93,67;85,6;89,79;3.920.820;641.585.529
27-05-2018;92,16;96,96;86,46;91,93;5.093.040;656.939.587
26-05-2018;100,64;102,26;91,82;92,26;4.060.300;659.269.099
25-05-2018;103,29;105,19;98,1;101,47;5.131.480;725.057.096
24-05-2018;103,42;109,46;97,39;103,18;7.055.820;737.269.171
23-05-2018;109,62;113,51;101,8;103,52;10.281.200;739.720.160
22-05-2018;116,78;116,78;108,68;109,88;5.143.210;785.152.794
21-05-2018;110,81;118,88;108,35;116,79;11.280.600;834.587.043
20-05-2018;107,61;117,93;105,95;111,22;13.466.200;794.728.089
19-05-2018;104,65;109,32;102,88;107,65;11.722.300;769.217.787
18-05-2018;93,4;106,77;89,09;104,9;12.290.000;749.559.848
17-05-2018;92,71;99,46;92,71;93,6;9.767.830;668.869.405
16-05-2018;97,29;97,29;87,81;92,54;9.704.700;661.247.041
15-05-2018;100,53;101,88;95,12;97,32;9.340.530;695.443.708
14-05-2018;92,4;102,28;87,7;102,28;9.119.440;730.838.002
13-05-2018;85,48;92,72;83,54;91,1;6.970.770;650.962.173
12-05-2018;85,95;88,2;81,27;85,41;6.985.510;610.315.758
11-05-2018;87,09;95,41;79,99;86,49;14.360.400;618.003.149
10-05-2018;85,01;89,81;84,3;86,9;4.603.580;620.984.352
09-05-2018;85,52;87,53;82,11;85,22;6.578.610;608.975.931
08-05-2018;87,96;88,07;83,99;85,58;4.103.950;611.546.255
07-05-2018;86,03;90,38;83,05;87,94;7.889.200;628.415.925
06-05-2018;87,26;88,28;82,24;86;4.756.920;614.567.475
05-05-2018;91,85;91,85;87,37;87,67;6.986.510;626.492.291
04-05-2018;84,01;113,33;82,18;91,73;61.502.000;655.461.133
03-05-2018;81,57;84,31;78,82;83,87;3.696.320;599.335.610
02-05-2018;81,36;82,26;78,62;81,47;2.131.860;582.199.404
01-05-2018;84,13;84,13;77,85;81,61;2.956.840;583.169.796
30-04-2018;83,69;84,35;80,01;83,5;4.741.180;596.673.106
29-04-2018;86,93;89,04;81,75;83,58;2.638.380;597.276.921
28-04-2018;83,37;87,73;83,1;86,96;5.135.870;621.358.789
27-04-2018;85,38;90,01;82,38;83,6;4.237.940;597.389.109
26-04-2018;77,89;85,03;75,09;85,03;5.407.210;607.618.955
25-04-2018;75,26;139,94;73,04;77,51;26.848.000;553.891.543
24-04-2018;65,8;77,74;65,78;75,77;6.362.940;541.454.378
23-04-2018;64,33;66,95;64;65,73;10.263.300;469.710.404
22-04-2018;67,35;67,35;64,08;64,47;13.385.700;460.718.916
21-04-2018;66,43;67,98;65,04;67,35;14.653.500;481.281.506
20-04-2018;62,24;66,91;61,95;66,39;14.092.000;474.433.026
19-04-2018;61,75;62,97;60,7;62,24;13.014.000;444.730.316
18-04-2018;60,39;63,01;60,04;61,68;12.341.300;440.749.423
17-04-2018;61,91;63,05;60,45;60,55;12.471.900;432.683.308
16-04-2018;63,71;64,4;61,09;62,35;10.294.400;445.206.017
15-04-2018;59,35;66,24;59,35;63,73;13.668.600;454.662.067
14-04-2018;58,2;60,33;57,47;59,37;17.957.400;423.232.047
13-04-2018;61,11;62,1;57,25;57,97;20.624.700;412.917.848
12-04-2018;52;61,41;51,62;61,15;22.746.200;435.152.393
11-04-2018;50,9;53,43;50,64;52,36;19.628.500;372.272.676
10-04-2018;48,37;51,19;47,4;51,01;18.426.200;362.302.132
09-04-2018;49,77;52,61;47,28;48,06;8.009.390;341.116.417
08-04-2018;50,02;51,32;49,34;49,79;436.551;353.055.443
07-04-2018;43,97;50,64;43,82;49,95;1.273.600;353.860.979
06-04-2018;43,44;45,35;42,09;43,86;584.717;310.409.067
05-04-2018;42,3;44,05;40,66;43,66;494.135;308.832.078
04-04-2018;47,09;47,17;41,6;42,35;505.313;299.236.689
03-04-2018;41,79;47,15;41,45;46,98;746.749;331.672.228
