LSK;LISK;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;8,44;8,77;8,37;8,56;13.467.900;912.000.911
30-05-2018;8,82;8,96;8,31;8,48;11.308.400;902.811.166
29-05-2018;7,98;8,98;7,9;8,88;13.833.600;944.974.830
28-05-2018;8,8;8,89;7,95;7,99;12.253.000;850.009.048
27-05-2018;8,79;8,86;8,67;8,83;10.511.600;938.545.140
26-05-2018;8,98;9,26;8,77;8,83;10.313.000;938.916.364
25-05-2018;9,37;9,44;8,84;8,97;12.017.200;953.324.905
24-05-2018;9,16;9,53;8,65;9,35;14.486.800;992.973.014
23-05-2018;9,87;9,89;8,66;9,19;17.130.400;976.543.028
22-05-2018;10,98;10,98;9,84;9,85;14.666.800;1.046.266.411
21-05-2018;11,31;11,66;10,78;10,91;16.534.900;1.158.278.765
20-05-2018;10,58;11,31;10,55;11,31;15.834.700;1.199.737.758
19-05-2018;10,54;10,88;10,42;10,57;13.853.500;1.121.451.120
18-05-2018;10,26;10,52;10,03;10,5;17.027.300;1.113.366.607
17-05-2018;10,26;11,09;10,19;10,21;26.077.300;1.081.776.652
16-05-2018;10,48;10,5;9,94;10,28;15.100.900;1.088.788.429
15-05-2018;11,06;11,37;10,4;10,5;15.930.200;1.112.108.838
14-05-2018;10,95;11,53;10,36;11,08;24.221.400;1.173.059.032
13-05-2018;10,16;11,04;9,94;11;19.204.400;1.164.472.030
12-05-2018;10,02;10,68;9,65;10,15;16.913.900;1.074.595.466
11-05-2018;11,13;11,13;9,73;10,05;24.610.200;1.062.797.979
10-05-2018;11,84;12,45;11,11;11,11;24.724.400;1.174.922.847
09-05-2018;12,17;12,21;11,43;11,86;20.113.300;1.254.010.211
08-05-2018;12,68;13,01;11,9;12,17;18.812.100;1.286.226.608
07-05-2018;13,31;13,36;12,13;12,68;19.255.800;1.339.737.513
06-05-2018;13,57;13,62;12,67;13,27;22.045.200;1.401.307.824
05-05-2018;13,79;14,09;13,42;13,56;24.542.300;1.431.943.721
04-05-2018;14,4;14,64;13,61;13,73;31.892.300;1.449.197.712
03-05-2018;14,23;14,62;13,75;14,4;49.489.900;1.519.703.367
02-05-2018;13,23;14,52;13,06;14,19;51.579.400;1.497.273.771
01-05-2018;13,32;13,45;12,14;13,27;46.010.700;1.399.510.108
30-04-2018;12,96;13,42;11,99;13,16;50.914.500;1.386.782.728
29-04-2018;11,84;13,03;11,84;12,98;44.480.900;1.367.803.041
28-04-2018;11,15;11,99;11,12;11,85;15.294.900;1.247.928.819
27-04-2018;11,78;11,9;11,11;11,2;21.976.600;1.179.838.594
26-04-2018;11,09;11,77;10,63;11,75;22.034.700;1.237.299.021
25-04-2018;13;13;10,57;11,05;32.306.400;1.162.679.798
24-04-2018;12,31;13,17;12,29;13,09;36.488.500;1.377.091.811
23-04-2018;11,52;12,45;11,5;12,3;27.078.800;1.293.976.797
22-04-2018;11,64;11,94;11,36;11,53;19.171.200;1.211.934.665
21-04-2018;12,33;12,33;10,94;11,66;23.150.600;1.225.451.562
20-04-2018;11,77;12,47;11,37;12,32;33.926.500;1.294.744.736
19-04-2018;11,33;11,79;11,16;11,78;26.142.700;1.237.654.727
18-04-2018;10,48;11,35;10,41;11,31;28.211.800;1.176.283.919
17-04-2018;10,71;11,07;10,38;10,48;23.140.500;1.089.584.128
16-04-2018;10,49;10,73;9,99;10,69;33.273.200;1.111.306.542
15-04-2018;9,98;10,48;9,98;10,48;16.400.400;1.089.005.285
14-04-2018;9,73;10,17;9,69;9,98;15.811.800;1.036.188.418
13-04-2018;9,76;10,57;9,49;9,77;39.713.300;1.014.543.085
12-04-2018;8,74;9,82;8,51;9,72;38.829.900;1.008.680.972
