BCD;Bitcoin Diamond;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;2,83;3,06;2,79;2,81;2.024.020;431.377.213
30-05-2018;2,89;3;2,77;2,83;1.647.150;434.521.541
29-05-2018;2,77;3,07;2,76;2,88;1.932.490;442.882.840
28-05-2018;3,14;3,39;2,78;2,78;1.803.340;427.018.206
27-05-2018;3,12;3,19;3,07;3,13;1.159.950;481.242.105
26-05-2018;3,3;3,32;3,12;3,12;1.399.830;479.095.660
25-05-2018;3,18;3,32;3,13;3,3;1.408.430;507.091.711
24-05-2018;3,04;3,33;2,99;3,17;2.923.300;487.436.970
23-05-2018;3,46;3,47;2,87;3;3.188.340;461.075.354
22-05-2018;3,97;3,97;3,46;3,46;1.560.600;531.313.032
21-05-2018;4,2;4,21;3,89;3,97;1.864.160;611.007.160
20-05-2018;3,95;4,26;3,9;4,2;1.686.840;645.866.679
19-05-2018;3,69;3,95;3,62;3,95;2.071.940;606.462.639
18-05-2018;3,67;3,86;3,55;3,7;3.848.920;568.054.126
17-05-2018;3,98;4,08;3,65;3,67;2.660.310;563.297.135
16-05-2018;4,09;4,09;3,82;3,98;2.579.670;611.683.641
15-05-2018;4,13;4,3;4,08;4,09;2.566.350;627.799.101
14-05-2018;4,33;4,35;3,94;4,14;3.913.880;636.244.718
13-05-2018;3,94;4,39;3,9;4,35;2.989.960;668.647.592
12-05-2018;3,72;3,99;3,42;3,92;3.900.730;602.685.083
11-05-2018;4,5;4,53;3,63;3,73;6.202.790;573.022.168
10-05-2018;4,77;5,56;4,51;4,51;4.333.700;692.297.563
09-05-2018;4,92;4,95;4,55;4,76;5.226.520;731.613.626
08-05-2018;4,99;5,34;4,85;4,91;8.405.970;753.546.455
07-05-2018;5,14;5,14;4,64;4,98;5.162.500;764.675.528
06-05-2018;5,78;5,78;5,08;5,14;12.898.100;788.770.938
05-05-2018;5,71;5,85;5,59;5,76;20.513.100;884.186.204
04-05-2018;5,57;5,71;5,56;5,7;5.348.970;874.960.075
03-05-2018;5,55;5,74;5,46;5,6;8.367.790;858.740.476
02-05-2018;5,43;5,7;5,41;5,55;7.183.270;851.504.481
01-05-2018;5,6;5,6;5,27;5,43;6.899.840;833.321.209
30-04-2018;5,65;6,07;5,38;5,57;11.153.200;854.045.565
29-04-2018;6,04;6,05;5,36;5,65;15.170.800;866.176.648
28-04-2018;5,75;6,44;5,75;5,99;16.693.700;918.484.295
27-04-2018;5,31;6,9;5,31;5,8;41.763.100;889.617.635
26-04-2018;4,15;5,68;4,03;5,32;20.221.000;815.555.263
25-04-2018;5,1;5,1;3,97;4,14;12.010.100;634.752.826
24-04-2018;4,43;5,12;4,43;5,12;40.064.000;784.598.161
23-04-2018;4,36;4,57;4,36;4,5;10.837.100;689.303.923
22-04-2018;3,94;4,82;3,85;4,38;15.698.600;671.164.281
21-04-2018;4,58;4,59;3,68;3,98;12.215.600;610.510.457
20-04-2018;3,82;4,67;3,76;4,58;23.286.500;702.245.509
19-04-2018;2,82;4,53;2,8;3,87;24.716.600;592.159.657
18-04-2018;2,76;2,91;2,71;2,82;4.053.420;431.672.869
17-04-2018;2,88;3,22;2,75;2,76;3.018.620;422.273.337
16-04-2018;2,89;2,94;2,65;2,88;3.742.760;441.581.170
15-04-2018;2,7;2,89;2,7;2,89;2.119.440;443.031.222
14-04-2018;2,64;2,94;2,59;2,69;2.363.910;412.216.418
13-04-2018;2,5;2,8;2,43;2,66;6.695.020;407.301.878
12-04-2018;2,46;2,52;2,29;2,49;4.507.960;381.278.196
11-04-2018;2,52;2,6;2,4;2,47;2.760.520;377.879.820
10-04-2018;2,41;2,64;2,36;2,5;1.689.380;382.031.431
09-04-2018;2,56;2,6;2,35;2,4;2.585.630;367.373.443
08-04-2018;2,36;2,56;2,36;2,54;2.111.360;388.905.381
07-04-2018;2,26;2,5;2,26;2,37;3.772.610;362.307.419
06-04-2018;2,18;2,63;2,11;2,32;9.494.820;354.943.521
05-04-2018;2,27;2,28;1,93;2,18;2.982.490;333.805.034
04-04-2018;2,23;2,39;2,17;2,26;2.418.870;346.312.709
03-04-2018;2,14;2,28;2,1;2,23;1.712.730;340.676.938
02-04-2018;2,14;2,19;2,06;2,14;1.482.670;327.161.132
01-04-2018;2,32;2,38;1,88;2,13;2.102.730;325.725.702
31-03-2018;2,21;2,36;2,21;2,32;1.522.010;355.081.721
30-03-2018;2,23;2,32;2,09;2,21;2.128.130;337.386.000
29-03-2018;2,62;2,65;2,22;2,24;2.478.630;342.131.177
28-03-2018;2,54;2,66;2,49;2,64;1.711.720;402.529.257
27-03-2018;2,66;2,77;2,52;2,55;2.798.750;389.191.400
26-03-2018;2,7;2,83;2,44;2,68;9.595.740;408.801.044
25-03-2018;2,8;2,83;2,58;2,71;2.694.490;413.589.659
24-03-2018;2,9;3,01;2,8;2,82;3.594.230;-
23-03-2018;2,98;3;2,68;2,86;2.853.170;-
22-03-2018;3,13;3,18;2,65;2,97;4.731.350;-
21-03-2018;2,71;3,44;2,66;3,09;10.464.000;-
20-03-2018;2,59;2,97;2,49;2,71;3.055.200;-
19-03-2018;2,31;2,65;2,31;2,55;3.167.180;-
18-03-2018;3,01;3,01;1,97;2,32;6.620.660;-
17-03-2018;2,93;3,24;2,89;3;4.567.900;-
16-03-2018;2,99;3,18;2,82;2,99;4.550.200;-
15-03-2018;3,28;3,32;2,91;2,98;15.876.800;-
14-03-2018;3,98;4,06;3,25;3,26;2.109.530;-
13-03-2018;3,87;4,07;3,79;3,98;2.079.760;-
12-03-2018;3,94;4,05;3,68;3,88;3.236.790;-
11-03-2018;3,79;4,04;3,63;3,95;2.905.510;-
10-03-2018;3,97;4,24;3,75;3,81;3.850.480;-
09-03-2018;4,24;4,29;3,63;3,89;10.381.700;-
08-03-2018;4,67;4,79;4,09;4,24;10.135.900;-
07-03-2018;5,69;5,82;4,54;4,67;11.110.500;-
06-03-2018;6,42;6,51;5,54;5,71;51.648.900;-
05-03-2018;5,39;6,42;5,25;6,42;43.129.800;-
04-03-2018;5,9;5,9;5,17;5,39;7.896.470;-
03-03-2018;6,11;6,26;5,82;5,92;5.544.040;-
02-03-2018;6,17;6,34;5,98;6,11;5.708.930;-
01-03-2018;6,38;6,47;6,05;6,17;5.355.800;-
