HC;HyperCash;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;7,12;7,5;7,07;7,32;34.315.700;314.949.921
30-05-2018;7,33;7,46;6,95;7,08;31.690.400;304.760.288
29-05-2018;6,8;7,47;6,64;7,25;35.738.800;311.892.691
28-05-2018;7,15;7,29;6,7;6,76;30.733.800;290.802.409
27-05-2018;7,31;7,33;6,98;7,12;31.311.200;306.546.480
26-05-2018;7,11;7,49;7,03;7,3;31.176.900;314.093.518
25-05-2018;7,45;7,53;6,94;7,07;37.251.200;304.343.267
24-05-2018;6,88;7,59;6,73;7,43;46.460.400;319.465.979
23-05-2018;8,41;8,43;6,7;6,87;50.282.700;295.760.637
22-05-2018;9,16;9,16;8,39;8,41;40.312.400;361.875.963
21-05-2018;9,39;9,67;8,94;9,1;44.392.800;391.465.331
20-05-2018;9;9,53;8,88;9,36;42.344.200;402.428.175
19-05-2018;9,09;9,32;8,86;9,02;39.073.100;387.854.237
18-05-2018;8,92;9,17;8,54;9,1;45.855.000;391.139.183
17-05-2018;9,26;9,71;8,79;8,89;44.861.700;382.261.414
16-05-2018;9,76;9,77;8,92;9,26;46.417.100;398.224.543
15-05-2018;9,7;10,67;9,51;9,79;64.361.200;420.645.632
14-05-2018;9,82;9,88;9,02;9,73;59.161.300;418.102.404
13-05-2018;9,44;10;8,96;9,81;53.869.800;421.701.766
12-05-2018;9,28;9,73;8,19;9,47;62.758.500;406.899.340
11-05-2018;11;11;9;9,3;58.290.300;399.571.924
10-05-2018;11,48;11,71;10,96;11;61.131.000;472.791.306
09-05-2018;11,87;11,87;11,15;11,52;67.079.000;494.886.135
08-05-2018;11,93;12,41;11,59;11,85;71.529.800;508.904.795
07-05-2018;12,28;12,37;11,2;11,91;84.227.600;511.430.015
06-05-2018;13,2;13,3;12,04;12,28;77.171.400;527.454.845
05-05-2018;13,38;13,91;13,05;13,24;84.740.400;568.717.370
04-05-2018;14,29;14,29;12,82;13,42;110.429.000;576.303.671
03-05-2018;12,83;16,02;12,57;14,28;275.380.000;613.392.571
02-05-2018;11,3;13,3;11,1;12,84;79.826.200;551.291.957
01-05-2018;11,1;11,35;10,21;11,3;56.850.900;485.124.384
30-04-2018;12,32;12,86;10,85;11,04;65.162.100;473.891.614
29-04-2018;13,33;13,58;11,78;12,39;87.550.896;531.687.222
28-04-2018;11,27;13,52;11,24;13,32;102.845.000;571.724.261
27-04-2018;10,62;12,43;10,27;11,29;94.696.400;484.357.926
26-04-2018;8,99;10,67;8,75;10,63;90.817.600;456.187.741
25-04-2018;10,62;10,62;8,71;8,94;82.181.504;383.427.562
24-04-2018;8,28;10,91;8,28;10,68;106.743.000;458.092.514
23-04-2018;7,79;8,3;7,79;8,28;46.584.800;355.396.860
22-04-2018;7,71;8,2;7,51;7,8;44.028.600;334.770.498
21-04-2018;8,31;8,33;7,34;7,67;44.306.500;328.858.908
20-04-2018;7,46;8,41;7,23;8,29;46.447.900;355.665.841
19-04-2018;7,08;7,47;6,98;7,44;33.806.900;319.023.255
18-04-2018;6,59;7,12;6,58;7,06;44.181.100;302.798.830
17-04-2018;6,65;6,85;6,57;6,58;49.431.200;282.282.355
16-04-2018;7,01;7,02;6,47;6,63;17.837.300;284.448.218
15-04-2018;6,64;7,12;6,63;7,02;20.285.800;301.134.994
14-04-2018;6,65;6,95;6,45;6,63;20.449.400;284.115.912
13-04-2018;7,14;7,53;6,62;6,69;29.132.000;286.632.744
12-04-2018;5,49;7,22;5,39;7,16;37.222.900;306.784.053
11-04-2018;5,21;5,52;5,17;5,52;16.439.500;236.454.379
10-04-2018;5,2;5,28;5,13;5,19;13.608.900;222.526.059
09-04-2018;5,28;5,56;5,12;5,21;15.606.400;223.385.014
08-04-2018;5,2;5,35;5,16;5,3;12.939.800;227.013.459
07-04-2018;5,12;5,35;5,1;5,21;12.123.500;222.988.285
06-04-2018;5,34;5,49;5,06;5,12;15.049.100;219.175.482
05-04-2018;5,28;5,39;5,16;5,36;14.967.700;229.660.236
04-04-2018;5,75;5,75;5,17;5,28;13.782.400;226.199.901
03-04-2018;5,8;5,92;5,63;5,74;14.844.800;245.793.059
02-04-2018;5,51;5,82;5,46;5,77;13.280.400;246.954.315
01-04-2018;5,7;5,97;5,26;5,51;15.346.600;235.843.890
31-03-2018;5,61;5,86;5,58;5,7;15.236.700;243.914.827
