XRP;Ripple;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,603452;0,621636;0,596089;0,612622;283.328.000;24.008.636.723
30-05-2018;0,603769;0,627679;0,590058;0,605817;320.604.992;23.741.948.989
29-05-2018;0,556084;0,610749;0,551635;0,601241;380.744.000;23.562.615.694
28-05-2018;0,608368;0,609781;0,552299;0,552299;327.903.008;21.644.580.268
27-05-2018;0,61204;0,612884;0,603328;0,607881;186.963.008;23.822.837.083
26-05-2018;0,610118;0,626494;0,6038;0,612708;213.242.000;24.012.007.060
25-05-2018;0,632924;0,636208;0,603334;0,611001;289.816.000;23.945.109.784
24-05-2018;0,599207;0,640258;0,589272;0,631997;440.532.992;24.767.942.357
23-05-2018;0,648634;0,649121;0,586997;0,599594;482.480.992;23.498.069.816
22-05-2018;0,682151;0,682933;0,644588;0,645567;234.712.992;25.299.750.226
21-05-2018;0,700441;0,703051;0,676203;0,681587;250.480.992;26.711.372.882
20-05-2018;0,677258;0,704614;0,673348;0,700244;275.614.016;27.442.540.120
19-05-2018;0,680759;0,69045;0,665896;0,676713;249.039.008;26.520.360.977
18-05-2018;0,6654;0,685625;0,65339;0,680294;344.944.000;26.660.700.253
17-05-2018;0,713388;0,714618;0,661213;0,66731;337.999.008;26.151.857.706
16-05-2018;0,69592;0,714081;0,669438;0,714081;429.641.984;27.984.811.710
15-05-2018;0,738938;0,752269;0,692667;0,698588;422.980.000;27.377.641.532
14-05-2018;0,744701;0,756983;0,707693;0,740898;613.462.016;29.035.769.088
13-05-2018;0,698085;0,758977;0,680971;0,745748;532.488.000;29.225.840.434
12-05-2018;0,685772;0,714918;0,639771;0,696735;596.684.992;27.305.022.521
11-05-2018;0,756578;0,761326;0,656026;0,684948;991.409.024;26.843.090.365
10-05-2018;0,803212;0,808914;0,757342;0,758237;399.324.000;29.706.405.924
09-05-2018;0,813393;0,819969;0,7703;0,802043;611.574.976;31.422.648.759
08-05-2018;0,833086;0,846992;0,803568;0,81397;465.040.992;31.889.927.859
07-05-2018;0,871214;0,871236;0,812933;0,832641;602.534.976;32.621.425.142
06-05-2018;0,904235;0,918675;0,855972;0,871424;640.057.024;34.140.875.579
05-05-2018;0,895562;0,922354;0,895562;0,905103;668.800.000;35.460.360.179
04-05-2018;0,881536;0,927695;0,866922;0,895442;1.007.609.984;35.081.859.015
03-05-2018;0,85898;0,892916;0,847319;0,884466;725.228.992;34.651.838.439
02-05-2018;0,839355;0,86428;0,831713;0,859094;544.425.984;33.636.838.508
01-05-2018;0,838355;0,842069;0,797826;0,841407;630.809.024;32.944.324.345
30-04-2018;0,871404;0,876788;0,831208;0,837938;575.363.968;32.802.091.383
29-04-2018;0,864399;0,904945;0,83448;0,872778;896.313.984;34.165.945.109
28-04-2018;0,812063;0,887591;0,812063;0,863804;788.718.976;33.814.647.080
27-04-2018;0,851139;0,859641;0,813885;0,813885;673.793.024;31.860.507.753
26-04-2018;0,801774;0,852414;0,771787;0,852414;1.028.590.016;33.368.771.823
25-04-2018;0,932771;0,932771;0,779231;0,800607;1.614.050.048;31.340.724.464
24-04-2018;0,876012;0,96561;0,873566;0,934781;1.572.930.048;36.593.127.159
23-04-2018;0,866578;0,88629;0,863304;0,876657;674.545.024;34.317.793.232
22-04-2018;0,86682;0,911901;0,848091;0,869995;946.398.976;34.036.636.008
21-04-2018;0,925021;0,925021;0,821113;0,873103;1.563.970.048;34.158.229.655
20-04-2018;0,791172;0,938354;0,791172;0,924465;2.344.069.888;36.167.654.650
19-04-2018;0,712059;0,791976;0,706841;0,791976;878.328.000;30.984.314.668
18-04-2018;0,657052;0,721426;0,657052;0,708932;624.049.024;27.735.401.282
17-04-2018;0,66489;0,677356;0,654346;0,656933;442.352.992;25.701.055.067
16-04-2018;0,682296;0,687165;0,63861;0,663297;531.996.000;25.950.032.534
15-04-2018;0,634883;0,682534;0,634143;0,682534;609.636.992;26.702.637.741
14-04-2018;0,63738;0,661508;0,616307;0,632184;626.268.032;24.732.805.014
