HT;Huobi Token;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;3,76;4,6;3,76;4,43;121.026.000;221.255.885
30-05-2018;3,74;3,93;3,68;3,77;77.448.000;188.466.754
29-05-2018;3,51;3,77;3,36;3,71;82.249.696;185.655.743
28-05-2018;3,79;3,83;3,51;3,52;75.279.200;176.170.705
27-05-2018;3,77;3,82;3,69;3,79;43.400.100;189.385.758
26-05-2018;3,79;3,88;3,74;3,77;51.483.300;188.672.255
25-05-2018;3,92;3,92;3,74;3,8;38.277.600;189.834.259
24-05-2018;3,57;3,94;3,45;3,92;81.689.600;196.097.284
23-05-2018;4,03;4,08;3,36;3,59;125.450.000;179.291.717
22-05-2018;4,3;4,38;4,03;4,05;102.122.000;202.348.809
21-05-2018;4,56;4,81;4,16;4,37;137.723.008;218.482.374
20-05-2018;4,75;4,75;3,93;4,54;168.956.992;227.109.408
19-05-2018;5,13;5,47;4,59;4,79;221.112.992;239.272.457
18-05-2018;4,72;5,17;4,31;5,13;144.928.000;256.709.027
17-05-2018;4,27;4,92;4,2;4,72;129.941.000;235.911.444
16-05-2018;4,34;4,34;3,85;4,27;104.014.000;213.566.854
15-05-2018;4,2;4,49;4,08;4,35;115.820.000;217.372.369
14-05-2018;3,64;4,28;3,59;4,21;92.537.400;210.717.843
13-05-2018;3,68;3,78;3,49;3,64;49.205.800;182.173.729
12-05-2018;3,74;3,92;3,28;3,68;117.939.000;184.050.236
11-05-2018;3,91;3,99;3,36;3,76;138.875.008;188.057.752
10-05-2018;3,41;4,18;3,4;3,9;144.260.992;194.791.779
09-05-2018;2,8;3,67;2,78;3,45;112.671.000;172.527.690
08-05-2018;2,7;2,83;2,7;2,81;40.265.100;140.357.061
07-05-2018;2,67;2,74;2,53;2,7;42.959.900;134.916.540
06-05-2018;2,68;2,72;2,54;2,67;44.782.000;133.519.034
05-05-2018;2,69;2,85;2,68;2,68;54.408.800;133.928.036
04-05-2018;2,69;2,74;2,57;2,69;49.574.900;134.523.038
03-05-2018;2,81;2,83;2,63;2,69;72.545.400;134.468.038
02-05-2018;2,63;2,79;2,59;2,79;51.712.500;139.548.558
01-05-2018;2,78;2,79;2,47;2,66;74.343.600;133.052.532
30-04-2018;2,35;2,85;2,3;2,76;101.021.000;137.834.551
29-04-2018;2,38;2,42;2,27;2,35;56.728.800;117.659.471
28-04-2018;2,19;2,4;2,17;2,38;64.296.100;118.866.475
27-04-2018;2,16;2,3;2,14;2,2;63.116.800;109.867.439
26-04-2018;2,01;2,18;1,94;2,18;50.932.100;108.774.935
25-04-2018;2,28;2,28;1,94;1,99;68.501.200;-
24-04-2018;2,18;2,31;2,15;2,29;67.479.200;-
23-04-2018;2;2,21;2;2,17;66.029.700;-
22-04-2018;1,84;2,12;1,82;2,01;98.543.696;-
21-04-2018;1,92;1,93;1,81;1,85;62.022.700;-
20-04-2018;1,92;1,94;1,85;1,92;76.364.400;-
19-04-2018;1,84;1,92;1,84;1,92;60.716.200;-
18-04-2018;1,78;1,85;1,77;1,84;56.196.500;-
17-04-2018;1,8;1,83;1,76;1,77;56.799.800;-
16-04-2018;1,88;1,89;1,74;1,8;73.839.104;-
15-04-2018;1,82;1,89;1,82;1,88;58.622.800;-
14-04-2018;1,87;1,92;1,8;1,82;57.346.900;-
13-04-2018;1,85;2,02;1,8;1,88;87.816.000;-
12-04-2018;1,73;1,88;1,73;1,83;99.100.000;-
11-04-2018;1,69;1,74;1,68;1,74;111.972.000;-
10-04-2018;1,71;1,72;1,66;1,69;108.873.000;-
09-04-2018;1,74;1,75;1,67;1,71;107.451.000;-
08-04-2018;1,69;1,75;1,65;1,73;108.350.000;-
07-04-2018;1,6;1,69;1,59;1,69;107.965.000;-
06-04-2018;1,62;1,67;1,57;1,6;102.041.000;-
05-04-2018;1,66;1,66;1,6;1,62;106.640.000;-
04-04-2018;1,71;1,72;1,64;1,66;107.751.000;-
03-04-2018;1,73;1,74;1,7;1,72;111.848.000;-
02-04-2018;1,7;1,73;1,67;1,73;107.241.000;-
01-04-2018;1,74;1,76;1,6;1,69;125.413.000;-
31-03-2018;1,71;1,78;1,7;1,74;118.066.000;-
30-03-2018;1,58;1,72;1,5;1,71;146.178.000;-
29-03-2018;1,67;1,68;1,57;1,58;128.834.000;-
28-03-2018;1,5;1,7;1,5;1,67;144.188.992;-
27-03-2018;1,49;1,55;1,44;1,51;60.866.800;-
26-03-2018;1,51;1,59;1,44;1,5;72.547.504;-
25-03-2018;1,51;1,56;1,47;1,51;61.138.000;-
24-03-2018;1,46;1,78;1,43;1,53;112.195.000;-
23-03-2018;1,47;1,47;1,36;1,45;59.713.700;-
22-03-2018;1,51;1,55;1,41;1,47;57.782.100;-
21-03-2018;1,5;1,55;1,48;1,51;64.809.700;-
20-03-2018;1,5;1,52;1,4;1,49;72.994.304;-
19-03-2018;1,37;1,49;1,34;1,49;70.440.000;-
18-03-2018;1,42;1,42;1,23;1,38;78.305.400;-
17-03-2018;1,51;1,52;1,4;1,42;56.058.500;-
16-03-2018;1,49;1,57;1,43;1,51;68.990.200;-
15-03-2018;1,48;1,53;1,37;1,49;78.494.896;-
14-03-2018;1,65;1,68;1,46;1,48;78.271.600;-
13-03-2018;1,67;1,68;1,59;1,65;64.170.000;-
