WAVES;WAVES;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;4,02;4,34;3,94;4,21;32.115.900;420.676.000
30-05-2018;4,31;4,61;3,97;4,02;29.197.700;401.769.000
29-05-2018;3,89;4,31;3,81;4,31;24.131.500;430.678.000
28-05-2018;4,22;4,24;3,86;3,89;22.225.000;389.020.000
27-05-2018;4,39;4,4;4,21;4,22;20.537.400;421.786.000
26-05-2018;4,46;4,57;4,37;4,38;21.695.600;438.472.000
25-05-2018;4,77;4,78;4,44;4,47;20.935.600;447.087.000
24-05-2018;4,53;4,89;4,39;4,76;23.032.900;475.925.000
23-05-2018;5,25;5,27;4,49;4,53;23.755.200;453.168.000
22-05-2018;5,78;5,78;5,21;5,24;31.049.600;524.274.000
21-05-2018;6,07;6,12;5,75;5,78;30.064.300;577.539.000
20-05-2018;5,91;6,16;5,85;6,07;28.313.700;607.135.000
19-05-2018;6,05;6,11;5,87;5,9;29.222.600;590.110.000
18-05-2018;5,78;6,11;5,64;6,04;30.762.400;604.157.000
17-05-2018;6,17;6,26;5,73;5,77;27.222.400;577.118.000
16-05-2018;6,14;6,39;5,82;6,15;29.288.500;614.829.000
15-05-2018;6,6;6,8;6,1;6,15;32.033.500;615.425.000
14-05-2018;6,6;6,8;6,13;6,6;32.230.800;660.185.000
13-05-2018;6,25;6,7;6,07;6,57;29.907.500;657.223.000
12-05-2018;5,96;6,32;5,84;6,22;27.323.400;622.295.000
11-05-2018;6,47;6,47;5,86;5,99;30.847.200;598.502.000
10-05-2018;6,69;6,83;6,48;6,48;30.911.200;647.877.000
09-05-2018;6,48;6,71;6,07;6,71;31.702.700;671.353.000
08-05-2018;6,67;6,83;6,34;6,52;29.039.900;651.699.000
07-05-2018;6,95;6,95;6,41;6,66;30.819.700;665.620.000
06-05-2018;7,34;7,38;6,79;6,95;29.302.600;694.606.000
05-05-2018;7,71;7,73;7,26;7,34;34.997.800;733.966.000
04-05-2018;7,83;7,85;7,48;7,72;39.694.400;771.859.000
03-05-2018;7,45;7,97;7,22;7,83;46.859.200;783.014.000
02-05-2018;6,81;7,52;6,68;7,46;43.600.200;746.437.000
01-05-2018;6,72;6,88;6,39;6,82;36.221.300;682.012.000
30-04-2018;7,01;7,27;6,53;6,71;52.958.700;670.916.000
29-04-2018;6,46;8,55;6,45;7,01;124.324.000;701.147.000
28-04-2018;5,47;6,78;5,24;6,45;74.545.904;644.944.000
