ZRX;0X;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;1,23;1,35;1,22;1,28;24.019.900;681.896.637
30-05-2018;1,25;1,43;1,2;1,24;61.238.000;656.569.022
29-05-2018;1,04;1,31;1,04;1,25;33.023.800;664.529.599
28-05-2018;1,18;1,23;1,02;1,04;17.668.100;549.805.268
27-05-2018;1,21;1,22;1,15;1,18;13.848.800;626.726.636
26-05-2018;1,28;1,3;1,21;1,21;16.562.000;643.153.767
25-05-2018;1,37;1,42;1,26;1,28;24.881.000;677.495.153
24-05-2018;1,35;1,46;1,18;1,36;69.716.304;722.085.558
23-05-2018;1,16;1,53;1,02;1,34;109.784.000;710.331.646
22-05-2018;1,34;1,34;1,15;1,16;13.504.300;611.067.144
21-05-2018;1,46;1,46;1,31;1,34;11.400.100;707.348.093
20-05-2018;1,46;1,47;1,38;1,46;17.562.300;772.183.377
19-05-2018;1,31;1,5;1,27;1,46;21.572.600;772.400.851
18-05-2018;1,25;1,33;1,21;1,31;13.513.400;690.353.053
17-05-2018;1,37;1,47;1,24;1,25;17.967.300;661.062.537
16-05-2018;1,48;1,49;1,31;1,37;22.546.000;725.735.490
15-05-2018;1,55;1,6;1,48;1,49;25.323.200;787.950.210
14-05-2018;1,74;1,76;1,52;1,55;39.254.100;821.761.403
13-05-2018;1,65;1,8;1,58;1,76;26.815.200;928.994.097
12-05-2018;1,67;1,75;1,56;1,65;31.528.600;870.475.523
11-05-2018;1,87;1,95;1,55;1,68;73.323.696;885.164.939
10-05-2018;1,73;2,03;1,73;1,87;79.254.200;985.504.581
09-05-2018;1,73;1,81;1,55;1,72;42.871.100;910.320.207
08-05-2018;1,71;1,85;1,62;1,74;62.004.400;916.500.695
07-05-2018;1,61;1,77;1,48;1,71;51.526.300;903.799.602
06-05-2018;1,63;1,63;1,42;1,6;26.020.400;844.073.860
05-05-2018;1,74;1,74;1,55;1,64;42.183.700;863.644.258
04-05-2018;1,46;1,74;1,44;1,74;66.082.900;917.732.634
03-05-2018;1,31;1,5;1,31;1,47;41.261.000;773.807.255
02-05-2018;1,2;1,33;1,19;1,32;18.364.000;691.347.021
01-05-2018;1,18;1,2;1,11;1,2;8.402.910;630.855.776
30-04-2018;1,29;1,32;1,17;1,18;15.398.400;619.351.553
29-04-2018;1,21;1,29;1,17;1,29;15.139.900;679.378.959
28-04-2018;1,06;1,2;1,06;1,2;12.163.300;632.081.723
27-04-2018;1,14;1,17;1,07;1,07;11.468.700;559.611.736
26-04-2018;1,01;1,14;0,987134;1,14;22.609.800;599.374.168
25-04-2018;1,16;1,17;0,930012;1;21.908.800;527.666.291
24-04-2018;1;1,19;0,999462;1,18;20.916.100;618.116.698
23-04-2018;0,986294;1,05;0,974842;1;12.697.400;525.900.812
22-04-2018;0,92334;1,03;0,908699;0,989329;12.194.800;519.213.123
21-04-2018;0,987339;0,988635;0,848412;0,925737;13.669.900;485.788.240
20-04-2018;0,911048;0,989289;0,908496;0,987393;13.211.600;518.034.279
19-04-2018;0,922522;0,923694;0,882704;0,910871;12.641.600;477.431.465
18-04-2018;0,834345;0,925666;0,830546;0,921562;19.961.100;482.990.894
17-04-2018;0,749219;0,865321;0,737612;0,832962;17.849.000;435.749.626
16-04-2018;0,796338;0,799934;0,728368;0,748151;9.432.380;391.109.211
15-04-2018;0,737839;0,795601;0,737839;0,794809;9.953.590;415.510.082
14-04-2018;0,683097;0,752181;0,675866;0,734964;9.601.650;384.196.822
13-04-2018;0,693395;0,733442;0,663744;0,683492;9.751.480;357.247.394
12-04-2018;0,597102;0,693241;0,586872;0,69086;11.778.600;361.150.091
11-04-2018;0,560515;0,632883;0,557904;0,601094;14.279.900;314.309.940
10-04-2018;0,539508;0,567898;0,531878;0,55965;4.924.860;292.539.599
09-04-2018;0,570968;0,59743;0,52991;0,538626;5.771.320;281.464.743
08-04-2018;0,537749;0,587152;0,536676;0,569958;7.168.460;297.803.448
07-04-2018;0,518935;0,55233;0,517437;0,540932;4.952.320;282.589.641
06-04-2018;0,545051;0,552791;0,506217;0,51904;6.396.980;271.124.641
05-04-2018;0,521423;0,684956;0,503211;0,545786;35.059.200;285.147.004
04-04-2018;0,595003;0,595003;0,511321;0,521539;5.016.430;272.197.133
03-04-2018;0,532139;0,63231;0,522737;0,595733;10.138.500;310.818.741
02-04-2018;0,505667;0,544264;0,503517;0,531577;4.329.230;277.283.347
01-04-2018;0,547496;0,575094;0,474197;0,504651;5.419.080;263.210.477
31-03-2018;0,513031;0,5614;0,511179;0,547294;4.848.730;285.349.206
30-03-2018;0,533715;0,535158;0,475715;0,513417;5.662.420;267.629.275
29-03-2018;0,635285;0,658245;0,507468;0,5354;8.268.510;279.117.325
28-03-2018;0,635673;0,651955;0,600326;0,633827;11.336.500;330.440.411
27-03-2018;0,65351;0,699362;0,567041;0,637713;32.818.400;332.443.067
26-03-2018;0,59527;0,801527;0,508499;0,659132;45.730.400;342.850.159
25-03-2018;0,592728;0,613129;0,562428;0,595489;4.898.480;309.432.792
24-03-2018;0,560314;0,618665;0,554062;0,5979;5.652.270;310.774.490
23-03-2018;0,578563;0,583475;0,511481;0,554259;5.367.430;287.957.344
22-03-2018;0,582848;0,633587;0,554356;0,578416;8.667.940;300.509.005
21-03-2018;0,537362;0,617998;0,537362;0,582054;7.988.280;302.252.971
20-03-2018;0,468713;0,558981;0,460619;0,534654;6.190.060;277.494.733
19-03-2018;0,442396;0,464974;0,43512;0,464974;3.859.170;241.175.403
18-03-2018;0,443938;0,443938;0,354991;0,441154;5.900.160;228.680.492
17-03-2018;0,503508;0,503508;0,442287;0,444696;3.134.240;230.430.627
16-03-2018;0,48489;0,529674;0,46864;0,503941;4.675.690;261.120.300
15-03-2018;0,517678;0,520949;0,460781;0,486085;4.601.280;251.756.274
14-03-2018;0,595073;0,608643;0,514046;0,51839;4.919.120;268.394.794
13-03-2018;0,626599;0,658558;0,584119;0,595122;5.484.210;307.675.780
12-03-2018;0,683034;0,708498;0,617465;0,628817;4.099.150;325.129.282
11-03-2018;0,631398;0,684097;0,609048;0,682246;4.172.970;352.694.351
10-03-2018;0,646254;0,733354;0,633139;0,635473;7.654.580;328.419.815
09-03-2018;0,637627;0,646006;0,567193;0,645375;5.198.880;333.303.363
08-03-2018;0,70159;0,735299;0,637734;0,641815;6.500.550;332.020.132
07-03-2018;0,783247;0,795471;0,670935;0,696557;7.856.390;360.120.742
06-03-2018;0,887447;0,887447;0,778876;0,784441;6.516.140;405.406.628
05-03-2018;0,920334;0,930618;0,887097;0,887579;6.025.120;458.412.170
04-03-2018;0,915349;0,923982;0,890946;0,921463;5.709.570;475.871.081
03-03-2018;0,934461;0,969524;0,909748;0,917723;6.815.010;473.732.568
02-03-2018;0,96152;1,01;0,930779;0,938003;7.594.580;484.224.990
01-03-2018;0,916661;0,969874;0,880255;0,962535;8.661.110;496.754.734
