REP;AUGUR;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;36,71;38,5;35,86;38,33;5.226.430;421.637.700
30-05-2018;37,73;41,88;35,6;36,56;22.659.900;402.141.300
29-05-2018;33,11;38,19;32,89;37,65;7.646.880;414.096.100
28-05-2018;38,48;38,67;33,06;33,12;4.541.680;364.335.400
27-05-2018;39,32;39,34;38,24;38,42;1.858.430;422.585.900
26-05-2018;39,81;40,62;38,98;39,3;2.230.330;432.247.200
25-05-2018;42,04;42,1;39,3;39,87;2.920.670;438.517.200
24-05-2018;42,31;43,67;38,86;42,03;4.717.330;462.336.600
23-05-2018;45,65;46,09;39,64;42,4;6.696.380;466.440.700
22-05-2018;51,81;52,06;45,7;45,7;6.336.860;502.684.600
21-05-2018;54,31;54,31;51,27;51,8;4.768.330;569.806.600
20-05-2018;53,7;54,51;53,34;54,3;4.920.690;597.273.600
19-05-2018;55,44;55,44;52,8;53,83;5.719.420;592.164.100
18-05-2018;58,77;58,77;52,48;55,63;19.573.000;611.904.700
17-05-2018;50,46;62,06;49,77;56,8;45.546.500;624.796.700
16-05-2018;54,09;54,09;48,58;50,41;7.927.180;554.456.100
15-05-2018;56,25;60,96;53,59;54,23;32.647.100;596.580.600
14-05-2018;52,84;60,9;49,59;54,08;25.761.300;594.924.000
13-05-2018;52,15;54,76;50,62;52,98;21.361.200;582.733.800
12-05-2018;55,09;58,19;46,78;52,12;42.809.600;573.277.100
11-05-2018;44,19;82,79;43,66;56,03;233.639.008;616.309.100
10-05-2018;50,27;50,79;44,28;44,28;11.391.600;487.084.400
09-05-2018;44,96;54,67;43,72;50,41;29.858.400;554.510.000
08-05-2018;41,61;47,77;41,56;45,1;6.110.470;496.124.200
07-05-2018;42,89;42,94;40,9;41,53;2.438.810;456.812.400
06-05-2018;43,99;44,46;41,32;42,87;2.441.390;471.599.700
05-05-2018;43,17;44,49;42,88;43,87;2.376.260;482.524.900
04-05-2018;44,27;45,41;42,23;43,23;5.979.110;475.527.800
03-05-2018;39,27;48,36;39,2;44,26;15.720.800;486.887.500
02-05-2018;39;39,62;38,47;39,31;5.720.970;432.459.500
01-05-2018;40,55;40,55;38;39,1;3.451.230;430.091.200
30-04-2018;40,61;40,74;39,44;40,22;4.960.360;442.427.700
29-04-2018;41,9;42,35;39,72;40,64;3.249.770;447.000.400
28-04-2018;40,05;42,02;40,05;41,85;5.449.030;460.386.300
27-04-2018;43,27;43,4;40,18;40,18;4.329.780;441.973.400
26-04-2018;40,4;43,32;39,15;43,05;4.840.830;473.600.600
25-04-2018;45,34;45,34;37,19;40,14;8.114.520;441.512.500
24-04-2018;42,3;46,2;42,01;45,61;5.664.540;501.689.100
23-04-2018;39,87;42,38;39,81;42,33;5.177.210;465.666.300
22-04-2018;38,6;41,26;38,04;40,01;3.313.010;440.099.000
21-04-2018;39,88;41,27;36,89;38,58;4.358.770;424.411.900
20-04-2018;38,35;40,44;36,02;39,77;7.895.470;437.435.900
19-04-2018;32,61;46,26;32,61;38,39;41.060.900;422.280.100
18-04-2018;28,87;32,52;28,86;32,49;6.017.390;357.377.900
17-04-2018;28,92;29,71;28,67;28,91;3.756.930;318.045.200
16-04-2018;30,61;30,87;27,97;28,82;3.064.510;317.014.500
15-04-2018;29,09;30,81;28,48;30,6;4.083.270;336.651.700
14-04-2018;29,18;29,95;28,82;29,06;2.545.820;319.623.700
13-04-2018;27,93;30,8;26,72;29,12;6.691.810;320.295.800
12-04-2018;25,33;28,03;24,61;27,91;4.261.610;307.010.000
11-04-2018;24,71;25,45;24,63;25,44;3.704.980;279.888.400
10-04-2018;24,36;24,84;23,84;24,69;2.501.210;271.584.500
09-04-2018;25,2;26,02;23,94;24,3;3.051.500;267.275.800
08-04-2018;24,48;25,19;24,42;25,13;1.662.580;276.468.500
07-04-2018;24,15;25,15;24,03;24,61;4.688.120;270.678.100
06-04-2018;26,59;26,85;23,85;24,14;2.657.430;265.549.900
05-04-2018;24;27,44;23,57;26,8;13.681.200;294.849.500
04-04-2018;27,39;27,73;23,72;24,11;5.055.970;265.199.000
03-04-2018;25,64;27,85;25,39;27,4;8.334.870;301.401.100
02-04-2018;24,48;26,79;24,27;25,59;2.780.470;281.495.500
01-04-2018;26,13;26,27;23,5;24,35;3.035.320;267.856.600
31-03-2018;25,82;27,14;25,77;26,05;1.773.600;286.546.700
30-03-2018;26,77;27,91;25,38;25,78;3.202.250;283.620.700
29-03-2018;33,12;33,26;25,84;26,81;3.754.160;294.926.500
28-03-2018;32,55;34,15;32,44;33,1;1.503.290;364.051.600
27-03-2018;34,59;34,93;31,57;32,5;1.888.530;357.531.900
26-03-2018;34,22;35,83;31,5;34,46;2.000.870;379.084.200
25-03-2018;34,7;35,05;33,83;34,23;1.317.420;376.515.700
24-03-2018;35,46;36,22;34,75;34,75;1.586.080;382.250.000
23-03-2018;35,14;35,27;32,88;35,19;2.044.590;387.079.000
22-03-2018;36;36,67;34,16;35,19;2.092.790;387.036.100
21-03-2018;35,53;37,07;35,36;36,15;1.829.720;397.683.000
20-03-2018;33,39;36,16;32,76;35,44;2.631.030;389.787.200
19-03-2018;29,65;38,33;29,38;33,2;6.772.720;365.156.000
18-03-2018;30,48;30,48;25,7;29,7;3.395.650;326.702.200
17-03-2018;33,08;33,08;30,18;30,6;2.155.120;336.648.400
16-03-2018;31,97;34,45;30,92;33,12;2.816.490;364.288.100
15-03-2018;31,39;32,91;29,85;32;3.208.130;352.027.500
14-03-2018;38,06;39,29;30,43;31,22;5.450.020;343.437.600
13-03-2018;34,85;38,43;34,34;38,14;3.316.910;419.552.100
12-03-2018;36,27;37,51;33,96;34,94;1.873.620;384.332.300
11-03-2018;33,34;36,98;32,41;36,18;3.517.790;397.961.300
10-03-2018;36,84;37,92;33,2;33,34;2.601.440;366.722.400
09-03-2018;38,54;38,74;34,09;36,84;3.423.080;405.253.200
08-03-2018;39,18;41,41;37,86;38,52;2.800.740;423.754.100
07-03-2018;43,56;43,81;38,32;39,21;2.803.190;431.262.700
06-03-2018;46,15;46,15;43,21;43,46;1.805.870;478.043.500
05-03-2018;46,6;46,88;46,16;46,42;2.344.600;510.632.100
04-03-2018;47,25;47,29;45,13;46,53;2.616.020;511.794.800
03-03-2018;45,14;48,76;45,14;47,25;3.225.040;519.776.400
02-03-2018;46,98;47,97;45,09;45,19;3.022.380;497.055.900
01-03-2018;45,86;47,23;44,27;47,01;3.919.940;517.130.900
