NANO;NANO;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;4,04;4,34;3,96;4,2;10.246.500;559.116.484
30-05-2018;4,13;4,28;3,82;4,06;9.337.210;540.359.122
29-05-2018;3,55;4,27;3,51;4,13;12.113.800;550.446.018
28-05-2018;4,05;4,07;3,53;3,55;9.196.120;472.598.370
27-05-2018;4,22;4,22;3,97;4,04;5.867.250;538.722.833
26-05-2018;4,35;4,48;4,2;4,22;2.690.680;562.183.860
25-05-2018;4,56;4,6;4,27;4,34;5.173.310;577.991.104
24-05-2018;4,34;4,72;4,19;4,56;8.192.180;608.213.149
23-05-2018;4,87;5,08;4,24;4,34;12.566.700;578.621.368
22-05-2018;5,39;5,43;4,73;4,87;12.616.300;649.205.652
21-05-2018;5,74;5,8;5,22;5,38;12.723.000;717.300.858
20-05-2018;5,53;5,82;5,45;5,71;9.096.920;761.291.448
19-05-2018;5,58;5,69;5,45;5,53;6.332.790;736.400.668
18-05-2018;5,5;5,73;5,27;5,6;11.206.400;745.919.926
17-05-2018;6,02;6,17;5,47;5,48;8.299.030;730.709.633
16-05-2018;6,1;6,16;5,77;6,01;5.302.870;801.301.912
15-05-2018;6,39;6,6;6,1;6,14;7.133.530;818.109.851
14-05-2018;6,66;6,66;6,09;6,41;9.767.950;853.640.507
13-05-2018;6,34;6,76;6,11;6,65;7.477.230;886.237.036
12-05-2018;6,07;6,67;5,81;6,33;10.475.800;843.217.826
11-05-2018;7,02;7,15;5,97;6,07;16.131.500;808.165.531
10-05-2018;7,71;7,89;7,02;7,02;25.186.300;934.847.345
09-05-2018;7,94;8,02;7,35;7,73;21.886.100;1.030.377.041
08-05-2018;8,27;8,62;7,79;7,93;21.368.200;1.057.129.300
07-05-2018;8,76;8,79;7,94;8,25;17.166.600;1.099.691.468
06-05-2018;9,02;9,08;8,15;8,75;26.768.000;1.165.715.996
05-05-2018;9,26;9,39;8,89;9,04;37.063.600;1.204.789.724
04-05-2018;9,91;10,44;9,11;9,33;82.069.600;1.243.800.826
03-05-2018;8,53;9,93;8,28;9,78;104.688.000;1.303.297.519
02-05-2018;8,13;8,62;7,96;8,55;22.923.900;1.138.997.049
01-05-2018;8,41;8,41;7,7;8,15;30.038.300;1.085.433.901
30-04-2018;8,28;9,01;8,05;8,41;69.693.000;1.120.684.736
29-04-2018;7,5;8,25;7,48;8,25;35.489.000;1.098.997.245
28-04-2018;6,97;7,61;6,96;7,51;18.123.900;1.001.017.113
27-04-2018;7,51;7,54;6,97;6,99;17.818.100;930.816.584
26-04-2018;6,83;7,57;6,58;7,53;15.521.700;1.003.343.628
25-04-2018;8,12;8,12;6,56;6,78;18.538.300;903.935.074
24-04-2018;7,56;8,31;7,51;8,12;24.989.800;1.081.421.795
23-04-2018;7,03;7,61;7,03;7,58;13.856.000;1.009.803.505
22-04-2018;7,23;7,45;7,07;7,07;11.025.400;942.101.382
21-04-2018;7,35;7,75;6,84;7,24;18.202.700;964.291.219
20-04-2018;7,19;7,35;6,76;7,35;21.648.200;979.009.825
19-04-2018;6,3;7,2;6,3;7,18;30.815.100;956.123.099
18-04-2018;5,91;6,67;5,91;6,31;27.192.200;840.237.062
17-04-2018;5,96;6,23;5,85;5,92;14.318.900;788.386.155
16-04-2018;6,4;6,5;5,75;5,97;12.176.500;795.068.557
15-04-2018;5,88;6,41;5,88;6,41;13.102.300;854.539.934
14-04-2018;5,75;6,32;5,72;5,88;15.469.100;783.352.035
13-04-2018;5,8;7,13;5,62;5,77;46.281.800;768.282.986
12-04-2018;5,24;5,85;4,9;5,8;15.564.500;773.310.444
11-04-2018;4,85;5,44;4,8;5,27;15.907.600;701.677.496
10-04-2018;4,84;4,9;4,7;4,85;6.671.320;645.723.875
09-04-2018;5,08;5,2;4,72;4,84;11.176.400;644.775.147
08-04-2018;5,1;5,29;5,03;5,07;7.375.620;675.195.731
07-04-2018;5,02;5,34;5,02;5,09;7.519.260;677.803.400
06-04-2018;5,12;5,18;4,89;5;7.555.570;666.795.759
05-04-2018;5,13;5,25;4,97;5,15;6.559.640;685.795.633
04-04-2018;5,99;6,17;5,11;5,14;10.886.800;685.538.463
03-04-2018;5,37;6,12;5,3;6;11.377.700;798.915.435
02-04-2018;5,19;5,46;5,16;5,36;7.461.480;714.038.940
01-04-2018;5,64;5,76;4,89;5,19;8.988.260;691.933.049
31-03-2018;5,19;5,88;5,17;5,62;15.159.800;748.993.964
30-03-2018;5,46;5,58;4,96;5,18;12.605.200;690.840.413
29-03-2018;6,57;6,65;5,38;5,47;15.316.000;728.873.472
28-03-2018;6,5;6,87;6,45;6,58;22.986.000;877.264.097
27-03-2018;6,96;7,01;6,31;6,51;26.060.600;867.548.964
26-03-2018;7,56;7,64;6,41;6,98;27.665.300;929.733.276
25-03-2018;7,58;7,87;7,49;7,57;22.741.200;1.008.087.267
24-03-2018;8,14;8,4;7,68;7,7;34.242.500;1.025.429.532
23-03-2018;8,22;8,26;7,38;8,11;43.246.100;1.080.242.548
22-03-2018;8,62;8,9;7,68;8,26;41.036.200;1.100.361.707
21-03-2018;9,12;9,7;8,35;8,63;53.167.500;1.149.318.461
20-03-2018;8,37;9,54;7,87;9,15;46.177.400;1.218.724.830
19-03-2018;8,53;8,8;7,56;8,28;44.576.800;1.103.334.477
18-03-2018;7,79;8,58;5,97;8,31;54.951.800;1.106.669.681
17-03-2018;8,87;8,91;7,8;7,84;25.861.100;1.044.530.674
16-03-2018;8,77;9,5;8,23;8,82;30.442.600;1.175.710.950
15-03-2018;9,1;9,21;8,3;8,78;27.434.400;1.169.873.342
14-03-2018;10,86;11,07;8,83;9,1;36.232.400;1.213.047.121
13-03-2018;10,65;11,11;10,12;10,85;44.709.800;1.446.037.084
12-03-2018;11,55;12;10,22;10,72;43.352.800;1.427.862.018
11-03-2018;10,79;12,11;10,25;11,58;59.846.300;1.543.468.233
10-03-2018;11,77;12,99;10,56;10,86;78.827.904;1.447.689.363
09-03-2018;9,85;11,79;8,69;11,65;68.018.400;1.552.502.467
08-03-2018;11,91;12,06;9,87;9,9;45.483.500;1.319.627.097
07-03-2018;13,54;13,93;10,94;11,93;59.894.600;1.590.091.810
06-03-2018;14,71;14,71;12,79;13,41;56.847.700;1.787.472.501
05-03-2018;14,89;15,59;14,73;14,74;53.509.100;1.964.559.477
04-03-2018;14,98;15,72;14,35;14,91;59.556.700;1.987.264.985
03-03-2018;16,16;16,2;14,58;14,92;85.812.704;1.988.624.118
02-03-2018;17,16;17,3;15,89;16,2;88.114.800;2.157.969.369
01-03-2018;14,41;17,38;14,4;17,09;163.130.000;2.277.639.657
