BCN;Bytecoin;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,006499;0,007131;0,006258;0,006838;23.562.000;1.257.358.521
30-05-2018;0,006939;0,007138;0,006101;0,006545;36.200.500;1.203.629.400
29-05-2018;0,005194;0,007329;0,00507;0,006988;46.864.800;1.284.956.805
28-05-2018;0,006062;0,0061;0,005134;0,005196;14.327.800;955.436.096
27-05-2018;0,006476;0,006476;0,005795;0,006018;17.298.000;1.106.610.621
26-05-2018;0,00677;0,006891;0,006378;0,006438;11.524.300;1.183.844.624
25-05-2018;0,007041;0,007161;0,006647;0,006782;7.459.340;1.247.161.794
24-05-2018;0,006862;0,007283;0,006546;0,007081;15.254.200;1.302.137.692
23-05-2018;0,007934;0,007988;0,006756;0,006928;28.811.100;1.273.980.382
22-05-2018;0,008951;0,00896;0,007906;0,00794;22.357.700;1.460.020.543
21-05-2018;0,009507;0,009513;0,008843;0,008947;22.301.800;1.645.209.291
20-05-2018;0,008849;0,009845;0,008751;0,00945;28.301.600;1.737.708.042
19-05-2018;0,009177;0,009247;0,008776;0,008843;17.014.500;1.626.108.587
18-05-2018;0,009011;0,009422;0,008774;0,009194;21.559.000;1.690.718.507
17-05-2018;0,010178;0,010389;0,008983;0,009059;30.238.400;1.665.819.736
16-05-2018;0,010517;0,010885;0,009949;0,010174;29.607.700;1.870.920.145
15-05-2018;0,012781;0,012903;0,010267;0,010529;75.836.304;1.936.182.877
14-05-2018;0,011987;0,01335;0,011044;0,012662;98.415.696;2.328.486.559
13-05-2018;0,009321;0,012967;0,008901;0,012075;129.775.000;2.220.525.199
12-05-2018;0,009876;0,010078;0,008627;0,009312;42.980.200;1.712.338.230
11-05-2018;0,012051;0,012196;0,009677;0,009889;72.658.800;1.818.472.083
10-05-2018;0,014278;0,014278;0,012041;0,012126;133.865.000;2.229.825.055
08-05-2018;0,006783;0,030134;0,006783;0,030134;631.411.968;5.541.012.183
07-05-2018;0,007188;0,007248;0,006682;0,006768;5.249.510;1.244.579.505
06-05-2018;0,007201;0,007339;0,006877;0,00719;4.477.670;1.322.138.134
05-05-2018;0,00676;0,007287;0,006679;0,007217;7.065.280;1.326.974.430
04-05-2018;0,006958;0,007273;0,006633;0,006733;7.956.820;1.237.976.222
03-05-2018;0,005498;0,007005;0,005498;0,00694;13.080.300;1.276.132.403
02-05-2018;0,005313;0,005516;0,005138;0,005514;6.643.490;1.013.829.719
01-05-2018;0,005513;0,005513;0,005187;0,005298;6.658.580;974.117.255
30-04-2018;0,005328;0,005641;0,005319;0,005501;7.893.230;1.011.425.061
29-04-2018;0,005676;0,005932;0,005215;0,005253;7.443.290;965.844.373
28-04-2018;0,005305;0,005824;0,005289;0,005677;6.829.440;1.043.791.316
27-04-2018;0,005568;0,005633;0,005284;0,005284;6.184.330;971.461.978
26-04-2018;0,005002;0,005595;0,004892;0,005584;3.002.870;1.026.578.836
25-04-2018;0,005439;0,005484;0,004767;0,004984;6.781.760;916.313.918
24-04-2018;0,005014;0,005466;0,005002;0,005466;7.154.510;1.004.980.135
23-04-2018;0,004824;0,005034;0,0048;0,004988;5.214.760;917.031.257
22-04-2018;0,004755;0,005051;0,004638;0,004802;6.858.060;882.848.559
21-04-2018;0,0051;0,005115;0,004564;0,004763;5.186.970;875.638.691
20-04-2018;0,004829;0,005217;0,004778;0,005102;8.489.800;937.987.667
19-04-2018;0,004469;0,004852;0,004414;0,004813;5.614.960;884.890.858
18-04-2018;0,004056;0,004489;0,004033;0,004467;5.835.600;821.229.306
17-04-2018;0,003823;0,004328;0,003794;0,004065;4.971.410;747.256.174
16-04-2018;0,004219;0,004479;0,003767;0,003828;6.304.950;703.739.686
15-04-2018;0,003319;0,004581;0,003319;0,004396;8.187.490;808.127.554
14-04-2018;0,003183;0,003362;0,003084;0,003321;4.923.470;610.611.907
13-04-2018;0,002878;0,003306;0,002791;0,003155;5.922.770;579.940.385
12-04-2018;0,002531;0,002926;0,002397;0,002869;4.903.200;527.349.982
11-04-2018;0,002327;0,002545;0,002327;0,002526;3.812.750;464.344.387
10-04-2018;0,00214;0,002351;0,002094;0,002342;4.360.270;430.498.968
09-04-2018;0,00219;0,002293;0,002066;0,002114;1.543.110;388.570.503
08-04-2018;0,00212;0,002199;0,00212;0,002172;378.934;399.183.397
07-04-2018;0,002029;0,002176;0,002024;0,002118;1.067.760;389.341.208
06-04-2018;0,002083;0,00211;0,001991;0,002027;1.314.600;372.561.576
05-04-2018;0,002118;0,002132;0,002034;0,002092;1.636.150;384.575.745
04-04-2018;0,002337;0,00236;0,002089;0,002115;1.812.510;388.816.303
03-04-2018;0,002172;0,002345;0,002156;0,002345;1.017.640;431.117.279
02-04-2018;0,002166;0,002229;0,002127;0,002189;825.353;402.412.236
01-04-2018;0,002115;0,002187;0,002035;0,002161;858.187;397.195.515
31-03-2018;0,002095;0,002227;0,002087;0,002121;853.854;389.910.584
30-03-2018;0,00218;0,002248;0,002012;0,002098;1.091.930;385.638.694
29-03-2018;0,002478;0,002495;0,002132;0,002193;2.271.440;403.008.793
28-03-2018;0,002383;0,002826;0,00236;0,002471;4.637.560;454.230.159
27-03-2018;0,002484;0,00253;0,002342;0,002384;1.944.590;438.223.459
26-03-2018;0,002639;0,002665;0,002372;0,002488;4.264.370;457.272.208
25-03-2018;0,002655;0,002715;0,002565;0,002643;4.331.750;485.742.337
24-03-2018;0,002787;0,002845;0,002666;0,002696;3.512.780;495.445.817
23-03-2018;0,002651;0,00275;0,002533;0,00275;4.539.610;505.514.968
22-03-2018;0,002742;0,002783;0,002571;0,002652;2.792.120;487.376.439
21-03-2018;0,002782;0,002921;0,002723;0,002745;2.715.860;504.547.169
20-03-2018;0,002641;0,002806;0,002577;0,002772;2.676.060;509.407.489
19-03-2018;0,002512;0,002628;0,002457;0,002616;2.895.080;480.767.261
18-03-2018;0,002428;0,002531;0,002189;0,002531;2.619.080;465.210.535
17-03-2018;0,002692;0,002692;0,002334;0,002461;2.464.030;452.311.034
16-03-2018;0,002658;0,002763;0,002553;0,002691;2.159.820;494.610.210
15-03-2018;0,002673;0,002718;0,002465;0,002659;3.222.970;488.674.642
14-03-2018;0,00306;0,003173;0,002603;0,002674;3.848.380;491.521.785
13-03-2018;0,003235;0,00336;0,003031;0,003063;4.532.290;562.864.380
12-03-2018;0,003363;0,003547;0,00314;0,003257;3.960.160;598.628.936
11-03-2018;0,003175;0,003473;0,003031;0,003372;3.599.780;619.775.537
10-03-2018;0,003382;0,003458;0,003154;0,003175;3.533.720;583.534.031
09-03-2018;0,003275;0,003388;0,002914;0,003372;3.853.310;619.689.564
08-03-2018;0,003393;0,003665;0,003297;0,003297;4.342.560;605.934.813
07-03-2018;0,003961;0,004001;0,003391;0,003393;2.994.280;623.537.448
06-03-2018;0,004554;0,004554;0,003857;0,003965;4.337.760;728.678.955
05-03-2018;0,004276;0,004539;0,003977;0,004535;4.781.850;833.406.303
04-03-2018;0,00425;0,004274;0,004;0,004265;4.916.610;783.702.715
03-03-2018;0,004312;0,004519;0,004186;0,004257;4.456.850;782.294.047
02-03-2018;0,004645;0,004675;0,004309;0,004335;4.941.490;796.658.212
01-03-2018;0,004491;0,004841;0,004357;0,004647;6.813.990;854.001.713
;;;;;;
