MONA;MONA COIN;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;3,3;3,38;3,28;3,33;1.040.420;199.517.119
30-05-2018;3,38;3,43;3,23;3,3;1.824.650;197.425.820
29-05-2018;3,38;3,47;3,31;3,36;1.644.810;200.905.063
28-05-2018;3,33;3,48;3,32;3,38;1.259.050;201.931.426
27-05-2018;3,37;3,37;3,29;3,33;670.210;198.918.330
26-05-2018;3,29;3,41;3,28;3,32;632.749;198.413.437
25-05-2018;3,42;3,47;3,28;3,3;1.260.200;197.173.927
24-05-2018;3,31;3,47;3,26;3,41;1.281.160;203.453.109
23-05-2018;3,36;3,57;3,25;3,31;2.429.200;197.374.974
22-05-2018;3,52;3,54;3,36;3,37;885.651;200.792.810
21-05-2018;3,64;3,65;3,49;3,53;902.470;210.307.888
20-05-2018;3,59;3,68;3,57;3,65;1.484.090;217.351.831
19-05-2018;3,72;3,77;3,56;3,6;1.728.090;214.339.809
18-05-2018;3,42;3,95;3,38;3,71;5.190.340;220.695.693
17-05-2018;3,79;3,83;3,37;3,41;3.396.990;202.853.072
16-05-2018;3,87;3,92;3,7;3,81;1.898.890;226.332.615
15-05-2018;4,08;4,09;3,86;3,89;1.441.880;231.318.368
14-05-2018;4,21;4,25;4,01;4,06;2.439.520;241.596.225
13-05-2018;4,01;4,29;3,95;4,21;1.952.690;250.388.707
12-05-2018;3,87;4,11;3,81;4;2.070.190;237.857.295
11-05-2018;4,34;4,42;3,81;3,89;3.311.120;230.826.737
10-05-2018;4,51;4,56;4,33;4,34;2.158.300;257.838.675
09-05-2018;4,58;4,63;4,36;4,52;2.908.320;268.496.059
08-05-2018;4,51;4,97;4,48;4,57;4.943.070;271.005.016
07-05-2018;4,91;4,96;4,39;4,51;4.106.870;267.258.701
06-05-2018;5,16;5,18;4,79;4,92;2.896.580;291.876.339
05-05-2018;5,13;5,23;5,13;5,17;2.382.970;306.293.412
04-05-2018;5,26;5,26;5,12;5,14;1.913.580;304.277.087
03-05-2018;5,17;5,29;5,12;5,26;2.908.530;311.461.046
02-05-2018;5,06;5,26;5,03;5,16;4.632.400;305.661.102
01-05-2018;5,25;5,25;4,9;5,06;3.531.840;299.651.541
30-04-2018;5,39;5,47;5,16;5,25;3.111.440;310.209.846
29-04-2018;5,44;5,51;5,1;5,38;4.754.190;318.160.049
28-04-2018;5,59;5,6;5,22;5,47;7.121.760;323.491.093
27-04-2018;5,11;5,88;5,11;5,61;18.630.000;331.212.598
26-04-2018;4,36;5,38;4,29;5,08;16.420.400;299.769.902
25-04-2018;4,59;4,65;3,99;4,32;9.914.100;254.833.472
24-04-2018;4,04;4,55;4,03;4,55;4.172.020;268.262.551
23-04-2018;3,98;4,06;3,98;4,03;1.423.290;237.715.801
22-04-2018;3,99;4,1;3,95;3,99;1.976.040;235.023.935
21-04-2018;4,19;4,19;3,83;4,01;2.378.420;236.113.139
20-04-2018;4,04;4,22;3,88;4,19;4.175.300;246.942.925
19-04-2018;3,75;4,08;3,73;4,05;6.807.090;238.536.476
18-04-2018;3,49;3,78;3,49;3,77;2.401.330;221.707.932
17-04-2018;3,58;3,6;3,48;3,5;1.405.950;205.902.185
16-04-2018;3,74;3,76;3,51;3,58;1.386.330;210.377.151
15-04-2018;3,59;3,75;3,58;3,75;1.662.400;220.456.403
14-04-2018;3,56;3,64;3,54;3,59;1.161.410;210.814.579
13-04-2018;3,69;3,94;3,5;3,54;2.479.550;208.259.074
12-04-2018;3,33;3,69;3,26;3,68;2.002.000;215.885.135
11-04-2018;3,27;3,36;3,25;3,33;1.247.820;195.496.290
10-04-2018;3,24;3,3;3,19;3,29;877.093;192.798.311
09-04-2018;3,28;3,38;3,19;3,25;1.176.480;190.544.418
08-04-2018;3,26;3,31;3,25;3,27;947.511;191.795.880
07-04-2018;3,24;3,31;3,21;3,26;906.213;191.368.938
06-04-2018;3,24;3,31;3,19;3,21;1.535.760;188.301.676
05-04-2018;3,2;3,33;3,14;3,24;1.225.260;190.010.406
04-04-2018;3,56;3,62;3,14;3,19;1.767.990;186.766.947
03-04-2018;3,28;3,71;3,28;3,55;3.425.720;207.632.459
02-04-2018;3,07;3,3;3,03;3,26;1.432.980;190.881.194
01-04-2018;3,12;3,18;2,92;3,06;1.062.370;178.708.547
31-03-2018;3,13;3,3;3,11;3,13;942.013;182.974.225
30-03-2018;3,07;3,46;2,9;3,14;2.324.510;183.202.433
29-03-2018;3,46;3,47;3,04;3,06;1.651.160;178.700.889
28-03-2018;3,39;3,53;3,39;3,48;1.077.580;203.013.783
27-03-2018;3,54;3,57;3,39;3,41;1.002.960;199.242.549
26-03-2018;3,65;3,68;3,4;3,55;1.774.890;207.166.899
25-03-2018;3,65;3,73;3,62;3,64;944.566;212.379.517
24-03-2018;3,83;3,89;3,67;3,67;1.075.860;214.110.063
23-03-2018;3,82;3,83;3,62;3,82;1.522.060;222.684.767
22-03-2018;3,96;4,03;3,67;3,8;1.340.550;221.261.763
21-03-2018;4,09;4,12;3,91;3,94;1.325.400;229.570.698
20-03-2018;4,18;4,19;3,82;4,09;2.198.740;238.323.622
19-03-2018;3,71;4,17;3,71;4,16;3.525.460;242.097.070
18-03-2018;3,49;3,63;2,92;3,63;3.424.420;211.065.932
17-03-2018;3,82;3,83;3,48;3,49;1.571.140;202.905.396
16-03-2018;3,89;3,97;3,75;3,81;1.668.030;221.440.796
15-03-2018;3,95;4;3,68;3,87;2.065.580;225.094.879
14-03-2018;4,24;4,34;3,83;3,96;2.239.280;229.748.192
13-03-2018;4,19;4,35;4,15;4,23;1.930.300;245.686.757
12-03-2018;4,16;4,38;4,11;4,18;2.463.950;242.809.238
11-03-2018;4,08;4,21;3,98;4,17;1.917.730;242.074.461
10-03-2018;4,26;4,4;4,08;4,09;2.032.740;237.388.360
09-03-2018;4,32;4,45;3,84;4,28;4.573.260;247.986.521
08-03-2018;4,29;4,73;4,22;4,36;4.268.330;252.648.929
07-03-2018;5,02;5,11;4,24;4,27;4.746.550;247.516.271
06-03-2018;5,32;5,33;4,99;5,01;2.901.410;290.229.571
05-03-2018;5,66;5,66;5,33;5,36;3.655.770;310.075.295
04-03-2018;5,35;5,67;5,22;5,67;5.345.600;327.746.653
03-03-2018;5,44;5,71;5,31;5,38;3.240.200;310.826.573
02-03-2018;5,54;5,56;5,41;5,45;2.481.930;315.230.502
01-03-2018;5,42;5,53;5,4;5,49;2.018.660;317.142.490
