BTM;Bytom ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,62804;0,656023;0,62414;0,643955;60.248.300;635.583.585
30-05-2018;0,641542;0,656788;0,619062;0,626375;72.639.696;618.232.125
29-05-2018;0,611116;0,651173;0,605347;0,640355;52.894.800;632.030.385
28-05-2018;0,673993;0,674493;0,603398;0,615451;79.306.896;607.450.137
27-05-2018;0,635865;0,67569;0,618104;0,671745;72.674.600;663.012.315
26-05-2018;0,618023;0,656973;0,611752;0,635019;61.503.900;626.763.753
25-05-2018;0,633432;0,635055;0,601216;0,621024;61.397.100;612.950.688
24-05-2018;0,577379;0,634559;0,573892;0,631316;49.205.800;623.108.892
23-05-2018;0,643415;0,647842;0,571994;0,584433;70.335.696;576.835.371
22-05-2018;0,725183;0,725183;0,64483;0,647381;69.787.200;638.965.047
21-05-2018;0,737953;0,790026;0,705099;0,724989;82.674.496;715.564.143
20-05-2018;0,621085;0,772691;0,611097;0,736573;115.466.000;726.997.551
19-05-2018;0,633796;0,634931;0,606227;0,620802;56.259.400;612.731.574
18-05-2018;0,615911;0,634593;0,604312;0,634593;57.026.400;626.343.291
17-05-2018;0,654121;0,667584;0,60959;0,616358;45.860.100;608.345.346
16-05-2018;0,668797;0,673064;0,630936;0,653183;74.536.096;644.691.621
15-05-2018;0,676169;0,706286;0,661107;0,671438;64.870.100;662.709.306
14-05-2018;0,703587;0,71975;0,647235;0,676984;83.398.800;668.183.208
13-05-2018;0,634723;0,711001;0,614388;0,704034;58.779.500;694.881.558
12-05-2018;0,662295;0,683188;0,556174;0,635538;73.787.696;627.276.006
11-05-2018;0,761516;0,783929;0,661547;0,667394;69.756.000;658.717.878
10-05-2018;0,778682;0,816122;0,760092;0,76227;80.474.400;752.360.490
09-05-2018;0,789803;0,79559;0,754723;0,778825;73.046.096;768.700.275
08-05-2018;0,853301;0,856379;0,772279;0,789769;54.639.000;779.502.003
07-05-2018;0,80113;0,866577;0,720146;0,850203;115.798.000;839.150.361
06-05-2018;0,873882;0,873882;0,778178;0,801049;96.963.000;790.635.363
05-05-2018;0,91953;0,942026;0,866112;0,879017;83.483.504;867.589.779
04-05-2018;0,920169;0,962074;0,90308;0,926755;116.282.000;914.707.185
03-05-2018;0,972983;0,974193;0,904391;0,916991;110.371.000;905.070.117
02-05-2018;0,999215;1;0,964721;0,974556;103.856.000;961.886.772
01-05-2018;1,01;1,01;0,94991;1;74.258.896;989.605.680
30-04-2018;1,07;1,13;0,999322;1,01;147.323.008;994.126.140
29-04-2018;1,03;1,08;0,959268;1,07;187.142.000;1.058.054.130
28-04-2018;0,955967;1,06;0,953648;1,03;162.734.000;1.015.761.180
27-04-2018;1,02;1,08;0,962025;0,962025;141.936.992;949.518.675
26-04-2018;0,933969;1,02;0,898208;1,02;139.968.992;1.007.194.020
25-04-2018;1,08;1,08;0,892026;0,927947;195.327.008;915.883.689
24-04-2018;1,17;1,17;1,05;1,08;240.028.992;1.064.499.240
23-04-2018;0,900648;1,17;0,900648;1,17;272.244.992;1.150.753.170
22-04-2018;0,899194;0,923397;0,867143;0,900155;98.082.896;888.452.985
21-04-2018;0,953196;0,953724;0,860583;0,891184;83.729.600;879.598.608
20-04-2018;0,932152;0,972146;0,925198;0,952807;86.312.200;940.420.509
19-04-2018;0,939799;0,950313;0,922747;0,930646;91.261.504;918.547.602
18-04-2018;0,858028;0,979143;0,851165;0,938296;113.184.000;926.098.152
17-04-2018;0,844292;0,902212;0,841477;0,857307;56.024.000;846.162.009
16-04-2018;0,894996;0,896803;0,81128;0,841389;51.156.400;830.450.943
15-04-2018;0,887775;0,940086;0,8836;0,896012;68.230.000;884.363.844
14-04-2018;0,938341;0,981195;0,812606;0,88692;86.198.800;875.390.040
13-04-2018;0,833012;1,05;0,803732;0,95602;125.282.000;943.591.740
12-04-2018;0,662203;0,850707;0,645859;0,832262;90.434.304;821.442.594
11-04-2018;0,596951;0,661154;0,586665;0,661154;36.667.700;652.558.998
10-04-2018;0,527076;0,596126;0,519262;0,596126;23.778.900;588.376.362
09-04-2018;0,520499;0,53334;0,49781;0,526047;19.500.600;519.208.389
08-04-2018;0,533237;0,533237;0,511955;0,519665;14.453.200;512.909.355
07-04-2018;0,491384;0,545909;0,489977;0,532432;23.433.800;525.510.384
06-04-2018;0,486061;0,490631;0,466109;0,490144;13.293.400;483.772.128
05-04-2018;0,46582;0,488334;0,452666;0,487312;15.404.600;480.976.944
04-04-2018;0,49271;0,496798;0,455678;0,46743;15.486.500;461.353.410
03-04-2018;0,49481;0,495442;0,481076;0,490948;16.851.500;484.565.676
02-04-2018;0,476298;0,501397;0,464065;0,495052;17.897.000;488.616.324
01-04-2018;0,528708;0,529476;0,427888;0,474539;30.161.800;468.369.993
31-03-2018;0,545078;0,564901;0,507657;0,529701;35.333.000;522.814.887
30-03-2018;0,432225;0,543117;0,412501;0,541573;33.555.500;534.532.551
29-03-2018;0,448009;0,502137;0,419452;0,433959;34.323.700;428.317.533
28-03-2018;0,387512;0,455588;0,384847;0,447776;26.093.200;441.954.912
27-03-2018;0,385637;0,401031;0,366137;0,38641;15.533.100;381.386.670
26-03-2018;0,376452;0,417637;0,366145;0,387971;24.707.000;382.927.377
25-03-2018;0,374226;0,384463;0,364708;0,376087;12.620.500;371.197.869
24-03-2018;0,387928;0,392306;0,364247;0,378515;18.492.000;373.594.305
23-03-2018;0,351303;0,38364;0,331567;0,38364;15.523.400;378.652.680
22-03-2018;0,354531;0,369761;0,33518;0,350573;17.083.500;346.015.551
21-03-2018;0,347729;0,366898;0,345983;0,35345;13.977.700;348.855.150
20-03-2018;0,350386;0,358711;0,328939;0,346615;13.434.800;342.109.005
19-03-2018;0,324581;0,346365;0,313514;0,346365;16.550.800;341.862.255
18-03-2018;0,332781;0,332781;0,27139;0,324652;16.825.000;320.431.524
17-03-2018;0,355638;0,356228;0,329029;0,332835;9.965.540;328.508.145
16-03-2018;0,351299;0,365754;0,34056;0,354456;12.279.100;349.848.072
15-03-2018;0,341619;0,353351;0,321194;0,351605;14.834.900;347.034.135
14-03-2018;0,369324;0,389479;0,32971;0,341664;16.621.200;337.222.368
13-03-2018;0,359024;0,376559;0,355953;0,369283;11.574.800;364.482.321
12-03-2018;0,367786;0,382742;0,342388;0,36014;27.333.900;355.458.180
11-03-2018;0,346733;0,375392;0,336178;0,368462;12.555.700;363.671.994
10-03-2018;0,363006;0,37198;0,342487;0,342752;16.803.700;338.296.224
09-03-2018;0,351259;0,363246;0,309712;0,361822;15.482.500;357.118.314
08-03-2018;0,372776;0,396767;0,343307;0,351859;13.547.700;347.284.833
07-03-2018;0,408398;0,426499;0,360197;0,37121;14.768.700;366.384.270
06-03-2018;0,464195;0,464195;0,402853;0,410241;19.253.200;404.907.867
05-03-2018;0,425246;0,468456;0,420549;0,462808;23.175.900;456.791.496
04-03-2018;0,398463;0,424752;0,392187;0,424752;16.686.700;419.230.224
03-03-2018;0,395039;0,404523;0,377926;0,397328;14.081.800;392.162.736
02-03-2018;0,347803;0,412816;0,347123;0,393655;21.373.100;388.537.485
01-03-2018;0,341199;0,354381;0,336421;0,348532;10.778.600;344.001.084
