BTS;Bytecoin;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,196075;0,204018;0,193698;0,198475;13.507.600;521.858.257
30-05-2018;0,1987;0,206502;0,19268;0,196306;13.196.200;516.100.252
29-05-2018;0,185169;0,204474;0,184134;0,198818;15.102.200;522.646.794
28-05-2018;0,201947;0,206992;0,185348;0,18535;14.885.000;487.188.768
27-05-2018;0,200296;0,205467;0,195286;0,201655;11.161.100;529.987.654
26-05-2018;0,193121;0,203999;0,191835;0,199037;9.683.570;523.049.332
25-05-2018;0,206005;0,207111;0,190557;0,192549;11.480.500;505.943.678
24-05-2018;0,193641;0,212586;0,182927;0,20613;29.143.100;541.571.533
23-05-2018;0,224569;0,232491;0,180958;0,193336;34.940.600;507.901.405
22-05-2018;0,252059;0,252768;0,224668;0,224668;14.902.500;590.146.669
21-05-2018;0,265742;0,265864;0,24625;0,252531;12.686.800;663.265.096
20-05-2018;0,258594;0,270353;0,254544;0,265549;10.253.500;697.379.473
19-05-2018;0,254027;0,271934;0,248056;0,258748;14.051.100;679.443.786
18-05-2018;0,24401;0,255114;0,237546;0,254245;12.092.400;667.548.214
17-05-2018;0,249656;0,265069;0,240952;0,243817;18.750.000;640.097.646
16-05-2018;0,250926;0,250926;0,237046;0,249401;17.329.900;654.687.601
15-05-2018;0,250558;0,269621;0,246903;0,251524;20.002.500;660.187.619
14-05-2018;0,256675;0,258802;0,235031;0,250813;21.932.900;658.248.686
13-05-2018;0,246951;0,259103;0,239062;0,257051;27.244.400;674.545.523
12-05-2018;0,242123;0,251671;0,209314;0,243658;46.999.900;639.331.790
11-05-2018;0,267749;0,277121;0,231164;0,242414;62.630.300;635.997.370
10-05-2018;0,307811;0,308814;0,266439;0,266655;24.788.800;699.518.728
09-05-2018;0,312146;0,316126;0,28548;0,307686;20.039.300;807.066.532
08-05-2018;0,310782;0,325804;0,303653;0,312382;19.518.600;819.293.643
07-05-2018;0,329936;0,330963;0,302137;0,310259;39.018.700;813.517.714
06-05-2018;0,350109;0,351031;0,308171;0,329621;48.422.600;864.286.039
05-05-2018;0,350313;0,369179;0,348387;0,350051;22.650.200;917.784.715
04-05-2018;0,358465;0,366776;0,345148;0,350707;26.268.100;919.402.950
03-05-2018;0,375516;0,381967;0,357572;0,358263;33.289.900;939.107.637
02-05-2018;0,365793;0,37789;0,357059;0,376826;24.063.400;987.657.178
01-05-2018;0,359588;0,381462;0,328014;0,365282;49.946.600;957.294.537
30-04-2018;0,34349;0,405159;0,327887;0,358752;101.784.000;940.077.328
29-04-2018;0,280632;0,353691;0,27824;0,34213;63.487.900;896.421.656
28-04-2018;0,260948;0,284304;0,257697;0,280736;17.853.400;735.477.788
27-04-2018;0,275054;0,28047;0,261717;0,261717;19.520.200;685.572.916
26-04-2018;0,246589;0,274379;0,235871;0,274371;27.042.700;718.638.011
25-04-2018;0,295727;0,295727;0,245942;0,245942;52.750.000;644.102.423
24-04-2018;0,26926;0,303503;0,26926;0,298161;36.385.500;780.770.358
23-04-2018;0,261427;0,273497;0,261167;0,269111;20.662.800;704.618.714
22-04-2018;0,265416;0,27483;0,25624;0,262214;37.528.700;686.455.275
21-04-2018;0,278986;0,282869;0,244869;0,264628;51.438.300;692.774.934
20-04-2018;0,243942;0,27768;0,243653;0,27768;46.027.200;726.866.275
19-04-2018;0,227718;0,243768;0,225594;0,243768;23.557.100;638.023.737
18-04-2018;0,21013;0,229439;0,21013;0,227617;21.440.100;595.607.680
17-04-2018;0,210706;0,218607;0,209785;0,210059;16.085.900;549.663.486
