KMD;Komodo ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;2,52;2,62;2,51;2,58;827.442;269.363.726
30-05-2018;2,57;2,66;2,44;2,54;1.567.240;264.995.700
29-05-2018;2,32;2,61;2,28;2,57;1.377.760;267.618.114
28-05-2018;2,53;2,59;2,31;2,31;836.946;240.670.141
27-05-2018;2,57;2,58;2,48;2,53;564.991;263.711.218
26-05-2018;2,6;2,66;2,51;2,58;1.202.100;268.450.826
25-05-2018;2,72;2,75;2,57;2,6;1.042.220;270.359.882
24-05-2018;2,73;2,82;2,51;2,71;1.842.720;281.835.682
23-05-2018;2,96;3,03;2,63;2,74;1.738.870;284.940.020
22-05-2018;3,34;3,34;2,97;2,97;1.747.910;309.411.050
21-05-2018;3,52;3,57;3,24;3,34;2.924.960;347.468.928
20-05-2018;3,36;3,57;3,31;3,51;3.517.140;365.257.562
19-05-2018;3,15;3,41;3,14;3,35;3.436.100;348.169.534
18-05-2018;2,96;3,26;2,88;3,14;2.625.830;327.008.728
17-05-2018;3,05;3,31;2,92;2,96;4.937.600;308.375.853
16-05-2018;3,13;3,15;2,89;3,05;1.763.660;317.765.123
15-05-2018;3,25;3,44;3,12;3,13;3.754.620;325.813.048
14-05-2018;3,24;3,31;3,06;3,25;3.983.610;337.874.571
13-05-2018;3,16;3,27;2,99;3,25;4.015.840;338.006.707
12-05-2018;2,86;3,68;2,86;3,15;16.765.300;328.087.758
11-05-2018;3,27;3,27;2,82;2,87;4.210.270;298.633.752
10-05-2018;3,42;3,62;3,27;3,27;2.861.190;340.666.435
09-05-2018;3,53;3,58;3,24;3,41;3.166.000;354.511.509
08-05-2018;3,7;3,8;3,49;3,54;2.392.280;367.874.747
07-05-2018;3,9;3,92;3,54;3,68;3.465.320;382.736.491
06-05-2018;4,16;4,17;3,75;3,89;3.753.330;405.174.794
05-05-2018;4,27;4,32;4,08;4,15;4.138.240;432.280.170
04-05-2018;4,3;4,56;4,17;4,27;8.098.700;444.847.416
03-05-2018;4,02;4,46;3,93;4,3;15.402.400;447.393.748
02-05-2018;3,94;4,03;3,84;4,02;4.310.940;417.840.872
01-05-2018;3,98;3,98;3,66;3,95;3.549.250;410.581.694
30-04-2018;4,2;4,25;3,93;3,98;4.726.860;413.767.892
29-04-2018;3,93;4,3;3,85;4,19;9.899.920;436.072.742
28-04-2018;3,72;3,99;3,71;3,93;2.386.010;409.210.335
27-04-2018;3,83;3,96;3,72;3,72;3.192.010;387.317.524
26-04-2018;3,59;3,84;3,48;3,83;2.657.940;398.213.949
25-04-2018;4,27;4,27;3,45;3,57;5.605.330;371.962.349
24-04-2018;4,06;4,3;4,03;4,29;5.973.150;446.399.979
23-04-2018;3,89;4,07;3,88;4,07;3.797.110;423.236.667
22-04-2018;3,88;4,02;3,78;3,9;3.906.940;405.514.315
21-04-2018;3,99;4;3,51;3,86;5.073.500;401.836.009
20-04-2018;3,84;4,07;3,71;3,99;6.852.550;415.323.012
19-04-2018;3,72;4,06;3,71;3,85;10.602.100;400.498.495
18-04-2018;3,49;3,75;3,49;3,73;4.123.830;387.691.600
17-04-2018;3,53;3,6;3,43;3,48;3.039.560;362.567.853
16-04-2018;3,77;3,77;3,39;3,53;3.418.540;367.172.150
15-04-2018;3,55;3,78;3,53;3,77;4.642.320;392.142.868
14-04-2018;3,22;3,89;3,19;3,53;17.182.000;366.879.676
13-04-2018;3,06;3,42;3,01;3,22;5.981.410;335.014.314
12-04-2018;2,82;3,12;2,65;3,06;5.751.020;317.999.789
11-04-2018;2,61;2,84;2,61;2,82;2.867.680;293.897.121
10-04-2018;2,53;2,69;2,47;2,61;2.358.710;271.086.614
09-04-2018;2,66;2,77;2,46;2,5;1.828.860;260.581.799
08-04-2018;2,56;2,67;2,56;2,66;1.357.740;276.480.983
07-04-2018;2,45;2,68;2,43;2,56;2.054.270;266.275.788
06-04-2018;2,53;2,6;2,38;2,44;1.299.630;254.294.661
05-04-2018;2,57;2,7;2,4;2,54;4.256.710;264.036.828
04-04-2018;2,9;3,01;2,49;2,55;3.623.630;265.367.484
03-04-2018;2,67;2,98;2,59;2,92;7.411.490;303.833.723
02-04-2018;2,34;2,67;2,32;2,66;3.117.960;277.033.341
01-04-2018;2,37;2,42;2,2;2,33;597.730;242.277.194
31-03-2018;2,4;2,47;2,33;2,37;960.342;246.447.338
30-03-2018;2,43;2,48;2,25;2,41;1.469.970;250.726.356
29-03-2018;2,76;2,78;2,37;2,44;1.144.300;253.342.883
28-03-2018;2,76;2,84;2,69;2,76;1.002.080;286.925.010
27-03-2018;2,87;2,93;2,67;2,76;1.556.770;287.122.498
26-03-2018;3,12;3,19;2,75;2,87;1.474.630;298.258.777
25-03-2018;3,07;3,23;2,98;3,09;1.726.860;321.836.248
24-03-2018;2,91;3,26;2,89;3,07;5.166.220;319.481.968
23-03-2018;3,01;3,01;2,8;2,88;1.166.890;299.608.996
22-03-2018;3,1;3,18;2,85;3,01;1.065.190;313.447.102
21-03-2018;3,1;3,33;3,06;3,09;1.856.540;321.811.147
20-03-2018;2,86;3,15;2,72;3,09;2.087.540;321.023.588
19-03-2018;2,67;2,91;2,57;2,84;3.056.530;295.349.719
18-03-2018;2,56;2,65;2,16;2,65;1.685.110;275.224.851
17-03-2018;2,9;2,9;2,56;2,56;894.544;266.689.595
16-03-2018;3;3,04;2,85;2,87;827.609;298.675.135
15-03-2018;3,14;3,14;2,77;3;1.396.310;312.561.387
14-03-2018;3,45;3,64;3,08;3,14;1.868.510;326.313.472
13-03-2018;3,59;3,75;3,39;3,45;1.443.100;359.187.394
12-03-2018;3,53;3,84;3,42;3,58;1.601.820;372.369.898
11-03-2018;3,28;3,62;3,19;3,54;1.142.430;368.349.519
10-03-2018;3,37;3,58;3,25;3,29;1.246.550;341.625.997
09-03-2018;3,34;3,41;2,92;3,37;1.813.360;350.352.129
08-03-2018;3,64;3,81;3,32;3,35;2.230.900;347.450.151
07-03-2018;3,9;3,96;3,28;3,63;2.016.660;377.066.682
06-03-2018;4,31;4,31;3,83;3,9;1.542.720;404.884.769
05-03-2018;4,44;4,51;4,23;4,28;2.660.070;444.082.323
04-03-2018;4,65;4,65;4,25;4,45;2.758.820;462.019.478
03-03-2018;4,13;4,86;4,04;4,65;9.022.340;482.824.985
02-03-2018;3,9;4,21;3,83;4,12;4.179.450;427.883.522
01-03-2018;3,65;4,06;3,45;3,93;3.417.490;408.548.507
