LTC;Litecoin ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;117,32;120,59;116,64;118,07;297.183.008;6.704.155.892
30-05-2018;119,54;122,38;116,02;117,53;305.275.008;6.671.786.966
29-05-2018;111,84;121,96;110,9;119,57;350.520.000;6.785.779.703
28-05-2018;117,93;119,08;111,48;111,6;295.723.008;6.331.861.061
27-05-2018;118,5;118,85;116,99;117,99;258.727.008;6.692.969.134
26-05-2018;119,35;122,25;117,87;118,28;275.851.008;6.707.450.005
25-05-2018;122,56;124,2;117,82;119,44;297.743.008;6.771.922.223
24-05-2018;119,19;124,37;115,89;122,61;345.857.984;6.950.014.204
23-05-2018;128,81;129,33;117,35;119,31;373.329.984;6.761.219.902
22-05-2018;134,26;135,6;128,33;128,68;294.447.008;7.289.726.772
21-05-2018;139,64;139,64;133,93;134,51;308.376.992;7.618.147.582
20-05-2018;135,27;140,32;133,79;139,7;324.983.008;7.910.023.833
19-05-2018;135,96;137,5;133,87;135,32;310.963.008;7.660.047.420
18-05-2018;132,7;137,05;129,7;136,06;371.688.000;7.699.946.952
17-05-2018;139,56;141,17;131,95;132,77;320.248.992;7.512.142.011
16-05-2018;139,65;140,65;135,28;139,27;351.689.984;7.877.577.804
15-05-2018;147,49;149,38;138,57;139,88;415.984.992;7.910.044.417
14-05-2018;144,62;152,15;136,07;147,71;584.222.016;8.350.939.002
13-05-2018;141,8;147,25;137,65;144,59;383.224.000;8.172.151.736
12-05-2018;137,26;144,42;132,59;141,88;410.184.992;8.016.973.264
11-05-2018;149,45;149,45;134,73;137,12;530.416.000;7.745.751.348
10-05-2018;157,15;160,34;149,34;149,87;426.694.016;8.463.834.937
09-05-2018;159,62;159,62;152,6;157,05;448.136.000;8.867.315.508
08-05-2018;164,83;167,98;158,16;159,62;466.308.992;9.009.611.517
07-05-2018;171,76;171,92;158,93;164,88;573.281.024;9.304.214.739
06-05-2018;178,02;182,88;166,18;171,8;626.270.016;9.692.232.318
05-05-2018;168,35;181,63;168,35;177,76;741.246.016;10.025.761.273
04-05-2018;160,47;170,38;157,94;168,79;633.054.976;9.516.919.409
03-05-2018;151,86;164;151,01;161,46;617.984.000;9.101.264.231
02-05-2018;148,45;152,89;146,98;151,58;354.656.992;8.542.044.175
01-05-2018;148,34;148,54;143,94;148,49;342.152.000;8.365.945.726
30-04-2018;153,65;154,08;147,87;148,48;341.396.992;8.363.095.109
29-04-2018;152,16;155,62;148,9;153,63;388.081.984;8.650.921.305
28-04-2018;145,74;153,33;145,74;152,3;337.116.992;8.573.467.173
27-04-2018;153,44;153,62;145,9;145,9;386.742.016;8.211.418.534
26-04-2018;144,7;153,82;142,64;153,68;412.436.992;8.646.685.578
25-04-2018;165,09;165,09;142,59;144,76;613.467.008;8.142.994.938
24-04-2018;152,57;165,94;152,57;165,78;643.558.016;9.323.040.641
23-04-2018;146,67;152,77;146,67;152,25;376.060.000;8.559.830.144
22-04-2018;148,61;152,23;145,31;146,77;338.735.008;8.249.632.683
21-04-2018;155,68;156,61;142,18;148,93;482.924.000;8.368.621.973
20-04-2018;146,5;155,72;143,84;155,54;491.945.984;8.737.234.629
19-04-2018;140,04;146,87;138,96;146,3;408.736.000;8.216.206.205
18-04-2018;132,38;140,85;132,38;140;381.161.984;7.860.031.849
17-04-2018;128,71;139,65;128,71;132,93;532.336.000;7.461.107.435
16-04-2018;131,97;132,63;125,24;128,34;290.855.008;7.201.443.158
15-04-2018;126,67;132,04;126,67;132,04;274.427.008;7.407.732.783
14-04-2018;125,22;129,34;124,77;126,29;258.806.000;7.083.109.035
13-04-2018;129,27;133,04;124,06;125,35;458.040.000;7.028.553.368
12-04-2018;118,29;129,34;113,55;129,34;587.510.976;7.249.888.005
11-04-2018;114,29;119,09;113,33;118,29;230.068.992;6.628.996.616
10-04-2018;115,21;115,4;112,52;114,26;202.879.008;6.401.817.412
09-04-2018;117,78;122,43;113,32;114,99;260.171.008;6.440.841.467
08-04-2018;116,29;118,55;115,95;117,67;194.664.000;6.589.392.072
07-04-2018;113,14;119,38;113,1;116,26;211.470.000;6.508.657.630
06-04-2018;118,82;119,93;112,79;113,15;233.190.000;6.333.258.411
05-04-2018;118,21;121,29;114,47;119,13;294.022.016;6.665.917.788
04-04-2018;133,91;134,61;116,58;118,41;380.351.008;6.623.848.143
03-04-2018;119,51;136,45;118,58;134,47;375.408.992;7.520.099.456
02-04-2018;115,24;121,42;114,72;119,31;271.703.008;6.670.329.213
01-04-2018;116,9;117,83;110,52;115,22;274.182.016;6.440.292.739
31-03-2018;118,64;123,87;116,18;116,61;295.439.008;6.515.946.056
30-03-2018;114,8;124,9;110,26;118,6;468.439.008;6.625.396.575
29-03-2018;131,93;132,61;113,93;114,68;476.804.000;6.404.746.988
28-03-2018;135,49;140,13;131,03;131,75;328.374.016;7.356.010.690
27-03-2018;148,96;149,62;135,78;135,78;385.104.000;7.579.179.651
26-03-2018;160,16;160,99;143,12;149,22;407.135.008;8.327.233.976
25-03-2018;158,86;162,72;157,52;160,08;241.431.008;8.931.055.242
24-03-2018;168,53;168,65;159,63;159,63;290.270.016;8.903.292.216
23-03-2018;163,58;167,83;157,26;167,83;348.056.000;9.358.153.821
22-03-2018;168,72;172,31;161,11;163,67;404.996.992;9.124.249.896
21-03-2018;169,56;175,26;166,62;169,05;462.536.000;9.421.555.108
20-03-2018;161,52;173,3;156,82;168,82;492.892.000;9.405.993.910
19-03-2018;155,48;163,05;151,66;161,14;504.832.992;8.976.121.254
18-03-2018;152,54;156,15;138,02;154,07;595.955.008;8.580.189.410
17-03-2018;165,19;165,22;151,06;152,97;403.808.992;8.516.500.296
16-03-2018;164,82;171,26;158,99;165,45;436.628.000;9.208.968.693
15-03-2018;161,2;167,33;151,48;164,48;564.609.024;9.152.161.117
14-03-2018;175,94;177,55;158,63;161,1;480.652.992;8.962.106.001
13-03-2018;177,6;181,87;172,26;175,78;468.094.016;9.776.393.862
12-03-2018;189,02;193,34;175,88;178,23;567.628.992;9.909.960.606
11-03-2018;177,51;193,48;172,47;188,95;669.377.984;10.502.793.498
10-03-2018;188,11;194,65;176,54;177,73;625.808.000;9.876.881.425
09-03-2018;176,48;189,91;160,43;187,17;943.363.968;10.398.444.427
08-03-2018;185,7;188,15;176,17;176,51;612.508.992;9.804.070.597
07-03-2018;196,83;199,27;175,65;185,84;755.924.992;10.319.459.551
06-03-2018;210,51;210,51;193,16;196,6;661.078.016;10.914.025.494
05-03-2018;213,74;215,98;209,25;211,18;594.828.992;11.719.782.021
04-03-2018;210,24;214,12;205,36;213,8;574.675.008;11.862.048.436
03-03-2018;213,84;217,76;209,54;210,64;681.865.984;11.683.955.341
02-03-2018;209,55;213,13;204,88;212,56;627.142.016;11.786.864.287
01-03-2018;203,12;214,7;201,54;209,75;678.542.016;11.628.116.966
