IOST;IOST;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,041051;0,044696;0,040741;0,044187;43.432.600;371.169.960
30-05-2018;0,041306;0,043162;0,039743;0,041195;34.718.700;346.038.840
29-05-2018;0,037767;0,042372;0,036525;0,041309;43.777.900;346.998.120
28-05-2018;0,038968;0,042329;0,037569;0,037722;54.083.200;316.861.440
27-05-2018;0,038923;0,039184;0,037916;0,039103;18.801.700;328.461.840
26-05-2018;0,039338;0,040166;0,038065;0,038909;17.277.600;326.838.120
25-05-2018;0,040597;0,040987;0,037867;0,039362;27.995.800;330.640.800
24-05-2018;0,036339;0,041162;0,035585;0,040406;53.725.600;339.412.920
23-05-2018;0,04338;0,044271;0,035602;0,036516;59.947.800;306.733.560
22-05-2018;0,050057;0,050073;0,042984;0,0436;45.479.500;366.242.520
21-05-2018;0,053641;0,054559;0,049501;0,050218;36.571.600;421.829.520
20-05-2018;0,049718;0,054459;0,048434;0,053618;36.722.700;450.391.200
19-05-2018;0,050023;0,051588;0,047839;0,049324;30.924.700;414.319.080
18-05-2018;0,049872;0,050623;0,047603;0,050017;41.835.700;420.145.320
17-05-2018;0,053163;0,056182;0,048921;0,049956;49.119.900;419.632.920
16-05-2018;0,055869;0,05644;0,051137;0,053107;56.028.400;446.101.320
15-05-2018;0,058939;0,061901;0,05464;0,056327;59.707.000;473.143.440
14-05-2018;0,060682;0,062409;0,054565;0,059027;92.285.696;495.828.480
13-05-2018;0,055365;0,062823;0,052988;0,060885;81.767.000;511.431.480
12-05-2018;0,059778;0,061451;0,048204;0,055573;174.435.008;466.809.840
11-05-2018;0,068917;0,070727;0,058584;0,060028;121.703.000;504.235.200
10-05-2018;0,069619;0,078287;0,068988;0,068988;166.751.008;579.500.880
09-05-2018;0,069818;0,072639;0,062702;0,070695;117.825.000;593.835.480
08-05-2018;0,057931;0,071515;0,05783;0,070397;171.648.992;591.337.320
07-05-2018;0,060762;0,061207;0,054221;0,057633;77.809.600;484.118.880
06-05-2018;0,066777;0,066777;0,058359;0,060732;72.321.800;510.150.480
05-05-2018;0,067179;0,069156;0,066349;0,066843;52.345.000;561.482.880
04-05-2018;0,064763;0,070378;0,063853;0,067355;85.016.704;565.784.520
03-05-2018;0,064628;0,0674;0,061693;0,064782;100.026.000;544.166.280
02-05-2018;0,057539;0,065411;0,056033;0,064335;99.467.400;540.416.520
01-05-2018;0,058943;0,058943;0,052251;0,057708;94.141.104;484.749.720
30-04-2018;0,059195;0,064466;0,057935;0,058931;121.982.000;495.017.880
29-04-2018;0,057622;0,060356;0,053332;0,059522;120.627.000;499.984.800
28-04-2018;0,048519;0,058702;0,04829;0,057565;92.911.000;483.547.680
27-04-2018;0,052485;0,052564;0,048683;0,048683;64.130.500;408.933.840
26-04-2018;0,045032;0,052536;0,043525;0,052536;104.195.000;441.304.080
25-04-2018;0,054868;0,054868;0,043594;0,044503;139.038.000;373.825.200
24-04-2018;0,048582;0,056736;0,048582;0,055268;113.044.000;464.250.360
23-04-2018;0,046977;0,052213;0,046227;0,048495;101.063.000;407.360.520
22-04-2018;0,041171;0,052189;0,040104;0,047495;162.866.000;398.961.360
21-04-2018;0,04161;0,043713;0,038619;0,041105;74.817.904;345.283.680
20-04-2018;0,03995;0,04263;0,039584;0,041592;76.265.200;349.372.800
19-04-2018;0,037231;0,04035;0,036791;0,039939;59.319.400;335.485.920
18-04-2018;0,034415;0,037532;0,034415;0,037207;29.167.800;312.543.000
17-04-2018;0,036127;0,036415;0,03446;0,03446;32.494.800;289.460.640
16-04-2018;0,038359;0,038609;0,034046;0,036142;46.448.800;303.592.800
15-04-2018;0,037682;0,03889;0,036785;0,038397;51.408.200;322.531.440
14-04-2018;0,033933;0,038387;0,03345;0,037563;70.459.400;315.525.840
13-04-2018;0,034605;0,036561;0,033302;0,034135;59.795.700;286.735.680
12-04-2018;0,030478;0,035241;0,029581;0,034676;66.786.500;291.281.760
