ZIL;Zilliqa;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,111344;0,115891;0,108778;0,113184;39.229.900;829.555.751
30-05-2018;0,113131;0,119303;0,106519;0,11143;47.962.200;816.700.216
29-05-2018;0,101013;0,115224;0,098147;0,112595;58.362.600;825.238.812
28-05-2018;0,117002;0,118497;0,100511;0,100511;38.503.100;736.671.951
27-05-2018;0,119716;0,119716;0,115564;0,117055;24.741.100;857.917.979
26-05-2018;0,122263;0,124775;0,119229;0,119888;25.500.200;878.675.571
25-05-2018;0,125941;0,126094;0,119995;0,122172;27.064.000;890.262.716
24-05-2018;0,119577;0,12931;0,11546;0,125544;56.615.200;914.834.351
23-05-2018;0,136916;0,138669;0,115591;0,119712;68.978.496;872.336.789
22-05-2018;0,143265;0,148507;0,136531;0,137059;60.863.400;998.743.718
21-05-2018;0,149289;0,149644;0,141554;0,143121;40.897.200;1.042.917.282
20-05-2018;0,14363;0,152835;0,142215;0,149186;57.869.700;1.087.112.706
19-05-2018;0,138405;0,149766;0,132817;0,143588;59.470.900;1.046.320.293
18-05-2018;0,135887;0,139674;0,131524;0,138597;45.422.900;1.009.951.066
17-05-2018;0,141941;0,153509;0,13462;0,136084;74.451.600;991.638.930
16-05-2018;0,151582;0,154689;0,135876;0,141347;65.156.500;1.029.990.211
15-05-2018;0,164604;0,165972;0,148024;0,151765;77.627.504;1.105.905.781
14-05-2018;0,172049;0,172049;0,160827;0,165314;92.045.296;1.204.636.828
13-05-2018;0,177429;0,18027;0,171793;0,172521;112.287.000;1.257.153.963
12-05-2018;0,168801;0,182069;0,149875;0,177033;202.835.008;1.290.032.735
11-05-2018;0,183583;0,188977;0,149339;0,167737;312.407.008;1.222.293.137
10-05-2018;0,213037;0,231489;0,181877;0,184948;708.051.968;1.347.709.039
09-05-2018;0,152492;0,200362;0,152492;0,20033;209.039.008;1.459.797.088
08-05-2018;0,134742;0,151794;0,134742;0,151794;78.442.896;1.106.117.103
07-05-2018;0,137795;0,140446;0,123157;0,133789;45.762.100;974.839.762
06-05-2018;0,149732;0,153468;0,128596;0,137457;57.601.600;1.001.566.266
05-05-2018;0,132111;0,149392;0,131611;0,149392;52.437.900;1.088.529.413
04-05-2018;0,128498;0,140881;0,125478;0,132311;73.747.200;964.070.467
03-05-2018;0,124577;0,130434;0,119343;0,128712;65.681.600;937.576.588
02-05-2018;0,103444;0,12549;0,100322;0,124302;83.086.704;905.452.833
01-05-2018;0,101696;0,10524;0,09405;0,103312;33.784.600;752.555.414
30-04-2018;0,11372;0,116329;0,100162;0,100871;42.630.300;734.774.442
29-04-2018;0,104873;0,113781;0,101048;0,113781;46.514.000;828.782.304
28-04-2018;0,090257;0,108252;0,08966;0,105054;45.370.600;765.214.721
27-04-2018;0,097086;0,098555;0,09059;0,090647;31.456.800;660.272.486
26-04-2018;0,084786;0,097981;0,081037;0,096938;43.706.300;706.094.757
25-04-2018;0,097;0,097844;0,07838;0,083839;49.315.700;610.681.468
24-04-2018;0,095428;0,101166;0,09056;0,097892;70.487.600;713.045.890
23-04-2018;0,099818;0,103016;0,091886;0,095335;42.858.900;694.422.126
22-04-2018;0,088516;0,106175;0,085911;0,099762;80.243.400;726.666.267
21-04-2018;0,083556;0,101291;0,073652;0,089033;103.145.000;648.520.460
20-04-2018;0,068003;0,081868;0,06694;0,081868;28.539.600;596.326.863
19-04-2018;0,066015;0,068149;0,064328;0,067975;22.792.300;495.131.525
18-04-2018;0,063876;0,06687;0,063763;0,066021;19.429.200;480.894.193
17-04-2018;0,063179;0,068067;0,063006;0,063909;23.477.500;465.511.092
16-04-2018;0,064058;0,067107;0,060318;0,06316;31.678.100;460.056.816
15-04-2018;0,055979;0,063916;0,055979;0,063879;22.095.800;465.294.750
14-04-2018;0,054345;0,058539;0,053263;0,05584;14.614.800;406.739.296
13-04-2018;0,059129;0,06031;0,052706;0,054581;25.675.800;397.571.637
12-04-2018;0,043542;0,060464;0,043542;0,058987;53.354.400;427.368.992
11-04-2018;0,040135;0,043631;0,039994;0,043567;16.861.700;311.415.720
10-04-2018;0,039118;0,041581;0,038001;0,040148;14.359.300;286.981.582
09-04-2018;0,041351;0,042498;0,038154;0,039072;11.600.400;279.111.442
08-04-2018;0,040418;0,043737;0,040359;0,041304;11.796.100;295.057.994
07-04-2018;0,037651;0,042735;0,037375;0,040268;12.700.500;287.655.845
06-04-2018;0,040354;0,040587;0,037631;0,03773;10.410.900;269.526.938
05-04-2018;0,041918;0,042269;0,038911;0,040404;13.784.600;288.624.511
04-04-2018;0,045947;0,045947;0,040947;0,041919;13.151.500;299.449.135
03-04-2018;0,044641;0,046617;0,044558;0,045947;14.360.100;304.100.626
02-04-2018;0,043399;0,045961;0,043166;0,044648;11.052.700;295.502.465
01-04-2018;0,045975;0,0471;0,041238;0,043248;12.316.000;286.241.787
31-03-2018;0,046042;0,049666;0,044943;0,045991;17.077.700;304.392.504
30-03-2018;0,043606;0,046052;0,040499;0,046052;14.811.400;304.799.545
29-03-2018;0,049341;0,049583;0,042197;0,043687;15.434.000;289.146.670
28-03-2018;0,04663;0,050261;0,045789;0,049151;16.719.100;325.309.110
27-03-2018;0,048608;0,049962;0,044771;0,046741;12.606.700;309.355.090
26-03-2018;0,052475;0,052894;0,044314;0,04863;17.981.300;321.221.253
25-03-2018;0,052326;0,054182;0,051328;0,052512;15.468.400;346.858.930
24-03-2018;0,052732;0,056876;0,05154;0,053265;28.038.200;351.832.741
23-03-2018;0,047534;0,052813;0,043181;0,052472;23.123.400;346.593.395
22-03-2018;0,047352;0,049958;0,044457;0,047551;13.273.700;314.091.884
21-03-2018;0,047919;0,051286;0,045718;0,047356;15.342.900;312.804.506
20-03-2018;0,047131;0,048857;0,04323;0,047747;15.458.000;315.385.868
19-03-2018;0,040648;0,048764;0,039975;0,046647;18.843.500;308.121.329
18-03-2018;0,040834;0,041186;0,034292;0,040974;15.158.500;270.644.685
17-03-2018;0,04261;0,044584;0,040483;0,040867;12.451.900;269.941.879
16-03-2018;0,041476;0,046115;0,039669;0,04251;17.237.500;280.792.449
15-03-2018;0,040915;0,042399;0,038467;0,041405;12.966.400;273.496.205
14-03-2018;0,046199;0,049461;0,039287;0,040833;13.565.000;269.717.298
13-03-2018;0,046332;0,049015;0,043512;0,046047;11.401.300;304.158.133
12-03-2018;0,051306;0,05287;0,044358;0,046308;21.471.400;305.878.160
11-03-2018;0,043565;0,055693;0,040644;0,051573;39.127.300;340.656.528
10-03-2018;0,040623;0,050249;0,04013;0,043576;22.847.300;287.836.370
09-03-2018;0,037402;0,041256;0,031133;0,040695;16.646.600;268.803.120
08-03-2018;0,041464;0,043324;0,037239;0,037521;14.997.800;247.838.473
07-03-2018;0,046988;0,048887;0,03764;0,041399;15.166.200;273.456.573
06-03-2018;0,052885;0,055167;0,046817;0,047111;21.991.400;309.718.983
05-03-2018;0,047276;0,077344;0,046415;0,05286;65.687.400;346.972.552
04-03-2018;0,047146;0,051191;0,046284;0,047177;9.399.210;309.432.125
03-03-2018;0,046356;0,048018;0,044173;0,047215;7.736.220;309.682.023
02-03-2018;0,049164;0,050358;0,045371;0,046368;9.165.450;304.128.515
01-03-2018;0,048509;0,050626;0,048172;0,049075;8.320.570;321.881.769
