DBG;DigiByte ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,03165;0,03411;0,031542;0,033034;2.114.840;341.199.073
30-05-2018;0,032808;0,033615;0,031495;0,031615;1.593.360;326.399.666
29-05-2018;0,030489;0,033875;0,030356;0,032763;2.732.960;338.109.988
28-05-2018;0,032963;0,033235;0,030443;0,030574;2.476.690;315.387.961
27-05-2018;0,033868;0,03387;0,032451;0,033077;1.454.690;341.049.589
26-05-2018;0,034308;0,035136;0,0337;0,033755;1.675.120;347.890.375
25-05-2018;0,035672;0,036083;0,033965;0,034299;1.976.550;353.343.325
24-05-2018;0,034885;0,036472;0,033443;0,035588;2.982.750;366.458.651
23-05-2018;0,038026;0,038403;0,033829;0,035024;5.023.140;360.495.093
22-05-2018;0,040938;0,041043;0,037454;0,037899;4.921.000;389.917.628
21-05-2018;0,041177;0,041367;0,039487;0,040957;5.259.580;421.188.840
20-05-2018;0,037587;0,041555;0,037041;0,041129;4.355.350;422.771.663
19-05-2018;0,036474;0,038566;0,035395;0,037583;3.487.450;386.154.700
18-05-2018;0,033764;0,036614;0,03251;0,036395;3.153.070;373.783.077
17-05-2018;0,0372;0,038719;0,033533;0,03356;3.894.100;344.520.254
16-05-2018;0,039676;0,039829;0,036886;0,037247;3.764.510;382.203.741
15-05-2018;0,042808;0,043517;0,039571;0,039951;3.392.320;409.768.322
14-05-2018;0,043619;0,044519;0,040239;0,042966;5.475.090;440.493.443
13-05-2018;0,040456;0,044161;0,03939;0,04371;5.957.970;447.925.030
12-05-2018;0,036612;0,0408;0,034712;0,040499;9.600.650;414.838.321
11-05-2018;0,04302;0,043114;0,036494;0,036524;9.750.750;373.956.861
10-05-2018;0,04834;0,048536;0,042872;0,042872;7.425.820;438.752.910
09-05-2018;0,046244;0,048592;0,0441;0,048276;9.140.310;493.839.833
08-05-2018;0,044664;0,046498;0,043968;0,04618;6.865.950;472.196.478
07-05-2018;0,046753;0,047184;0,04302;0,044621;4.637.530;456.053.331
06-05-2018;0,048678;0,048974;0,044511;0,046856;6.686.140;478.686.087
05-05-2018;0,04905;0,050215;0,047845;0,048654;6.584.560;496.829.743
04-05-2018;0,047791;0,05047;0,046893;0,049099;10.310.300;501.152.992
03-05-2018;0,048169;0,048898;0,046138;0,048;11.019.000;489.713.103
02-05-2018;0,043434;0,048295;0,042579;0,048295;11.232.800;492.507.939
01-05-2018;0,040583;0,043958;0,038539;0,043434;6.998.160;442.743.300
30-04-2018;0,043727;0,043727;0,040307;0,040531;5.885.700;412.959.720
29-04-2018;0,044484;0,044836;0,041922;0,043575;6.780.090;443.786.791
28-04-2018;0,04244;0,045852;0,041991;0,044674;9.280.990;454.774.458
27-04-2018;0,040365;0,045309;0,040098;0,042685;15.466.900;434.327.369
26-04-2018;0,034695;0,040354;0,03349;0,040239;12.378.400;409.256.344
