ICX;ICON;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;2,66;2,85;2,61;2,77;51.880.600;1.073.637.637
30-05-2018;2,62;2,82;2,54;2,68;61.928.800;1.037.292.102
29-05-2018;2,21;2,69;2,2;2,62;66.451.400;1.013.016.569
28-05-2018;2,52;2,54;2,2;2,21;41.994.900;855.006.817
27-05-2018;2,61;2,61;2,47;2,52;31.561.200;974.475.433
26-05-2018;2,66;2,77;2,61;2,61;16.186.100;1.010.646.713
25-05-2018;2,83;2,84;2,62;2,67;19.931.000;1.032.757.623
24-05-2018;2,69;2,85;2,56;2,82;32.746.800;1.093.854.985
23-05-2018;3,07;3,11;2,66;2,69;39.825.300;1.042.817.894
22-05-2018;3,48;3,49;3,04;3,07;32.143.500;1.188.560.156
21-05-2018;3,64;3,65;3,43;3,48;24.410.000;1.348.691.936
20-05-2018;3,54;3,71;3,49;3,64;24.386.700;1.409.371.088
19-05-2018;3,63;3,64;3,49;3,53;20.808.400;1.367.054.446
18-05-2018;3,57;3,64;3,42;3,63;32.009.200;1.406.691.447
17-05-2018;3,85;3,94;3,52;3,56;36.797.300;1.379.689.805
16-05-2018;4,01;4,02;3,69;3,84;45.163.000;1.488.161.051
15-05-2018;4,04;4,43;3,99;4,01;108.231.000;1.553.924.551
14-05-2018;4,08;4,11;3,81;4,01;52.261.900;1.551.736.693
13-05-2018;3,94;4,18;3,85;4,08;46.177.800;1.578.978.419
12-05-2018;4,16;4,22;3,65;3,94;96.616.400;1.524.243.268
11-05-2018;3,86;4,42;3,45;4,11;236.936.992;1.592.972.960
10-05-2018;4,21;4,31;3,85;3,87;37.495.800;1.498.798.296
09-05-2018;4,41;4,41;4,1;4,21;40.110.400;1.631.912.944
08-05-2018;4,29;4,49;4,12;4,46;54.016.300;1.725.983.056
07-05-2018;4,26;4,33;3,96;4,28;40.395.400;1.655.615.375
06-05-2018;4,41;4,43;4,09;4,27;35.434.400;1.653.098.371
05-05-2018;4,54;4,54;4,37;4,42;45.955.200;1.711.721.325
04-05-2018;4,41;4,57;4,19;4,56;73.150.400;1.766.104.096
03-05-2018;4,37;4,59;4,34;4,4;85.571.696;1.702.540.070
02-05-2018;4,39;4,41;4,29;4,37;46.918.400;1.693.955.151
01-05-2018;4,34;4,43;4,01;4,41;66.976.200;1.707.612.800
