KCS;KuCoin Shares;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;2,91;3,15;2,9;3,07;259.785;278.425.826
30-05-2018;2,97;3,04;2,86;2,92;306.401;265.339.755
29-05-2018;2,77;3,05;2,75;2,99;366.887;270.903.354
28-05-2018;3,13;3,13;2,76;2,77;437.410;250.923.574
27-05-2018;3,13;3,13;3;3,12;251.807;283.022.237
26-05-2018;3,11;3,17;3,01;3,13;211.343;283.594.747
25-05-2018;3,22;3,23;3,05;3,11;364.901;282.155.760
24-05-2018;3,14;3,29;3,01;3,21;396.202;291.363.099
23-05-2018;3,46;3,54;3,01;3,15;816.801;286.049.916
22-05-2018;3,89;3,89;3,46;3,48;718.390;315.774.160
21-05-2018;3,94;3,96;3,74;3,89;788.734;353.100.719
20-05-2018;3,85;3,94;3,66;3,94;916.350;357.819.616
19-05-2018;4;4,51;3,83;3,85;2.755.550;349.093.150
18-05-2018;3,59;4,01;3,48;4,01;1.488.550;363.845.941
17-05-2018;3,66;3,74;3,57;3,6;492.465;326.943.094
16-05-2018;3,69;3,73;3,51;3,66;631.566;277.073.186
15-05-2018;3,67;3,81;3,65;3,69;586.628;279.574.567
14-05-2018;3,88;3,91;3,65;3,67;2.546.400;278.033.450
13-05-2018;3,75;3,94;3,71;3,89;1.392.140;294.784.296
12-05-2018;3,73;3,93;3,7;3,76;1.453.330;284.977.944
11-05-2018;4,11;4,15;3,62;3,73;1.400.140;282.281.178
10-05-2018;4,21;4,28;4,12;4,13;883.726;312.674.888
09-05-2018;4,26;4,29;4,13;4,21;656.216;318.934.020
08-05-2018;4,3;4,38;4,17;4,27;738.447;323.018.927
07-05-2018;4,42;4,43;4,1;4,28;767.700;324.167.002
06-05-2018;4,68;4,75;4,31;4,42;760.232;334.436.826
05-05-2018;4,69;4,87;4,6;4,68;1.003.860;354.263.091
04-05-2018;4,61;4,75;4,38;4,72;1.312.800;357.323.363
03-05-2018;4,09;4,63;3,96;4,63;1.640.740;350.387.957
02-05-2018;4,08;4,14;3,85;4,09;821.589;309.945.558
01-05-2018;4,08;4,09;3,9;4,08;771.306;308.970.905
30-04-2018;4,36;4,4;4,03;4,07;951.300;308.504.405
29-04-2018;4,43;4,53;4,26;4,28;1.113.370;324.475.983
28-04-2018;4,28;4,48;4,27;4,42;655.375;335.049.486
27-04-2018;4,51;4,59;4,21;4,29;1.035.090;325.228.745
26-04-2018;4,21;4,52;4,09;4,5;954.491;341.101.874
25-04-2018;5,14;5,14;3,8;4,18;2.589.310;316.503.068
24-04-2018;4,85;5,18;4,7;5,18;2.218.320;392.032.958
23-04-2018;4,06;4,94;4,05;4,83;1.525.880;366.147.490
22-04-2018;3,61;4,37;3,6;4,06;2.092.260;307.383.592
21-04-2018;3,48;3,64;3,31;3,58;784.779;270.786.791
20-04-2018;3,27;3,5;3,22;3,48;892.672;263.191.772
19-04-2018;3,09;3,31;3,06;3,26;990.456;247.074.791
18-04-2018;3,04;3,14;3,01;3,09;567.154;281.508.833
17-04-2018;3,14;3,19;3,04;3,04;461.536;276.706.310
16-04-2018;3,32;3,33;3,07;3,14;511.989;286.144.746
15-04-2018;3,16;3,34;3,03;3,32;780.335;302.026.300
14-04-2018;3,05;3,3;3,04;3,15;434.670;286.875.822
13-04-2018;3,28;3,44;3,07;3,07;797.970;279.378.425
12-04-2018;2,74;3,26;2,69;3,26;912.990;296.433.524
11-04-2018;2,49;2,75;2,47;2,75;467.717;250.239.178
10-04-2018;2,36;2,5;2,34;2,47;288.943;224.788.996
09-04-2018;2,39;2,57;2,26;2,36;510.533;214.885.331
08-04-2018;2,21;2,44;2,18;2,39;7.052.220;217.358.971
07-04-2018;2,09;2,28;2,07;2,21;2.266.270;201.339.942
06-04-2018;2,2;2,22;2,04;2,09;973.296;189.884.902
05-04-2018;2,28;2,28;2,17;2,2;675.789;200.425.869
04-04-2018;2,52;2,52;2,25;2,29;772.786;208.529.613
03-04-2018;2,3;2,52;2,28;2,51;475.328;228.312.363
02-04-2018;2,25;2,33;2,23;2,28;299.196;207.426.171
01-04-2018;2,27;2,31;2,13;2,23;239.712;203.260.951
31-03-2018;2,26;2,39;2,22;2,28;243.438;207.549.990
30-03-2018;2,31;2,38;2,15;2,25;371.995;204.979.844
29-03-2018;2,62;2,62;2,26;2,31;450.453;210.748.333
28-03-2018;2,53;2,64;2,51;2,62;365.329;238.475.502
27-03-2018;2,72;2,75;2,54;2,54;430.255;231.631.794
26-03-2018;3,03;3,05;2,56;2,71;545.413;247.127.325
25-03-2018;2,86;3,04;2,81;3,03;375.644;276.206.484
24-03-2018;2,93;3,03;2,84;2,91;453.680;264.736.877
23-03-2018;2,74;2,92;2,59;2,92;416.390;265.453.386
22-03-2018;2,91;3,11;2,73;2,74;516.824;249.316.001
21-03-2018;3,11;3,22;2,86;2,91;574.578;265.068.274
20-03-2018;2,73;3,2;2,67;3,08;729.026;280.638.461
19-03-2018;2,33;2,82;2,28;2,7;975.747;245.873.662
18-03-2018;2,19;2,29;1,84;2,29;941.802;208.171.814
17-03-2018;2,4;2,43;2,08;2,19;566.419;199.728.479
16-03-2018;2,66;2,67;2,28;2,4;951.563;218.549.814
15-03-2018;2,8;2,81;2,26;2,66;1.250.360;241.955.168
14-03-2018;3,28;3,37;2,71;2,78;1.031.570;252.856.666
13-03-2018;3,36;3,42;3,2;3,28;668.130;298.781.525
12-03-2018;3,25;3,49;3,11;3,38;581.518;307.351.410
11-03-2018;3,07;3,41;2,96;3,25;604.099;296.231.409
10-03-2018;3,14;3,39;3,03;3,07;680.675;279.237.308
09-03-2018;3,07;3,17;2,78;3,14;870.636;286.292.236
08-03-2018;3,2;3,33;3,02;3,08;737.088;280.574.731
07-03-2018;3,26;3,43;2,86;3,22;1.121.250;292.934.739
06-03-2018;3,72;3,74;3,22;3,25;1.029.180;296.221.394
05-03-2018;3,86;3,96;3,65;3,69;725.553;335.999.024
04-03-2018;3,66;4,09;3,64;3,86;1.574.810;351.662.075
03-03-2018;4,15;4,28;3,6;3,67;1.527.700;334.528.678
02-03-2018;4,26;4,33;4,1;4,16;782.108;378.530.708
01-03-2018;4,19;4,29;4,12;4,24;882.486;386.038.120
