SC;Siacoin ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,014976;0,015548;0,014738;0,015204;11.979.400;528.797.461
30-05-2018;0,014881;0,015784;0,014595;0,014999;16.515.900;521.305.222
29-05-2018;0,013879;0,015094;0,01349;0,01484;13.272.800;515.473.670
28-05-2018;0,015607;0,015726;0,013801;0,013801;14.062.100;479.131.402
27-05-2018;0,015571;0,015743;0,015352;0,015605;6.626.770;541.439.516
26-05-2018;0,01612;0,01622;0,015468;0,015541;8.458.060;538.891.793
25-05-2018;0,016552;0,016842;0,015817;0,016141;10.597.200;559.424.916
24-05-2018;0,016514;0,016931;0,015313;0,016595;17.955.700;574.801.889
23-05-2018;0,018244;0,018496;0,016338;0,016555;19.144.000;573.050.012
22-05-2018;0,019757;0,019806;0,018174;0,018174;11.421.900;628.697.172
21-05-2018;0,020256;0,020887;0,019511;0,019821;15.534.600;685.300.215
20-05-2018;0,019148;0,020555;0,018917;0,020108;12.052.300;694.858.175
19-05-2018;0,018847;0,019509;0,018847;0,019235;8.447.880;664.260.746
18-05-2018;0,018924;0,01906;0,018117;0,018876;13.257.800;651.446.214
17-05-2018;0,019498;0,019901;0,018687;0,018904;14.899.600;652.010.724
16-05-2018;0,020211;0,020455;0,018858;0,019497;18.108.400;672.048.550
15-05-2018;0,021631;0,021781;0,020285;0,020325;13.743.000;700.179.293
14-05-2018;0,022285;0,022349;0,020661;0,021598;26.319.400;743.612.936
13-05-2018;0,020862;0,022646;0,020162;0,022177;28.011.800;763.065.912
12-05-2018;0,020398;0,021287;0,018847;0,020833;31.991.200;716.396.061
11-05-2018;0,023362;0,023459;0,018311;0,020369;66.776.300;700.005.286
10-05-2018;0,025957;0,026065;0,023338;0,023495;26.324.700;806.939.148
09-05-2018;0,026042;0,026292;0,024976;0,025987;27.636.800;891.989.006
08-05-2018;0,025642;0,02705;0,025359;0,026082;33.202.800;894.695.436
07-05-2018;0,026705;0,026845;0,025009;0,025625;23.190.800;878.446.209
06-05-2018;0,027564;0,027628;0,025988;0,026622;28.963.800;912.102.715
05-05-2018;0,027715;0,028084;0,027457;0,027613;19.746.100;945.458.322
04-05-2018;0,028184;0,029061;0,027257;0,027771;32.966.600;950.275.817
03-05-2018;0,02788;0,029181;0,027391;0,028287;62.304.700;967.332.591
02-05-2018;0,026675;0,027942;0,025981;0,027942;40.373.600;954.914.753
01-05-2018;0,027293;0,027293;0,025454;0,026647;50.625.400;910.043.590
30-04-2018;0,028994;0,028994;0,027145;0,027351;48.012.800;933.567.951
29-04-2018;0,029572;0,031062;0,027806;0,029034;84.785.296;990.393.390
28-04-2018;0,02857;0,030152;0,02857;0,029611;67.197.104;1.009.466.277
27-04-2018;0,027408;0,032689;0,02725;0,028856;327.463.008;983.080.395
26-04-2018;0,019324;0,02956;0,018723;0,028004;342.080.992;953.394.095
25-04-2018;0,021811;0,022264;0,018687;0,019252;33.700.000;655.081.308
24-04-2018;0,020684;0,022457;0,020262;0,02195;51.502.300;746.405.738
23-04-2018;0,01898;0,020969;0,018939;0,020881;29.441.600;709.634.468
22-04-2018;0,019055;0,019507;0,018541;0,019116;14.352.300;649.272.230
21-04-2018;0,019614;0,020569;0,018036;0,019135;35.074.300;649.459.702
20-04-2018;0,019559;0,019821;0,018757;0,019447;26.751.200;659.634.144
19-04-2018;0,01925;0,01983;0,018686;0,019547;28.521.200;662.574.312
18-04-2018;0,017576;0,019709;0,017576;0,019232;29.532.600;651.416.252
17-04-2018;0,017478;0,019219;0,016963;0,017596;49.567.600;595.637.142
16-04-2018;0,018527;0,019704;0,01642;0,017387;25.186.500;588.201.210
15-04-2018;0,016528;0,018721;0,016526;0,018538;27.255.300;626.723.757
14-04-2018;0,014808;0,018354;0,014536;0,0163;54.610.200;550.711.246
13-04-2018;0,013665;0,015575;0,013362;0,01463;19.946.100;493.971.836
12-04-2018;0,012176;0,013745;0,012056;0,013745;16.657.100;463.849.982
11-04-2018;0,011413;0,012459;0,011395;0,012284;11.889.900;414.224.535
10-04-2018;0,010786;0,011658;0,010754;0,011447;8.685.880;385.774.876
09-04-2018;0,011149;0,012045;0,010607;0,010834;4.608.340;364.908.092
08-04-2018;0,011093;0,011397;0,010909;0,011087;2.828.600;373.210.762
07-04-2018;0,010699;0,011305;0,010609;0,011083;3.338.650;372.835.627
06-04-2018;0,011119;0,011377;0,010328;0,010691;4.597.000;359.380.885
05-04-2018;0,010532;0,011463;0,010094;0,011056;10.810.800;371.418.497
04-04-2018;0,012327;0,012327;0,010415;0,010527;5.199.960;353.433.037
03-04-2018;0,010418;0,012428;0,010327;0,012395;9.892.000;415.863.412
02-04-2018;0,010314;0,010911;0,010139;0,010455;3.758.220;350.569.465
01-04-2018;0,010711;0,010854;0,009402;0,010207;3.329.020;342.025.030
31-03-2018;0,010531;0,011129;0,010502;0,010754;2.380.560;360.106.848
30-03-2018;0,010968;0,011413;0,010047;0,010518;3.388.460;352.013.600
29-03-2018;0,013193;0,013196;0,010879;0,011032;5.296.910;368.953.843
28-03-2018;0,013177;0,01386;0,012951;0,013178;3.979.810;440.375.173
27-03-2018;0,013802;0,014883;0,013234;0,013249;12.238.800;442.535.907
26-03-2018;0,015087;0,01565;0,012692;0,013893;11.356.100;463.717.561
