ETP;Metaverse ETP;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,828065;0,84206;0,786697;0,834732;4.552.140;29.836.997
30-05-2018;0,835628;0,837286;0,799825;0,828133;4.505.970;29.594.252
29-05-2018;0,836737;0,86831;0,792715;0,834644;4.312.480;29.820.113
28-05-2018;0,839338;0,896228;0,78354;0,827017;4.217.430;29.542.382
27-05-2018;0,922058;0,961504;0,826705;0,839356;4.206.880;29.976.799
26-05-2018;0,847959;0,941204;0,834537;0,919841;3.370.180;32.843.863
25-05-2018;0,865691;0,910566;0,829462;0,850183;4.437.390;30.350.735
24-05-2018;0,793565;0,895361;0,793565;0,853392;4.556.150;30.459.441
23-05-2018;0,894164;0,907144;0,789102;0,791722;5.147.400;28.253.092
22-05-2018;0,853491;0,935791;0,841617;0,886768;4.915.980;31.636.308
21-05-2018;0,916453;0,939226;0,840536;0,861883;6.047.230;30.742.124
20-05-2018;0,845953;0,955773;0,815506;0,920198;4.958.550;32.815.509
19-05-2018;0,825065;0,856666;0,773162;0,847502;8.027.030;30.216.602
18-05-2018;0,822187;0,848677;0,76143;0,806006;7.622.130;28.731.608
17-05-2018;0,851914;0,889538;0,789341;0,811912;6.705.640;28.936.439
16-05-2018;0,860595;0,884214;0,830413;0,83967;6.523.920;29.917.830
15-05-2018;0,880144;0,902331;0,799006;0,86179;5.130.040;30.699.730
14-05-2018;0,898641;0,911073;0,624996;0,878279;5.659.760;31.280.550
13-05-2018;0,919058;0,930303;0,848891;0,894622;5.353.250;31.855.885
12-05-2018;0,880307;0,948096;0,724068;0,908891;6.026.910;32.357.774
11-05-2018;0,977482;0,982604;0,764838;0,867975;6.333.800;30.894.237
10-05-2018;1,03;1,09;0,992807;0,992807;5.376.780;35.324.355
09-05-2018;1,07;1,09;0,848193;1,04;6.054.410;36.964.452
08-05-2018;1,15;1,16;1,03;1,07;5.398.700;38.166.992
07-05-2018;1,15;1,17;1,07;1,14;5.222.990;40.562.352
06-05-2018;1,21;1,22;1,1;1,15;6.063.690;40.976.905
05-05-2018;1,18;1,23;1,17;1,22;5.234.070;43.267.276
04-05-2018;1,2;1,23;1,12;1,17;6.384.970;41.697.599
03-05-2018;1,16;1,26;1,15;1,21;5.874.580;43.035.134
02-05-2018;1,13;1,18;1,11;1,16;6.567.700;41.300.091
01-05-2018;1,14;1,14;1,09;1,13;5.366.920;40.144.402
30-04-2018;1,19;1,19;1,12;1,14;4.814.390;40.402.297
29-04-2018;1,17;1,22;1,16;1,19;5.432.070;42.139.819
28-04-2018;1,06;1,18;1,06;1,18;5.415.110;42.002.174
27-04-2018;1,06;1,1;1,06;1,06;4.986.870;37.725.422
26-04-2018;1,07;1,08;0,911701;1,07;5.401.320;37.819.441
25-04-2018;1,23;1,25;1,02;1,06;7.647.250;37.757.711
24-04-2018;1,18;1,28;1,17;1,23;7.720.600;43.595.322
23-04-2018;1,2;1,27;1,08;1,2;5.795.510;45.864.764
22-04-2018;1,15;1,28;1,13;1,2;5.705.830;46.006.629
21-04-2018;1,11;1,27;1,08;1,17;6.695.860;44.658.968
20-04-2018;1,1;1,14;0,998711;1,1;8.461.720;42.001.763
19-04-2018;1,27;1,32;0,988929;1,09;9.425.510;41.764.248
18-04-2018;0,999265;1,25;0,985506;1,24;5.739.460;47.420.202
17-04-2018;1,01;1,05;0,935432;1,01;4.883.980;38.600.798
16-04-2018;1,01;1,02;0,861306;1;4.699.170;38.308.606
15-04-2018;0,897133;1,05;0,89411;1,02;1.926.160;38.949.848
14-04-2018;0,844262;0,936401;0,833647;0,881801;1.386.600;33.657.801
13-04-2018;0,806112;0,95115;0,786206;0,852999;2.144.810;32.552.256
12-04-2018;0,715899;0,82514;0,685515;0,803892;1.752.770;30.669.152
11-04-2018;0,616005;0,73418;0,60929;0,722864;1.404.570;27.572.523
10-04-2018;0,630103;0,633154;0,600635;0,618549;657.369;23.587.818
09-04-2018;0,617918;0,645696;0,60474;0,628105;882.021;23.947.993
08-04-2018;0,630635;0,65098;0,60098;0,61668;968.880;23.508.383
07-04-2018;0,595634;0,645601;0,593298;0,634889;1.153.900;24.195.774
06-04-2018;0,615184;0,626101;0,582704;0,593505;835.012;22.614.024
05-04-2018;0,591279;0,627129;0,573258;0,619289;882.411;23.588.937
04-04-2018;0,683487;0,685015;0,581828;0,591662;957.733;22.532.446
03-04-2018;0,640798;0,699984;0,609229;0,680654;1.112.740;25.916.134
02-04-2018;0,646924;0,673217;0,626492;0,637583;844.778;24.271.550
01-04-2018;0,678428;0,70798;0,592382;0,638715;1.416.220;24.309.711
31-03-2018;0,686769;0,737719;0,676136;0,682735;887.179;25.979.188
30-03-2018;0,675355;0,728229;0,654079;0,683218;1.159.070;25.992.638
29-03-2018;0,800751;0,803234;0,664582;0,67802;1.589.720;25.788.598
28-03-2018;0,826853;0,853535;0,79312;0,800095;1.178.610;30.425.747
27-03-2018;0,878645;1,02;0,826487;0,828174;1.633.850;31.487.737
26-03-2018;0,988362;1,02;0,827099;0,881965;1.999.830;33.526.813
25-03-2018;0,983827;1,03;0,95245;0,995752;1.413.310;37.844.500
24-03-2018;1,01;1,1;0,986279;0,988595;2.297.820;37.564.478
23-03-2018;0,949071;0,988923;0,876636;0,988886;1.136.310;37.566.456
22-03-2018;0,9596;1,03;0,906022;0,949045;1.285.530;36.042.275
21-03-2018;0,994107;1,09;0,943159;0,95831;2.000.560;36.387.278
20-03-2018;0,824808;1,06;0,802895;0,994154;2.698.290;37.720.334
19-03-2018;0,801097;0,875182;0,779606;0,817808;1.736.710;31.022.741
18-03-2018;0,763811;0,825939;0,616662;0,798271;2.210.570;30.275.406
17-03-2018;0,857515;0,869519;0,75017;0,75028;1.184.810;28.450.203
16-03-2018;0,887966;0,927056;0,832706;0,85794;1.100.750;32.519.270
15-03-2018;0,953634;0,97036;0,88561;0,88993;1.192.530;33.714.444
14-03-2018;1,13;1,15;0,921942;0,949925;1.286.990;35.701.184
13-03-2018;1,14;1,17;1,09;1,12;1.170.690;42.240.752
12-03-2018;1,2;1,24;1,12;1,15;1.668.170;43.114.200
11-03-2018;1,14;1,27;1,09;1,2;1.834.560;45.184.277
10-03-2018;1,23;1,29;1,11;1,15;1.803.690;43.084.146
09-03-2018;1,23;1,26;1,09;1,23;2.346.100;46.045.026
08-03-2018;1,34;1,39;1,2;1,23;2.052.830;46.203.854
07-03-2018;1,49;1,5;1,26;1,34;1.950.880;50.107.448
06-03-2018;1,6;1,61;1,47;1,49;1.242.330;55.834.553
05-03-2018;1,68;1,68;1,6;1,61;1.764.770;60.238.959
04-03-2018;1,66;1,67;1,59;1,67;1.865.800;62.769.538
03-03-2018;1,67;1,73;1,62;1,66;1.985.930;62.249.505
02-03-2018;1,72;1,75;1,63;1,68;1.887.250;62.934.674
01-03-2018;1,6;1,74;1,58;1,74;2.056.280;65.082.591
