XIN;Mixin ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;796,27;814,09;727,88;742,23;103.495;317.162.076
30-05-2018;865,43;893,98;786,69;796,74;77.683;340.358.121
29-05-2018;800,83;885,3;772,29;864,48;234.133;369.234.230
28-05-2018;859,98;927,94;795,63;801,06;295.837;342.138.682
27-05-2018;841,69;886,66;831,46;857,62;372.991;366.126.999
26-05-2018;852,57;893,78;815,02;841,59;190.194;359.284.872
25-05-2018;811;904,71;797,01;853,36;1.463.630;364.293.201
24-05-2018;701,9;823,14;669,53;811,55;309.096;346.434.744
23-05-2018;759,87;837,64;692,87;704,26;769.740;300.551.753
22-05-2018;821,61;823,38;752,06;761,9;258.149;323.607.193
21-05-2018;873,98;875,52;787,96;821,84;662.145;348.900.704
20-05-2018;851,98;878,94;819,62;874,14;448.372;370.932.964
19-05-2018;849,75;852,92;802,3;850,7;316.843;360.697.227
18-05-2018;755,91;883,07;739,91;849,92;912.676;360.123.550
17-05-2018;780,42;854,81;746,17;754,29;445.995;319.456.870
16-05-2018;846,39;858,18;710,48;782,32;788.438;331.122.461
15-05-2018;924,68;964,97;826,31;848,45;368.626;358.908.288
14-05-2018;982,86;989,59;839,72;926,06;290.637;391.639.285
13-05-2018;893,23;995,92;852,02;984,52;984.060;416.274.069
12-05-2018;877,15;936,08;809,28;896,59;502.364;378.962.276
11-05-2018;1.028,77;1.060,84;858,66;890,22;522.990;376.068.442
10-05-2018;1.054,75;1.105,17;1.025,06;1.028,84;567.635;434.390.662
09-05-2018;1.106,99;1.120,44;1.030,82;1.057,47;634.346;446.101.662
08-05-2018;1.077,98;1.167,29;1.063,19;1.115,13;555.904;470.050.303
07-05-2018;1.106,67;1.121,78;1.005,52;1.075,83;431.876;453.028.739
06-05-2018;1.142,84;1.142,84;1.027,65;1.105,06;751.949;465.060.960
05-05-2018;1.110,39;1.173,94;1.093,68;1.144,67;385.884;481.222.080
04-05-2018;1.126,93;1.157,35;1.031,52;1.112,93;707.375;467.835.695
03-05-2018;1.271,22;1.299,15;1.094,04;1.123,47;586.192;472.048.293
02-05-2018;1.265,04;1.315,04;1.220,29;1.270,72;504.188;533.700.220
01-05-2018;1.231,42;1.275,19;1.154,48;1.275,19;546.290;531.597.810
30-04-2018;1.481,06;1.488,12;1.205,47;1.225,50;518.012;510.445.884
29-04-2018;1.462,50;1.583,76;1.363,66;1.471,40;1.955.740;612.566.901
28-04-2018;1.397,69;1.536,88;1.397,21;1.462,62;902.622;608.597.631
27-04-2018;1.336,17;1.488,09;1.211,47;1.401,32;1.012.670;582.885.642
26-04-2018;1.272,92;1.378,16;1.166,05;1.342,21;595.411;558.018.185
25-04-2018;1.108,51;1.342,86;945,64;1.255,26;2.329.120;521.534.023
24-04-2018;862,04;1.143,68;838,17;1.116,00;1.723.070;463.253.455
23-04-2018;552,28;1.109,96;552,28;861,01;3.151.940;357.033.659
22-04-2018;522,64;586,99;519,09;554,49;387.088;229.566.415
21-04-2018;513,44;533,22;477,78;518,9;177.686;214.780.629
20-04-2018;425,07;520,3;425,07;514,54;211.651;212.908.610
19-04-2018;418,52;430,32;409,93;423,91;140.229;175.335.668
18-04-2018;379,47;428,32;371,42;417,9;207.897;172.793.449
17-04-2018;358,23;406,27;357,04;378,08;290.400;156.213.282
16-04-2018;372,21;375,25;337,42;357,94;197.898;147.789.343
15-04-2018;374,72;391,65;353,46;372,68;265.229;153.639.085
14-04-2018;374,53;401,58;347,18;374,58;232.936;154.312.635
13-04-2018;432,46;435,77;369,61;374,53;418.551;154.018.419
12-04-2018;407,67;433,47;378,48;431,43;543.929;176.971.128
11-04-2018;315,61;425,22;308,2;412,29;1.000.070;167.452.966
10-04-2018;350,98;381,79;295,92;315,51;1.162.800;128.146.377
09-04-2018;249,16;395,71;249,16;350,52;2.392.730;142.364.285
08-04-2018;236,14;283,95;235,79;250,28;986.968;-
07-04-2018;279,35;290,24;233,42;235,89;906.968;-
06-04-2018;275,71;404,54;260;279,42;753.022;-
05-04-2018;270,28;338,3;210,56;277,03;785.174;-
04-04-2018;231,9;383,63;190,96;261,5;987.427;-
03-04-2018;287,22;316,14;212,72;232,23;445.524;-
02-04-2018;313,1;318,93;278,17;287,89;489.308;-
01-04-2018;349,11;383,8;295,42;312,09;153.486;-
31-03-2018;390,7;399,52;346,66;349,14;134.217;-
30-03-2018;388,41;412,6;377,74;391;72.005;-
29-03-2018;427,82;441,09;387,2;389,09;42.152;-
28-03-2018;393,18;451,1;388,82;426,4;39.459;-
27-03-2018;402,19;430,27;366,22;395,59;15.864;-
26-03-2018;468,52;472,56;373,27;403,56;40.474;-
25-03-2018;453,99;476,86;452,27;469,04;7.074;-
24-03-2018;486,91;502,22;455,38;459,53;25.379;-
23-03-2018;483,22;486,85;446,73;482,42;8.221;-
22-03-2018;484,42;506,76;439,68;483,23;41.388;-
21-03-2018;442,28;494,26;416,49;482,79;66.705;-
20-03-2018;453,76;461,42;403,16;440,94;45.123;-
19-03-2018;347,46;452,86;319,39;452,86;110.401;-
