AE;Aeternity ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;3,12;3,21;3,09;3,15;13.373.800;734.645.973
30-05-2018;3,18;3,26;3,06;3,12;12.293.500;727.725.265
29-05-2018;2,98;3,24;2,92;3,18;13.158.300;739.956.509
28-05-2018;3,2;3,27;2,98;2,98;12.002.400;695.272.503
27-05-2018;3,19;3,21;3,13;3,2;8.927.240;745.616.576
26-05-2018;3,18;3,3;3,14;3,19;11.145.500;744.388.559
25-05-2018;3,29;3,31;3,13;3,19;16.894.400;743.430.844
24-05-2018;3,01;3,29;2,93;3,28;22.681.500;764.549.490
23-05-2018;3,57;3,58;2,97;3,02;29.381.100;704.262.433
22-05-2018;3,83;3,87;3,56;3,58;16.629.300;833.938.326
21-05-2018;4,01;4,03;3,8;3,84;20.805.600;894.097.221
20-05-2018;3,86;4,09;3,81;4;19.896.500;933.107.179
19-05-2018;3,81;3,91;3,75;3,85;17.843.700;896.961.043
18-05-2018;3,78;3,9;3,71;3,81;22.553.500;887.619.252
17-05-2018;3,96;4,19;3,77;3,79;24.890.100;882.269.102
16-05-2018;4,37;4,47;3,81;3,95;35.955.400;920.698.838
15-05-2018;3,95;4,54;3,95;4,39;46.922.500;1.024.090.022
14-05-2018;3,97;4,06;3,72;3,95;23.706.700;920.801.367
13-05-2018;3,9;4,14;3,64;3,97;28.659.500;925.391.871
12-05-2018;3,87;4,05;3,27;3,89;31.698.900;907.120.735
11-05-2018;4,39;4,49;3,78;3,89;28.206.300;905.790.189
10-05-2018;4,68;4,87;4,41;4,42;37.152.500;1.030.710.133
09-05-2018;4,55;4,82;4,26;4,67;37.066.500;1.088.795.147
08-05-2018;4,17;4,65;4,17;4,55;41.134.700;1.060.038.090
07-05-2018;4,28;4,36;3,91;4,16;32.083.100;968.621.829
06-05-2018;4,59;4,64;4,07;4,28;32.105.500;997.108.581
05-05-2018;4,75;5;4,54;4,59;41.873.600;1.068.774.028
04-05-2018;4,54;4,84;4,39;4,77;34.764.600;1.110.729.364
03-05-2018;4,64;4,82;4,51;4,58;28.820.300;1.066.716.457
02-05-2018;4,6;4,85;4,52;4,64;46.875.900;1.081.620.446
01-05-2018;4,52;4,68;4,07;4,68;32.280.600;1.090.340.072
30-04-2018;5,02;5,13;4,33;4,49;55.883.600;1.045.884.427
29-04-2018;4,23;5,86;4,23;4,99;139.216.992;1.162.998.186
28-04-2018;2,9;4,44;2,88;4,26;88.865.904;991.942.518
27-04-2018;2,62;3,17;2,57;2,9;37.519.600;676.467.751
26-04-2018;2,3;2,64;2,27;2,61;22.985.000;609.232.024
25-04-2018;2,59;2,59;2,2;2,29;16.416.000;532.603.242
24-04-2018;2,33;2,63;2,33;2,62;19.955.100;609.805.255
23-04-2018;2,32;2,42;2,31;2,33;16.280.400;542.536.905
22-04-2018;1,98;2,45;1,97;2,32;23.847.500;540.271.946
21-04-2018;2,06;2,09;1,85;1,98;15.568.100;461.212.760
20-04-2018;1,99;2,1;1,96;2,06;17.785.400;479.045.817
19-04-2018;1,86;2,01;1,85;1,99;13.536.700;464.405.141
18-04-2018;1,73;1,87;1,72;1,86;11.675.500;432.439.392
17-04-2018;1,78;1,81;1,72;1,73;9.716.440;402.421.695
16-04-2018;1,83;1,83;1,7;1,78;10.605.600;414.885.960
15-04-2018;1,72;1,83;1,72;1,83;7.301.330;425.707.431
14-04-2018;1,68;1,8;1,66;1,72;6.076.820;401.750.596
13-04-2018;1,68;1,9;1,64;1,7;9.425.760;396.400.446
12-04-2018;1,47;1,67;1,45;1,66;9.354.580;387.974.426
11-04-2018;1,36;1,47;1,35;1,47;4.428.730;342.544.754
10-04-2018;1,33;1,37;1,29;1,35;5.170.090;315.197.472
09-04-2018;1,4;1,44;1,28;1,32;6.228.840;308.190.546
08-04-2018;1,39;1,42;1,39;1,39;3.033.710;324.940.058
07-04-2018;1,36;1,42;1,36;1,39;2.634.920;324.732.670
06-04-2018;1,4;1,41;1,34;1,36;2.401.780;317.634.866
05-04-2018;1,43;1,45;1,35;1,41;5.666.730;327.633.774
04-04-2018;1,5;1,5;1,39;1,43;4.570.540;332.273.212
03-04-2018;1,48;1,54;1,46;1,5;4.359.900;350.169.184
02-04-2018;1,48;1,52;1,45;1,47;2.183.650;343.702.866
01-04-2018;1,59;1,61;1,4;1,47;2.974.510;343.686.555
31-03-2018;1,54;1,66;1,54;1,59;3.311.140;369.705.621
30-03-2018;1,43;1,65;1,37;1,54;7.037.270;359.012.311
29-03-2018;1,64;1,65;1,4;1,42;3.246.180;331.953.974
28-03-2018;1,58;1,7;1,56;1,64;4.091.060;383.115.949
27-03-2018;1,6;1,69;1,52;1,58;3.504.030;368.890.049
26-03-2018;1,65;1,7;1,52;1,61;2.612.480;373.997.858
25-03-2018;1,66;1,68;1,61;1,64;1.714.780;383.013.420
24-03-2018;1,7;1,74;1,67;1,67;2.492.240;389.831.599
23-03-2018;1,68;1,69;1,55;1,69;3.157.770;393.538.955
22-03-2018;1,75;1,82;1,58;1,68;3.615.960;392.201.417
21-03-2018;1,66;1,77;1,65;1,75;2.733.890;407.170.652
20-03-2018;1,6;1,73;1,54;1,66;2.604.610;386.720.776
19-03-2018;1,38;1,64;1,37;1,58;3.766.160;369.139.381
18-03-2018;1,49;1,49;1,2;1,39;3.064.900;323.029.290
17-03-2018;1,62;1,62;1,48;1,5;3.615.700;348.843.298
16-03-2018;1,62;1,66;1,57;1,61;3.794.970;375.924.937
15-03-2018;1,58;1,63;1,52;1,62;3.000.830;377.048.096
14-03-2018;1,72;1,76;1,55;1,58;2.764.920;367.983.599
13-03-2018;1,77;1,81;1,7;1,72;2.199.740;401.494.273
12-03-2018;1,84;1,87;1,73;1,77;1.892.480;412.553.425
11-03-2018;1,77;1,88;1,73;1,83;1.742.250;427.497.028
10-03-2018;1,87;1,92;1,76;1,77;1.973.150;411.824.071
09-03-2018;1,85;1,87;1,7;1,87;4.413.590;436.426.372
08-03-2018;1,87;1,93;1,73;1,85;4.135.560;430.272.302
07-03-2018;2,12;2,16;1,81;1,88;4.148.770;439.203.976
06-03-2018;2,31;2,31;2,1;2,12;3.012.900;494.669.839
05-03-2018;2,32;2,36;2,29;2,3;2.081.650;536.725.374
04-03-2018;2,3;2,33;2,26;2,32;2.560.440;540.637.788
03-03-2018;2,35;2,4;2,28;2,3;2.165.790;536.133.502
02-03-2018;2,37;2,44;2,29;2,36;2.379.310;549.075.459
01-03-2018;2,28;2,48;2,24;2,35;3.402.770;548.383.388
