GXC;GXChain ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;3,43;3,43;3,21;3,26;20.052.300;195.768.600
30-05-2018;3,4;3,64;3,37;3,42;19.684.000;205.278.600
29-05-2018;2,86;3,45;2,86;3,39;21.715.600;203.423.400
28-05-2018;2,83;3,08;2,64;2,86;11.902.700;171.456.600
27-05-2018;2,87;3,25;2,81;2,82;15.912.300;169.499.400
26-05-2018;2,86;3;2,84;2,88;8.165.080;172.696.200
25-05-2018;3,14;3,23;2,82;2,88;9.467.420;172.950.000
24-05-2018;2,99;3,13;2,98;3,13;11.704.100;187.929.000
23-05-2018;3,36;3,37;2,93;2,98;8.489.970;178.810.800
22-05-2018;3,49;3,49;3,33;3,37;13.983.300;202.448.400
21-05-2018;3,55;3,59;3,44;3,49;16.320.200;209.109.600
20-05-2018;3,5;3,77;3,48;3,53;16.259.100;211.647.600
19-05-2018;3,62;3,81;3,47;3,51;15.957.500;210.591.000
18-05-2018;3,55;3,64;3,48;3,61;13.844.800;216.799.200
17-05-2018;3,59;3,7;3,54;3,57;14.058.400;214.100.400
16-05-2018;3,65;3,66;3,47;3,58;14.341.000;215.031.600
15-05-2018;3,75;3,81;3,6;3,65;12.471.500;218.838.600
14-05-2018;3,79;3,85;3,63;3,77;13.576.700;226.305.600
13-05-2018;3,78;3,88;3,68;3,83;13.354.400;229.885.200
12-05-2018;3,61;4,21;3,42;3,76;15.350.500;225.379.200
11-05-2018;4,05;4,1;3,56;3,61;13.467.600;216.436.200
10-05-2018;4,13;4,44;4,05;4,09;17.997.400;245.219.400
09-05-2018;3,94;4,17;3,73;4,16;15.674.500;249.696.000
08-05-2018;3,93;4,04;3,76;3,94;13.495.200;236.296.800
07-05-2018;4,11;4,11;3,81;3,9;14.429.600;233.880.000
06-05-2018;4,33;4,48;3,96;4,1;15.501.700;245.727.600
05-05-2018;4,35;4,44;4,25;4,38;16.419.800;262.513.800
04-05-2018;4,5;4,5;4,21;4,36;16.409.100;261.401.400
03-05-2018;4,43;4,53;4,33;4,46;19.493.100;267.746.400
02-05-2018;3,97;4,46;3,92;4,43;20.429.200;266.043.600
01-05-2018;4,05;4,09;3,84;4,02;14.277.500;241.424.400
30-04-2018;4,26;4,37;4,05;4,08;14.343.000;244.557.600
29-04-2018;3,99;4,37;3,94;4,32;19.267.800;259.497.600
28-04-2018;3,46;4,05;3,43;4,02;15.564.500;240.924.600
27-04-2018;3,65;3,83;3,49;3,54;12.586.100;212.123.400
26-04-2018;3,27;3,64;3,22;3,64;14.068.600;218.247.600
25-04-2018;3,86;3,95;3,22;3,32;14.152.500;198.998.400
24-04-2018;3,65;3,92;3,65;3,87;16.344.100;232.468.800
23-04-2018;3,63;3,72;3,6;3,63;12.605.400;218.096.400
22-04-2018;3,63;3,79;3,58;3,65;13.284.700;218.916.600
