BCH;Bitcoin Cash;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;983,57;1.027,73;975,4;995,34;705.260.032;17.078.622.466
30-05-2018;990,07;1.025,64;954,89;984,68;591.774.976;16.893.852.272
29-05-2018;896,85;1.003,51;880,89;987,66;688.334.016;16.943.358.765
28-05-2018;996,65;1.005,65;884,05;892,12;566.168.000;15.302.656.175
27-05-2018;1.009,20;1.009,79;982,27;996,92;507.305.984;17.098.555.063
26-05-2018;1.015,68;1.046,49;1.001,18;1.012,48;486.185.984;17.363.589.040
25-05-2018;1.072,74;1.073,05;998,52;1.017,30;620.339.968;17.444.380.643
24-05-2018;1.005,01;1.078,36;958,82;1.071,36;785.384.000;18.369.471.600
23-05-2018;1.142,25;1.153,91;978,27;1.005,61;858.105.984;17.240.265.831
22-05-2018;1.233,70;1.233,70;1.131,93;1.141,86;634.201.984;19.574.049.585
21-05-2018;1.296,03;1.301,55;1.221,57;1.233,64;622.772.992;21.145.453.148
20-05-2018;1.183,20;1.306,95;1.174,97;1.291,77;805.598.976;22.139.339.235
19-05-2018;1.206,61;1.208,99;1.159,66;1.184,96;595.862.016;20.306.600.272
18-05-2018;1.202,20;1.218,00;1.143,12;1.207,24;876.974.976;20.686.223.396
17-05-2018;1.290,22;1.335,41;1.185,99;1.206,17;804.139.008;20.665.642.307
16-05-2018;1.341,89;1.359,36;1.241,99;1.280,62;913.177.984;21.939.149.631
15-05-2018;1.430,28;1.456,35;1.323,31;1.343,38;939.358.016;23.011.847.516
14-05-2018;1.489,33;1.501,64;1.353,79;1.431,69;1.158.710.016;24.522.075.801
13-05-2018;1.474,76;1.507,88;1.427,09;1.493,12;921.628.032;25.571.546.400
12-05-2018;1.376,05;1.501,65;1.284,44;1.472,40;1.461.449.984;25.214.058.585
11-05-2018;1.527,49;1.556,64;1.332,58;1.371,74;1.513.260.032;23.487.841.058
10-05-2018;1.646,15;1.669,83;1.523,56;1.528,59;1.070.040.000;26.170.760.102
09-05-2018;1.607,87;1.679,03;1.484,29;1.638,34;1.273.219.968;28.046.926.773
08-05-2018;1.673,07;1.693,35;1.569,44;1.611,94;1.060.739.968;27.592.020.264
07-05-2018;1.766,66;1.781,47;1.590,30;1.655,20;1.407.629.952;28.329.658.360
06-05-2018;1.758,83;1.838,49;1.670,34;1.765,69;1.946.960.000;30.217.488.953
05-05-2018;1.516,74;1.753,11;1.515,07;1.752,10;1.664.400.000;29.981.891.398
04-05-2018;1.501,40;1.538,46;1.466,21;1.517,33;960.185.024;25.961.592.167
03-05-2018;1.459,55;1.536,80;1.454,97;1.511,97;1.282.659.968;25.867.122.953
02-05-2018;1.353,54;1.480,58;1.326,91;1.458,72;1.165.139.968;24.953.703.084
01-05-2018;1.348,64;1.351,28;1.261,60;1.351,28;774.633.024;23.113.272.798
30-04-2018;1.440,96;1.440,96;1.339,36;1.350,05;753.113.984;23.089.803.896
29-04-2018;1.393,99;1.477,31;1.378,01;1.440,30;1.049.449.984;24.630.696.326
28-04-2018;1.337,96;1.418,61;1.334,27;1.396,25;808.801.984;23.874.967.438
27-04-2018;1.422,06;1.422,06;1.337,85;1.337,85;905.273.024;22.873.890.375
26-04-2018;1.289,54;1.420,41;1.250,86;1.420,41;1.281.929.984;24.282.832.217
25-04-2018;1.426,71;1.437,18;1.246,61;1.284,79;1.830.969.984;21.962.007.542
24-04-2018;1.434,01;1.560,94;1.414,11;1.426,42;2.053.920.000;24.380.281.489
23-04-2018;1.194,71;1.443,27;1.194,71;1.432,26;1.934.290.048;24.477.753.078
22-04-2018;1.147,48;1.250,51;1.116,27;1.201,22;968.409.024;20.527.017.940
21-04-2018;1.126,86;1.172,28;1.028,03;1.154,69;1.093.510.016;19.729.798.322
20-04-2018;970,15;1.142,50;947,88;1.128,02;1.006.640.000;19.271.883.294
19-04-2018;890,66;983,58;878,45;968,64;658.164.992;16.547.121.874
18-04-2018;758,25;893,57;757,39;888,91;634.652.992;15.183.404.214
17-04-2018;766,7;784,49;755,38;757,59;331.700.992;12.938.925.099
16-04-2018;781,12;797,88;745,73;766,47;382.080.000;13.089.241.458
15-04-2018;741,91;785,35;741,91;780,83;327.336.000;13.332.965.082
14-04-2018;738,72;760,48;723,22;738,98;267.415.008;12.617.189.720
13-04-2018;735,78;781,13;725,4;738,3;384.095.008;12.604.116.397
12-04-2018;666,39;734,48;658,93;734,48;417.016.992;12.537.506.749
11-04-2018;648,9;666,58;648,9;666,58;252.158.000;11.377.412.411
10-04-2018;637,7;657,01;628,86;649,62;225.054.000;11.086.647.103
09-04-2018;656,09;680,6;627,32;637,03;254.947.008;10.870.684.888
08-04-2018;640,89;659,81;640,89;655,26;198.906.000;11.180.534.840
07-04-2018;611,2;652,59;610,41;640,35;231.143.008;10.925.007.141
06-04-2018;641,86;646,08;603,71;610,43;225.186.000;10.413.379.219
05-04-2018;648,63;655,52;620,1;646,04;243.988.992;11.019.780.660
04-04-2018;710,47;711,27;638,01;649,2;282.960.000;11.072.508.447
03-04-2018;664,15;719,77;660,34;712,88;303.771.008;12.157.350.124
02-04-2018;644,46;686,03;641,43;662,77;282.036.000;11.301.621.765
01-04-2018;688,01;699,05;629,93;643,03;318.440.000;10.963.859.523
31-03-2018;697,62;735,82;683,99;685,25;306.972.000;11.682.407.783
30-03-2018;712,41;766,97;677,53;697,01;416.567.008;11.881.684.759
29-03-2018;861,61;867,31;703,18;714,27;452.656.000;12.174.626.633
28-03-2018;876,36;897,63;852,88;860,52;337.268.000;14.665.917.656
27-03-2018;916,99;926,38;876,33;876,33;339.011.008;14.933.976.474
26-03-2018;967,9;975,61;887;919,25;347.366.016;15.663.618.221
25-03-2018;973,6;991,07;965,52;966,88;237.008.000;16.473.439.913
24-03-2018;1.028,12;1.030,43;982,3;982,3;264.080.000;16.734.538.466
23-03-2018;1.011,83;1.019,43;966,4;1.019,43;303.600.000;17.365.238.220
22-03-2018;1.033,26;1.064,22;992,55;1.011,52;344.283.008;17.228.587.960
21-03-2018;1.066,03;1.082,35;1.016,37;1.033,45;389.291.008;17.600.286.488
20-03-2018;998,17;1.072,42;958,51;1.059,12;503.262.016;18.035.635.329
19-03-2018;942,6;997,28;915,51;994,67;425.419.008;16.936.492.860
18-03-2018;948,28;948,28;851,61;938,11;435.070.016;15.971.701.036
17-03-2018;974,7;1.028,73;930,44;949,78;411.316.000;16.168.562.807
16-03-2018;943,6;1.053,63;902,78;977,03;472.032.992;16.630.711.169
15-03-2018;949,77;954,41;877,1;943,64;374.740.992;16.060.495.993
14-03-2018;1.071,50;1.073,12;924,41;949,47;406.616.000;16.158.029.406
13-03-2018;1.051,07;1.100,07;999,75;1.064,03;458.028.000;18.105.827.088
12-03-2018;1.143,94;1.152,56;1.022,03;1.051,28;425.558.016;17.886.964.137
11-03-2018;1.002,55;1.157,07;973,35;1.145,17;514.167.008;19.482.419.344
10-03-2018;1.071,15;1.087,30;994,19;1.005,93;370.367.008;17.111.762.063
09-03-2018;1.034,69;1.071,65;937,97;1.067,02;510.887.008;18.148.929.842
08-03-2018;1.094,64;1.113,61;1.006,86;1.040,21;446.519.008;17.691.098.520
07-03-2018;1.205,84;1.218,84;1.043,70;1.092,16;455.224.992;18.572.604.012
06-03-2018;1.264,19;1.264,19;1.179,85;1.206,04;401.782.016;20.506.961.442
05-03-2018;1.287,10;1.291,88;1.268,03;1.268,03;350.078.016;21.558.729.053
04-03-2018;1.267,86;1.289,72;1.225,10;1.289,08;367.584.000;21.914.279.433
03-03-2018;1.274,67;1.302,80;1.257,76;1.270,38;371.664.000;21.594.173.316
02-03-2018;1.284,95;1.303,66;1.255,37;1.275,18;421.497.984;21.673.564.991
01-03-2018;1.204,84;1.303,45;1.195,03;1.291,92;482.240.000;21.955.792.824
