XVG;Verge ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,037867;0,040071;0,037349;0,039027;13.037.400;587.529.289
30-05-2018;0,03866;0,040328;0,036826;0,037986;12.066.100;569.703.053
29-05-2018;0,035255;0,040076;0,034956;0,038644;17.419.600;579.570.151
28-05-2018;0,039908;0,042304;0,03465;0,035084;21.407.200;526.188.236
27-05-2018;0,039841;0,040356;0,039089;0,040007;7.324.240;600.025.745
26-05-2018;0,041211;0,042397;0,039821;0,039921;8.345.600;598.734.428
25-05-2018;0,04397;0,04451;0,040338;0,041348;12.210.400;620.139.387
24-05-2018;0,040811;0,044599;0,038948;0,043863;23.068.500;657.854.528
23-05-2018;0,046537;0,047233;0,040058;0,040812;27.259.800;612.094.530
22-05-2018;0,054062;0,054368;0,046633;0,047009;28.075.500;705.031.825
21-05-2018;0,056661;0,056691;0,053094;0,053976;15.323.400;809.524.978
20-05-2018;0,0532;0,05724;0,05261;0,0566;17.384.900;848.882.386
19-05-2018;0,053631;0,054214;0,05237;0,053115;10.290.900;796.510.512
18-05-2018;0,051577;0,053948;0,05017;0,053546;17.086.500;802.872.125
17-05-2018;0,056;0,05724;0,050997;0,051586;19.058.800;773.392.829
16-05-2018;0,056456;0,056951;0,052887;0,05608;24.775.500;840.654.785
15-05-2018;0,059552;0,061164;0,055896;0,056543;25.425.700;847.495.773
14-05-2018;0,06211;0,06211;0,057007;0,059589;34.654.500;893.036.350
13-05-2018;0,058205;0,0628;0,057386;0,062113;30.804.200;930.746.936
12-05-2018;0,058583;0,061383;0,053926;0,05845;35.868.300;875.749.012
11-05-2018;0,069423;0,069603;0,057179;0,0586;81.002.704;877.877.802
10-05-2018;0,075716;0,076765;0,06888;0,06888;54.551.700;1.031.757.732
09-05-2018;0,074095;0,077708;0,069194;0,076098;138.487.008;1.139.724.287
08-05-2018;0,07561;0,078218;0,071267;0,074241;64.021.300;1.111.686.425
07-05-2018;0,075917;0,075969;0,070059;0,075688;46.108.800;1.133.037.053
