STEEM;STEEM;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;2,32;2,43;2,29;2,38;4.965.540;614.224.797
30-05-2018;2,36;2,44;2,24;2,33;5.618.960;600.773.087
29-05-2018;2,14;2,43;2,09;2,35;9.416.800;607.210.232
28-05-2018;2,51;2,54;2,15;2,15;8.751.390;553.878.529
27-05-2018;2,64;2,64;2,5;2,51;8.200.660;646.649.691
26-05-2018;2,72;2,72;2,63;2,64;6.103.690;678.432.330
25-05-2018;2,96;2,96;2,7;2,72;10.373.500;697.940.390
24-05-2018;2,98;3,37;2,8;2,98;67.073.100;763.481.998
23-05-2018;2,93;3,11;2,71;3;16.548.600;768.563.652
22-05-2018;3;3,14;2,92;2,93;12.408.300;750.957.326
21-05-2018;3,1;3,1;2,93;2,99;5.872.500;767.613.382
20-05-2018;3,05;3,13;3;3,09;5.611.300;793.127.970
19-05-2018;3,01;3,21;2,98;3,06;10.027.100;784.158.985
18-05-2018;2,76;3,07;2,69;3,01;12.149.800;771.831.997
17-05-2018;2,85;3,02;2,75;2,76;5.492.020;707.149.387
16-05-2018;2,95;2,95;2,73;2,85;5.622.050;729.979.859
15-05-2018;3,19;3,3;2,94;2,95;8.871.010;754.418.315
14-05-2018;3,14;3,3;2,9;3,2;15.095.500;818.656.112
13-05-2018;2,82;3,18;2,76;3,15;12.549.500;805.488.305
12-05-2018;2,86;2,92;2,57;2,83;7.953.720;723.795.972
11-05-2018;3,23;3,23;2,59;2,86;19.032.200;729.587.971
10-05-2018;3,49;3,49;3,23;3,23;8.157.010;824.362.462
09-05-2018;3,57;3,57;3,31;3,49;8.755.160;889.344.342
08-05-2018;3,56;3,65;3,38;3,59;17.468.700;915.417.874
07-05-2018;3,73;3,73;3,42;3,56;8.037.400;905.680.999
06-05-2018;3,8;3,8;3,58;3,73;7.667.760;949.527.514
05-05-2018;3,96;4,02;3,73;3,81;19.429.800;969.920.192
04-05-2018;4,05;4,05;3,81;3,93;11.238.800;998.367.161
03-05-2018;4,06;4,11;3,87;4,05;17.611.600;1.029.671.933
02-05-2018;3,96;4,07;3,82;4,06;13.520.000;1.030.425.599
01-05-2018;3,9;3,94;3,64;3,93;13.612.600;999.209.489
30-04-2018;4,22;4,22;3,89;3,92;16.366.000;993.732.542
29-04-2018;4,42;4,42;3,95;4,24;39.573.000;1.075.862.627
28-04-2018;4,23;4,49;4,2;4,4;64.765.500;1.117.044.058
27-04-2018;4,08;4,65;3,79;4,32;89.669.696;1.098.473.076
26-04-2018;4,15;4,33;3,48;4,12;119.431.000;1.048.572.366
25-04-2018;3,5;4,42;3,02;4,21;160.916.992;1.070.084.550
24-04-2018;3,26;3,56;3,26;3,52;18.794.900;894.409.236
23-04-2018;3,03;3,31;3,02;3,25;14.983.100;827.524.300
22-04-2018;3,09;3,13;2,98;3,05;7.146.520;775.707.956
21-04-2018;3,28;3,28;2,88;3,09;13.378.400;786.454.122
20-04-2018;3,2;3,29;2,92;3,29;29.875.800;837.322.145
19-04-2018;3,01;3,15;2,89;3,11;24.014.800;792.698.008
18-04-2018;2,87;3,02;2,76;3,02;21.311.900;767.652.317
17-04-2018;2,66;2,8;2,62;2,78;15.131.800;708.952.318
16-04-2018;2,77;2,8;2,55;2,68;7.259.820;682.302.086
15-04-2018;2,62;2,75;2,62;2,75;9.133.700;699.296.466
14-04-2018;2,67;2,77;2,55;2,62;8.865.570;667.095.594
13-04-2018;2,73;3,35;2,58;2,7;83.578.800;690.819.633
12-04-2018;2,01;2,75;1,93;2,72;74.749.400;696.623.220
11-04-2018;1,85;2,01;1,82;1,96;4.439.840;501.935.208
10-04-2018;1,83;1,85;1,76;1,85;2.149.730;473.214.351
09-04-2018;1,91;2,2;1,79;1,83;8.131.340;469.116.151
08-04-2018;1,86;1,93;1,85;1,91;3.208.590;489.502.006
07-04-2018;1,75;2;1,69;1,88;7.151.710;481.509.671
06-04-2018;1,88;1,9;1,67;1,76;9.876.680;450.688.238
05-04-2018;1,91;1,91;1,67;1,75;3.980.430;447.701.160
04-04-2018;2,02;2,17;1,81;1,92;14.419.100;491.441.708
03-04-2018;1,7;2,45;1,62;2,06;59.563.800;528.196.968
02-04-2018;1,44;1,69;1,43;1,69;5.488.810;434.226.527
01-04-2018;1,52;1,54;1,37;1,44;1.046.950;368.908.731
31-03-2018;1,55;1,61;1,5;1,52;1.239.310;390.756.630
