ARDR;Ardor;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,257204;0,262669;0,240294;0,251006;4.153.720;250.754.867
30-05-2018;0,259851;0,267787;0,247405;0,256667;954.344;256.410.203
29-05-2018;0,244798;0,262272;0,242452;0,258478;1.684.620;258.219.391
28-05-2018;0,27385;0,27385;0,244562;0,244911;1.916.970;244.665.965
27-05-2018;0,265548;0,292366;0,264829;0,274336;3.591.520;274.061.525
26-05-2018;0,251663;0,284902;0,248804;0,265397;2.216.900;265.131.469
25-05-2018;0,260417;0,263505;0,249277;0,252436;985.440;252.183.437
24-05-2018;0,254388;0,263615;0,24114;0,259525;1.672.600;259.265.344
23-05-2018;0,291432;0,294519;0,250125;0,254104;1.919.690;253.849.768
22-05-2018;0,29441;0,305998;0,288529;0,292623;2.167.880;292.330.229
21-05-2018;0,306982;0,307325;0,291401;0,29365;1.364.410;293.356.202
20-05-2018;0,297104;0,309666;0,294907;0,306382;1.257.910;306.075.463
19-05-2018;0,302105;0,306094;0,295901;0,297769;1.019.400;297.471.081
18-05-2018;0,29341;0,305566;0,286218;0,302203;1.835.130;301.900.644
17-05-2018;0,3001;0,309394;0,289415;0,29322;1.391.610;292.926.632
16-05-2018;0,314422;0,31584;0,293131;0,300507;1.860.090;300.206.341
15-05-2018;0,3341;0,342081;0,312777;0,314423;1.874.510;314.108.418
14-05-2018;0,32729;0,34127;0,305909;0,334071;4.222.310;333.736.760
13-05-2018;0,308823;0,32974;0,300831;0,325908;2.022.120;325.581.927
12-05-2018;0,307209;0,309303;0,289516;0,30822;4.095.700;307.911.624
11-05-2018;0,347694;0,347694;0,29089;0,296751;4.031.110;296.454.099
10-05-2018;0,366376;0,370242;0,345244;0,346293;2.562.180;345.946.532
09-05-2018;0,368631;0,368631;0,34075;0,36495;2.601.640;364.584.866
08-05-2018;0,376824;0,383538;0,360114;0,369278;2.534.000;368.908.536
07-05-2018;0,401607;0,402022;0,366597;0,37345;2.924.000;373.076.361
06-05-2018;0,422889;0,426253;0,390788;0,400904;3.074.080;400.502.894
05-05-2018;0,430676;0,437962;0,420651;0,423043;2.826.790;422.619.743
04-05-2018;0,448147;0,448147;0,421102;0,431456;3.929.380;431.024.326
03-05-2018;0,422815;0,449774;0,420856;0,4495;13.652.800;449.050.273
02-05-2018;0,400023;0,431218;0,390425;0,423796;5.799.820;423.371.990
01-05-2018;0,400712;0,410214;0,376197;0,400171;9.689.420;399.770.627
30-04-2018;0,407484;0,430986;0,392287;0,399878;10.153.800;399.477.920
29-04-2018;0,401327;0,41458;0,379985;0,410483;7.589.620;410.072.310
28-04-2018;0,383153;0,401768;0,383153;0,401768;4.921.180;401.366.029
27-04-2018;0,397087;0,401176;0,380252;0,383617;6.006.360;383.233.189
26-04-2018;0,379193;0,397798;0,354358;0,397735;6.454.300;397.337.064
25-04-2018;0,41838;0,475781;0,359495;0,371775;19.910.900;371.403.037
24-04-2018;0,396849;0,429047;0,395031;0,4218;8.877.550;421.377.987
23-04-2018;0,38766;0,405496;0,38766;0,397857;5.384.570;397.458.942
22-04-2018;0,376553;0,396807;0,362676;0,387445;6.312.360;387.057.359
21-04-2018;0,400677;0,400677;0,354329;0,376736;8.251.410;376.359.074
20-04-2018;0,384808;0,399604;0,357191;0,399585;9.259.680;399.185.213
19-04-2018;0,359497;0,394638;0,358026;0,386309;9.551.300;385.922.496
18-04-2018;0,330909;0,362038;0,330837;0,360313;8.235.250;359.952.505
17-04-2018;0,313248;0,339362;0,307747;0,330463;9.860.440;330.132.370
16-04-2018;0,320712;0,323597;0,296261;0,312442;3.412.810;312.129.400
15-04-2018;0,298726;0,323974;0,29647;0,319736;3.342.860;319.416.103
14-04-2018;0,286946;0,304234;0,28658;0,298274;3.943.980;297.975.575
13-04-2018;0,289819;0,305444;0,281654;0,287802;6.047.280;287.514.053
12-04-2018;0,262899;0,293309;0,251434;0,29025;6.942.850;289.959.603
11-04-2018;0,254463;0,264999;0,253043;0,263369;1.887.600;263.105.498
10-04-2018;0,242429;0,2612;0,238802;0,254466;2.417.880;254.211.405
09-04-2018;0,25334;0,260233;0,237118;0,242872;1.746.890;242.629.005
08-04-2018;0,242737;0,253328;0,242422;0,252715;1.807.170;252.462.157
07-04-2018;0,239041;0,247192;0,236121;0,241708;1.975.930;241.466.170
06-04-2018;0,261417;0,261417;0,230902;0,239052;2.134.530;238.812.827
05-04-2018;0,298041;0,298041;0,239506;0,258018;11.211.800;257.759.852
04-04-2018;0,271864;0,368799;0,268988;0,299533;57.157.100;299.233.316
03-04-2018;0,238085;0,287124;0,232961;0,272171;13.481.800;271.898.692
02-04-2018;0,214475;0,245928;0,21153;0,237127;4.129.570;236.889.753
01-04-2018;0,226268;0,22904;0,204489;0,213824;1.148.490;213.610.068
31-03-2018;0,223087;0,234098;0,222535;0,225426;989.910;225.200.460
30-03-2018;0,228194;0,234164;0,212442;0,223017;1.240.030;222.793.870
29-03-2018;0,263667;0,263667;0,22276;0,228398;1.965.340;228.169.487
28-03-2018;0,255502;0,285642;0,254486;0,260902;5.895.450;260.640.966
27-03-2018;0,266431;0,266985;0,248397;0,255593;2.294.850;255.337.278
26-03-2018;0,28306;0,28473;0,253221;0,265882;2.540.960;265.615.984
25-03-2018;0,275257;0,344819;0,27089;0,283188;2.790.040;282.904.669
24-03-2018;0,282838;0,294414;0,274945;0,276291;3.808.980;276.014.569
23-03-2018;0,304313;0,304313;0,270098;0,281429;2.952.850;281.147.429
