DENT;DENT;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,006913;0,007261;0,006679;0,006887;2.028.500;73.105.557
30-05-2018;0,007265;0,007709;0,006686;0,006911;2.429.340;73.363.071
29-05-2018;0,006171;0,007943;0,006057;0,00726;3.279.690;77.058.919
28-05-2018;0,006622;0,006687;0,006077;0,006182;1.690.240;65.622.788
27-05-2018;0,007067;0,007067;0,006608;0,006654;1.390.930;70.633.061
26-05-2018;0,007403;0,007545;0,006981;0,007063;906.636;74.972.375
25-05-2018;0,007836;0,007843;0,007285;0,007409;1.637.290;78.644.870
24-05-2018;0,008096;0,008571;0,007573;0,007875;2.538.420;83.591.030
23-05-2018;0,008451;0,008601;0,007708;0,008181;3.401.910;86.836.918
22-05-2018;0,009024;0,009451;0,008436;0,008518;4.141.520;90.419.931
21-05-2018;0,00824;0,00974;0,008061;0,009062;5.791.130;96.195.634
20-05-2018;0,008276;0,008341;0,007967;0,00823;1.083.910;87.362.136
19-05-2018;0,007962;0,008589;0,007581;0,00827;2.346.820;87.783.224
18-05-2018;0,007197;0,007967;0,006913;0,007965;2.538.120;84.544.024
17-05-2018;0,008045;0,008121;0,007126;0,007222;2.558.600;76.662.776
16-05-2018;0,008244;0,008386;0,007511;0,00804;3.603.250;85.347.455
15-05-2018;0,008678;0,008989;0,008076;0,008208;7.413.010;87.125.533
14-05-2018;0,008813;0,008885;0,008151;0,008698;6.153.010;92.326.979
13-05-2018;0,008474;0,009097;0,008286;0,00885;4.633.730;93.935.539
12-05-2018;0,008774;0,008804;0,00787;0,008448;4.235.460;89.672.864
11-05-2018;0,010291;0,010291;0,00863;0,008768;5.782.090;93.068.420
10-05-2018;0,010772;0,010871;0,010032;0,01025;7.254.450;108.804.484
09-05-2018;0,011149;0,011168;0,010662;0,010756;5.035.090;114.170.246
08-05-2018;0,011315;0,011547;0,0107;0,011186;4.792.040;118.735.655
07-05-2018;0,012102;0,01212;0,0107;0,011273;4.617.050;119.654.893
06-05-2018;0,01293;0,014436;0,012032;0,012119;9.138.210;128.645.595
05-05-2018;0,0113;0,013922;0,011101;0,012678;9.570.730;134.571.817
04-05-2018;0,011998;0,011998;0,011163;0,011216;2.758.620;119.058.343
03-05-2018;0,011341;0,012269;0,010777;0,011934;4.531.760;126.675.496
02-05-2018;0,010231;0,011406;0,009998;0,011309;5.082.540;120.042.332
01-05-2018;0,010669;0,010669;0,009951;0,010181;2.697.620;108.073.127
30-04-2018;0,011344;0,01138;0,010531;0,010644;3.628.390;112.985.639
29-04-2018;0,011315;0,012246;0,010431;0,011318;5.031.780;120.134.680
28-04-2018;0,011209;0,011516;0,011002;0,011266;3.117.000;119.583.774
27-04-2018;0,01203;0,012758;0,01126;0,011263;3.706.050;119.554.053
26-04-2018;0,01063;0,011964;0,010306;0,011964;4.038.340;126.999.246
25-04-2018;0,013543;0,013543;0,010387;0,010665;7.507.260;113.202.180
24-04-2018;0,013932;0,014663;0,012779;0,013608;7.185.900;144.445.667
23-04-2018;0,014105;0,017167;0,012999;0,013889;6.589.310;147.424.169
22-04-2018;0,011749;0,014813;0,011568;0,014078;5.571.170;149.434.605
21-04-2018;0,011096;0,012048;0,010927;0,011798;3.756.390;125.232.950
20-04-2018;0,010151;0,011096;0,009607;0,011043;3.945.630;117.217.744
19-04-2018;0,009804;0,010185;0,009655;0,010104;2.370.140;107.256.852
18-04-2018;0,009736;0,010165;0,009668;0,009826;1.259.060;104.305.842
17-04-2018;0,009928;0,010268;0,009473;0,009758;1.746.050;103.575.441
16-04-2018;0,010842;0,011021;0,009766;0,009927;1.135.930;105.371.777
15-04-2018;0,010654;0,011166;0,010606;0,010846;970.544;115.127.697
14-04-2018;0,010836;0,011131;0,010494;0,010626;869.242;112.791.388
13-04-2018;0,010922;0,011525;0,010545;0,010896;1.556.620;115.660.558
12-04-2018;0,01008;0,011075;0,009411;0,010948;2.568.880;116.213.587
11-04-2018;0,009669;0,010341;0,009623;0,010009;1.432.110;106.246.327
10-04-2018;0,00985;0,010132;0,009659;0,009659;840.486;102.528.613
09-04-2018;0,010501;0,011198;0,009705;0,009814;1.457.660;104.172.415
08-04-2018;0,009724;0,010758;0,009713;0,010461;995.637;111.041.014
07-04-2018;0,00946;0,009942;0,009447;0,009714;449.874;103.112.637
06-04-2018;0,009948;0,01005;0,009326;0,009439;1.011.560;100.195.701
05-04-2018;0,010817;0,010862;0,009503;0,009923;1.723.350;105.329.424
04-04-2018;0,011641;0,011661;0,010723;0,010749;1.462.640;114.100.189
03-04-2018;0,010572;0,011684;0,009906;0,011684;1.328.600;124.018.621
02-04-2018;0,009023;0,012522;0,008865;0,010541;3.232.190;111.891.257
01-04-2018;0,009532;0,009728;0,008487;0,00897;499.125;95.210.691
31-03-2018;0,008925;0,00982;0,008925;0,009515;523.891;100.996.797
30-03-2018;0,009222;0,009453;0,008445;0,008941;1.327.260;94.909.868
29-03-2018;0,010604;0,010659;0,009119;0,009247;1.114.200;98.156.287
28-03-2018;0,010187;0,011188;0,010046;0,010587;1.104.600;112.377.413
27-03-2018;0,010877;0,011021;0,009989;0,010209;865.701;108.366.095
26-03-2018;0,011687;0,012288;0,010115;0,010923;1.411.540;115.940.788
25-03-2018;0,011186;0,012902;0,010694;0,011633;1.511.000;123.476.207
24-03-2018;0,010588;0,011953;0,010112;0,01159;1.801.400;123.028.264
23-03-2018;0,009829;0,010438;0,00876;0,010438;1.474.080;110.797.936
22-03-2018;0,01091;0,011243;0,008856;0,009833;1.075.860;104.370.911
21-03-2018;0,010639;0,011466;0,010411;0,010892;1.118.990;115.612.792
20-03-2018;0,01124;0,01214;0,009688;0,010592;1.775.840;112.434.733
19-03-2018;0,008999;0,011039;0,008661;0,011039;1.270.370;117.175.285
18-03-2018;0,00968;0,00968;0,006306;0,009092;2.327.640;96.505.161
