THETA;THETA;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,288957;0,288957;0,227721;0,24551;77.200.400;156.781.726
30-05-2018;0,194985;0,293211;0,194985;0,28981;86.228.096;185.071.533
29-05-2018;0,161675;0,205384;0,161675;0,194991;35.007.500;124.520.490
28-05-2018;0,162615;0,173841;0,15859;0,16223;14.102.400;103.599.444
27-05-2018;0,165299;0,171123;0,158915;0,163137;11.973.200;102.547.279
26-05-2018;0,168852;0,170868;0,16503;0,165432;10.354.800;103.989.907
25-05-2018;0,176774;0,17788;0,166018;0,168955;5.312.460;106.204.451
24-05-2018;0,173223;0,186369;0,158811;0,177235;8.577.000;111.409.226
23-05-2018;0,201327;0,202497;0,163493;0,174161;8.382.260;109.476.922
22-05-2018;0,22116;0,225335;0,200469;0,201776;5.936.270;126.835.602
21-05-2018;0,229131;0,230944;0,208119;0,221771;7.583.800;139.404.381
20-05-2018;0,227647;0,234285;0,219096;0,227747;5.522.400;143.160.871
19-05-2018;0,233208;0,237912;0,222867;0,227625;8.487.090;143.084.182
18-05-2018;0,208376;0,234276;0,198463;0,233157;9.054.880;146.561.576
17-05-2018;0,240246;0,240947;0,20489;0,208119;10.257.000;130.822.787
16-05-2018;0,234635;0,248094;0,216854;0,24058;18.379.300;151.227.645
15-05-2018;0,23575;0,245458;0,218552;0,233933;16.822.800;147.049.367
14-05-2018;0,191347;0,235929;0,179477;0,235929;15.109.100;148.304.044
13-05-2018;0,186315;0,195285;0,173751;0,191189;8.077.280;120.180.656
12-05-2018;0,179415;0,185778;0,157182;0,185778;10.638.200;116.779.322
11-05-2018;0,21704;0,21704;0,170581;0,179868;11.757.400;113.064.320
10-05-2018;0,217579;0,233493;0,21157;0,217817;15.202.300;136.918.912
09-05-2018;0,198916;0,214517;0,180735;0,214517;9.916.050;134.844.545
08-05-2018;0,210024;0,224446;0,187709;0,200235;15.782.200;125.866.936
07-05-2018;0,164657;0,209514;0,152662;0,209514;20.625.400;131.699.679
06-05-2018;0,168046;0,168046;0,151387;0,164223;7.593.180;103.229.934
05-05-2018;0,176099;0,17895;0,166243;0,166655;7.430.260;104.758.680
04-05-2018;0,173961;0,181143;0,168867;0,175959;9.149.110;110.607.137
03-05-2018;0,146772;0,182187;0,146772;0,17448;14.623.700;109.677.444
02-05-2018;0,14111;0,149644;0,139737;0,146728;6.558.440;92.232.645
01-05-2018;0,142865;0,142959;0,133871;0,141365;8.237.290;86.686.639
30-04-2018;0,148042;0,150877;0,141605;0,142906;7.770.670;87.631.597
29-04-2018;0,1437;0,153899;0,141431;0,148275;10.438.000;90.923.930
28-04-2018;0,132752;0,146156;0,131798;0,14368;8.537.370;88.106.223
27-04-2018;0,146692;0,146692;0,134419;0,134419;7.752.820;82.427.272
26-04-2018;0,130433;0,147618;0,126131;0,146695;9.966.260;89.955.056
25-04-2018;0,159202;0,159202;0,125768;0,129745;12.941.700;79.561.121
24-04-2018;0,148706;0,161335;0,147647;0,159576;14.929.100;97.853.833
23-04-2018;0,151343;0,156844;0,145545;0,149443;11.423.600;91.640.161
22-04-2018;0,145757;0,163585;0,142653;0,151485;14.291.300;92.892.339
21-04-2018;0,14462;0,149003;0,13063;0,145424;14.194.500;89.175.664
20-04-2018;0,137462;0,146216;0,131327;0,14459;11.231.000;88.664.246
19-04-2018;0,123999;0,144589;0,123656;0,136813;12.325.100;83.895.300
18-04-2018;0,116528;0,124557;0,116445;0,123884;8.426.960;75.967.089
17-04-2018;0,117416;0,121641;0,114065;0,116565;9.419.270;71.478.994
16-04-2018;0,124872;0,127099;0,111821;0,117285;11.060.200;71.920.507
15-04-2018;0,121236;0,126946;0,121236;0,124803;8.294.150;76.530.630
14-04-2018;0,124428;0,128207;0,116684;0,121116;9.716.410;74.269.720
13-04-2018;0,126065;0,136605;0,122085;0,125122;14.384.300;76.726.245
12-04-2018;0,113149;0,126124;0,107844;0,125129;17.461.200;73.586.329
11-04-2018;0,104374;0,11549;0,104374;0,113103;10.436.800;66.514.034
10-04-2018;0,105893;0,108582;0,101303;0,104376;7.718.280;61.381.828
09-04-2018;0,104873;0,109135;0,100293;0,105951;8.026.430;62.308.059
08-04-2018;0,103862;0,108032;0,103683;0,104873;7.083.290;61.674.105
07-04-2018;0,100571;0,107833;0,100571;0,103752;7.640.780;61.014.863
