ELF;aelf ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;1,01;1,08;0,998447;1,03;34.958.000;258.515.000
30-05-2018;0,990012;1,02;0,946413;1,02;33.128.100;254.132.500
29-05-2018;0,887839;1,02;0,874404;0,985599;39.317.400;246.399.750
28-05-2018;1,01;1,05;0,887874;0,893659;36.406.500;223.414.750
27-05-2018;1,03;1,03;0,995972;1,02;29.528.500;254.295.000
26-05-2018;1,03;1,07;1,02;1,02;25.735.600;255.962.500
25-05-2018;1,06;1,08;1,01;1,02;33.956.600;256.015.000
24-05-2018;0,988821;1,08;0,966351;1,07;53.145.200;266.250.000
23-05-2018;1,16;1,19;0,986201;1;50.302.000;250.780.000
22-05-2018;1,29;1,29;1,15;1,17;39.102.600;292.497.500
21-05-2018;1,36;1,37;1,25;1,29;51.898.800;322.797.500
20-05-2018;1,32;1,41;1,31;1,36;64.625.200;340.517.500
19-05-2018;1,18;1,39;1,15;1,32;88.040.400;330.150.000
18-05-2018;1,17;1,21;1,12;1,18;54.364.800;295.637.500
17-05-2018;1,28;1,34;1,16;1,17;45.943.800;292.942.500
16-05-2018;1,36;1,39;1,25;1,28;55.270.300;319.995.000
15-05-2018;1,39;1,58;1,35;1,36;59.387.300;341.040.000
14-05-2018;1,44;1,44;1,3;1,39;45.920.300;348.455.000
13-05-2018;1,31;1,47;1,28;1,43;46.982.900;358.402.500
12-05-2018;1,39;1,44;1,21;1,31;85.852.600;326.695.000
11-05-2018;1,59;1,73;1,39;1,39;100.126.000;348.145.000
10-05-2018;1,58;1,81;1,56;1,6;77.173.696;400.132.500
09-05-2018;1,55;1,64;1,43;1,58;58.301.800;394.757.500
08-05-2018;1,61;1,64;1,51;1,55;45.552.500;387.722.500
07-05-2018;1,71;1,71;1,52;1,6;53.978.000;399.802.500
06-05-2018;1,8;1,8;1,56;1,71;61.683.200;426.272.500
05-05-2018;1,72;1,83;1,69;1,81;74.476.896;451.512.500
04-05-2018;1,82;1,83;1,67;1,72;80.963.600;430.720.000
03-05-2018;1,98;1,99;1,8;1,83;103.411.000;458.402.500
02-05-2018;2,07;2,08;1,92;1,98;131.963.000;496.195.000
01-05-2018;1,91;2,1;1,66;2,07;222.883.008;518.712.500
30-04-2018;1,83;2,12;1,83;1,9;278.496.992;474.567.500
29-04-2018;1,51;1,82;1,49;1,82;194.350.000;454.967.500
28-04-2018;1,13;1,57;1,12;1,52;131.744.000;379.225.000
27-04-2018;1,14;1,18;1,11;1,14;40.663.300;285.230.000
26-04-2018;1,02;1,14;0,981134;1,13;57.091.300;283.737.500
25-04-2018;1,2;1,2;0,992587;1,01;57.751.100;252.722.500
24-04-2018;1,15;1,24;1,15;1,2;82.389.600;301.085.000
23-04-2018;1,16;1,18;1,15;1,15;56.586.100;287.795.000
22-04-2018;1,08;1,26;1,06;1,16;80.399.800;289.097.500
21-04-2018;1,17;1,17;1;1,08;57.858.700;269.395.000
20-04-2018;1,14;1,18;1,09;1,17;66.041.200;291.997.500
19-04-2018;1,11;1,17;1,07;1,14;101.685.000;284.840.000
18-04-2018;0,999255;1,08;0,997427;1,07;69.573.400;268.100.000
17-04-2018;1,03;1,05;0,98723;1;60.370.300;250.167.500
16-04-2018;1;1,03;0,979117;1,02;69.415.200;255.782.500
15-04-2018;0,962629;1,02;0,962629;1,01;54.371.700;251.957.500
14-04-2018;0,992818;1,03;0,942066;0,962054;56.417.600;240.513.500
13-04-2018;1,05;1,16;0,988126;1,01;77.411.200;251.380.000
12-04-2018;0,89546;1,23;0,892582;1,04;180.392.000;261.220.000
11-04-2018;0,831055;0,923656;0,785815;0,895058;59.353.800;223.764.500
10-04-2018;0,588799;0,877466;0,586568;0,833638;84.339.104;208.409.500
