MAID; MaidSafeCoin;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,431949;0,473916;0,425609;0,464251;1.949.630;210.097.910
30-05-2018;0,423488;0,461185;0,411324;0,431736;1.424.480;195.383.168
29-05-2018;0,404824;0,43903;0,394045;0,425817;1.918.540;192.704.510
28-05-2018;0,451436;0,457082;0,399651;0,404956;2.658.870;183.263.815
27-05-2018;0,438031;0,478005;0,423808;0,448854;3.393.650;203.129.960
26-05-2018;0,494385;0,495041;0,438563;0,438563;3.540.290;198.472.743
25-05-2018;0,431261;0,503412;0,423458;0,497899;5.247.350;225.325.393
24-05-2018;0,397792;0,448129;0,364967;0,427942;4.393.130;193.666.184
23-05-2018;0,416853;0,426607;0,361986;0,401439;3.711.280;181.672.188
22-05-2018;0,372408;0,441427;0,367518;0,416505;4.132.560;188.490.342
21-05-2018;0,392294;0,396542;0,366225;0,3753;1.874.100;169.842.920
20-05-2018;0,356199;0,397163;0,35009;0,396025;1.704.050;179.222.069
19-05-2018;0,349775;0,36175;0,345879;0,356114;1.211.540;161.160.250
18-05-2018;0,325639;0,360981;0,31531;0,350047;1.256.370;158.414.614
17-05-2018;0,333385;0,3522;0,323609;0,328518;986.146;148.671.613
16-05-2018;0,376874;0,381304;0,332153;0,3331;1.603.320;150.745.208
15-05-2018;0,384658;0,398903;0,374855;0,376312;864.442;170.300.903
14-05-2018;0,379313;0,402629;0,357402;0,386133;1.438.210;174.745.421
13-05-2018;0,363176;0,385532;0,358937;0,377691;935.982;170.924.973
12-05-2018;0,344664;0,384485;0,336374;0,359938;1.764.000;162.890.810
11-05-2018;0,368765;0,376722;0,334492;0,34568;1.111.480;156.438.318
10-05-2018;0,347038;0,399975;0,345633;0,360715;2.046.460;163.242.443
09-05-2018;0,351186;0,357953;0,335022;0,345351;814.060;156.289.428
08-05-2018;0,34773;0,358655;0,338955;0,348124;918.647;157.544.356
07-05-2018;0,36634;0,366565;0,344187;0,346994;904.033;157.032.972
06-05-2018;0,374133;0,383587;0,359378;0,366262;618.605;165.752.752
05-05-2018;0,383299;0,398235;0,370874;0,378201;1.528.820;171.155.775
04-05-2018;0,393167;0,39393;0,379939;0,383294;1.235.960;173.460.624
03-05-2018;0,369538;0,396591;0,369006;0,393293;1.552.850;177.985.696
02-05-2018;0,384753;0,390219;0,362829;0,374857;1.977.560;169.642.440
01-05-2018;0,380511;0,398016;0,363287;0,385335;1.563.430;174.384.284
30-04-2018;0,378833;0,392654;0,366041;0,380525;1.995.430;172.207.507
29-04-2018;0,379651;0,389998;0,36125;0,376513;861.961;170.391.866
28-04-2018;0,361884;0,385045;0,352782;0,378138;1.061.320;171.127.264
27-04-2018;0,382609;0,39542;0,362948;0,362948;1.518.430;164.252.993
26-04-2018;0,357761;0,383257;0,3473;0,383257;1.613.630;173.443.880
25-04-2018;0,407685;0,407685;0,348738;0,354744;1.664.090;160.540.253
24-04-2018;0,377731;0,412368;0,376931;0,410478;1.496.710;185.762.809
23-04-2018;0,369736;0,38301;0,366036;0,377678;1.364.110;170.919.090
22-04-2018;0,366564;0,379359;0,359607;0,370335;1.290.870;167.595.997
21-04-2018;0,388202;0,392296;0,353774;0,37178;1.681.090;168.249.936
20-04-2018;0,370188;0,395657;0,36611;0,389702;1.922.600;176.360.580
19-04-2018;0,362325;0,372539;0,351806;0,369863;1.414.670;167.382.393
18-04-2018;0,340882;0,367836;0,340452;0,362052;1.392.930;163.847.506
17-04-2018;0,333114;0,357267;0,329779;0,340489;933.180;154.089.118
16-04-2018;0,355561;0,360547;0,32091;0,332946;1.298.290;150.675.515
15-04-2018;0,329699;0,371828;0,328977;0,356268;1.388.220;161.229.943
14-04-2018;0,323695;0,340623;0,317807;0,32935;1.225.550;149.048.137
13-04-2018;0,319489;0,351555;0,312461;0,323697;1.719.750;146.489.858
12-04-2018;0,287719;0,327046;0,274487;0,319086;1.544.360;144.403.139
11-04-2018;0,277126;0,289404;0,268506;0,288011;1.255.130;130.340.073
10-04-2018;0,263035;0,284803;0,254398;0,27686;1.119.270;125.293.661
09-04-2018;0,275397;0,290271;0,255274;0,263436;998.543;119.218.597
08-04-2018;0,264783;0,285009;0,260903;0,276199;1.359.490;124.994.524
07-04-2018;0,241908;0,268049;0,241908;0,263193;930.233;119.108.627
06-04-2018;0,240762;0,252989;0,232004;0,240424;816.020;108.804.461
05-04-2018;0,241246;0,2544;0,231669;0,241993;982.558;109.514.516
04-04-2018;0,272201;0,277542;0,239771;0,2424;867.025;109.698.705
03-04-2018;0,247884;0,276341;0,245521;0,272016;942.349;123.101.497
02-04-2018;0,237687;0,256205;0,235958;0,247708;880.205;112.100.853
01-04-2018;0,229428;0,239991;0,218072;0,236458;418.971;107.009.638
31-03-2018;0,227692;0,240733;0,223409;0,229435;600.398;103.831.363
30-03-2018;0,23046;0,240826;0,218709;0,227469;657.324;102.941.645
29-03-2018;0,26791;0,27492;0,225721;0,231239;886.388;104.647.767
