ENJ;Enjin Coin;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,104901;0,109749;0,103941;0,107863;3.939.160;81.565.195
30-05-2018;0,105081;0,110637;0,102151;0,105104;3.904.670;79.478.860
29-05-2018;0,097954;0,106123;0,095851;0,104487;2.271.550;79.012.289
28-05-2018;0,111433;0,111706;0,098041;0,098094;1.789.600;74.177.951
27-05-2018;0,113737;0,114495;0,110126;0,111467;1.590.370;84.290.513
26-05-2018;0,114411;0,118206;0,112954;0,11365;2.256.880;85.941.282
25-05-2018;0,119531;0,121145;0,11277;0,114312;1.886.490;86.441.881
24-05-2018;0,115276;0,122965;0,110111;0,119255;2.938.620;90.179.741
23-05-2018;0,130773;0,131999;0,113433;0,115369;3.189.360;87.241.177
22-05-2018;0,141271;0,14161;0,130228;0,131381;2.758.830;99.349.331
21-05-2018;0,14214;0,144529;0,139667;0,141019;3.025.910;106.637.515
20-05-2018;0,13757;0,143048;0,137013;0,142141;2.588.050;107.485.963
19-05-2018;0,134501;0,141085;0,133183;0,137536;4.396.340;104.003.697
18-05-2018;0,128213;0,134571;0,12619;0,134567;2.578.400;101.758.561
17-05-2018;0,139026;0,14067;0,127555;0,12825;3.066.230;96.981.693
16-05-2018;0,140761;0,141209;0,130207;0,138952;3.647.980;105.074.465
15-05-2018;0,142688;0,147993;0,135414;0,140109;3.917.410;105.949.380
14-05-2018;0,147378;0,148923;0,134358;0,143108;6.084.330;108.217.201
13-05-2018;0,138359;0,152021;0,136044;0,146134;3.418.910;110.505.440
12-05-2018;0,136162;0,140715;0,126994;0,1385;3.590.950;104.732.666
11-05-2018;0,153817;0,155151;0,13371;0,136778;6.914.320;103.430.503
10-05-2018;0,149284;0,161974;0,149284;0,154784;9.838.960;117.046.505
09-05-2018;0,151191;0,154835;0,143947;0,14964;9.086.260;113.156.651
08-05-2018;0,157089;0,161171;0,146977;0,151814;12.547.400;114.800.614
07-05-2018;0,155658;0,159507;0,143288;0,15655;13.461.700;118.381.941
06-05-2018;0,164693;0,165622;0,150708;0,155367;15.596.600;117.487.366
05-05-2018;0,171894;0,178739;0,161634;0,164762;15.092.500;124.591.794
04-05-2018;0,169215;0,17801;0,166068;0,172272;15.483.700;130.270.800
03-05-2018;0,158659;0,175681;0,157569;0,169431;18.485.700;128.122.457
02-05-2018;0,156545;0,159971;0,154544;0,158659;13.289.800;119.976.751
01-05-2018;0,161231;0,161309;0,150819;0,156602;13.579.200;118.421.263
30-04-2018;0,162167;0,168523;0,160106;0,16102;17.225.100;121.762.122
29-04-2018;0,154383;0,161138;0,148348;0,161138;13.728.600;121.851.353
28-04-2018;0,145134;0,158689;0,144961;0,154488;11.809.400;116.822.672
27-04-2018;0,149883;0,151963;0,144451;0,145695;13.665.200;110.173.471
26-04-2018;0,137415;0,150431;0,132541;0,150046;11.975.300;113.463.665
25-04-2018;0,157474;0,158669;0,132708;0,13589;11.210.000;102.759.004
24-04-2018;0,145277;0,162629;0,144954;0,158872;14.771.600;120.137.820
23-04-2018;0,13781;0,145379;0,137577;0,145063;12.092.700;109.695.558
22-04-2018;0,132811;0,140645;0,130663;0,13825;11.496.700;104.543.618
21-04-2018;0,137632;0,137821;0,125467;0,132962;10.717.700;100.544.872
20-04-2018;0,131488;0,139229;0,13019;0,137563;13.039.000;104.024.114
19-04-2018;0,127368;0,13131;0,125925;0,131132;11.711.500;99.161.040
18-04-2018;0,116945;0,128589;0,116802;0,127413;12.631.400;96.348.759
17-04-2018;0,113905;0,122684;0,113652;0,117003;10.685.900;88.476.795
16-04-2018;0,120284;0,121167;0,112313;0,113925;11.543.600;86.149.235
15-04-2018;0,111619;0,120766;0,111619;0,120479;10.005.900;91.105.320
14-04-2018;0,110479;0,115344;0,108954;0,111605;7.363.080;84.394.868
13-04-2018;0,11051;0,117071;0,107868;0,110857;11.639.700;83.829.236
12-04-2018;0,099185;0,111478;0,096864;0,110406;11.517.300;83.488.193
11-04-2018;0,095653;0,099451;0,095505;0,099386;9.834.500;75.155.103
10-04-2018;0,097733;0,098471;0,093733;0,095695;10.471.600;72.363.542
09-04-2018;0,109861;0,112416;0,092898;0,097381;12.284.800;73.638.710
08-04-2018;0,095235;0,111311;0,095235;0,109663;8.750.230;82.926.342
07-04-2018;0,095242;0,10527;0,093975;0,095238;9.788.970;72.018.038
06-04-2018;0,089367;0,099087;0,088397;0,095106;13.253.500;71.918.145
05-04-2018;0,090987;0,091643;0,086427;0,089762;6.683.020;67.877.203
04-04-2018;0,105243;0,105243;0,089871;0,090638;6.507.920;68.539.855
03-04-2018;0,097109;0,10524;0,09589;0,105107;7.605.680;79.481.129
02-04-2018;0,094939;0,099151;0,093251;0,096797;6.666.360;73.197.244
01-04-2018;0,100793;0,101694;0,088413;0,094542;6.418.430;71.492.182
31-03-2018;0,103183;0,107285;0,098847;0,100705;7.285.940;76.152.369
30-03-2018;0,10412;0,109146;0,094725;0,103313;7.630.710;78.124.519
29-03-2018;0,126481;0,128001;0,10258;0,104485;7.897.740;79.010.777
28-03-2018;0,125887;0,132154;0,12416;0,126954;9.838.400;96.001.667
27-03-2018;0,133176;0,135224;0,118503;0,125464;12.628.100;94.874.940
26-03-2018;0,129424;0,146885;0,116394;0,132562;19.195.700;100.242.395
25-03-2018;0,121704;0,138707;0,118879;0,129758;19.989.200;98.122.031
24-03-2018;0,115701;0,128907;0,114217;0,123532;8.700.480;93.413.976
23-03-2018;0,11546;0,116377;0,103236;0,11451;7.860.420;86.591.607
22-03-2018;0,123639;0,127619;0,109663;0,115305;7.688.720;87.192.780
21-03-2018;0,118375;0,135132;0,118186;0,123481;10.266.500;93.375.410
20-03-2018;0,112233;0,120383;0,103298;0,118404;7.246.980;89.536.221
19-03-2018;0,104776;0,112059;0,100379;0,111018;7.563.950;83.950.983
18-03-2018;0,103846;0,107856;0,084666;0,105059;7.005.110;79.444.832
17-03-2018;0,120792;0,121549;0,102005;0,104354;7.872.300;78.911.716
16-03-2018;0,106482;0,127782;0,099981;0,121641;8.139.970;91.984.016
15-03-2018;0,113939;0,115039;0,092232;0,107006;5.548.700;80.917.138
14-03-2018;0,13353;0,13577;0,111197;0,114196;2.197.250;86.354.163
13-03-2018;0,135378;0,143743;0,132108;0,133548;2.589.990;100.988.001
12-03-2018;0,147738;0,154008;0,132331;0,136009;3.018.830;102.848.991
11-03-2018;0,127374;0,151735;0,123628;0,148189;3.022.580;112.059.416
10-03-2018;0,137186;0,144514;0,127037;0,127963;2.474.220;96.764.665
09-03-2018;0,130568;0,138161;0,115459;0,136847;3.863.150;103.482.680
08-03-2018;0,15112;0,157974;0,130104;0,131404;2.463.830;99.366.724
07-03-2018;0,16299;0,173972;0,134581;0,150709;5.148.420;113.965.021
06-03-2018;0,177078;0,177078;0,160543;0,163273;2.204.090;123.465.824
05-03-2018;0,180855;0,184027;0,175684;0,176877;2.227.440;133.753.067
04-03-2018;0,18666;0,187777;0,167061;0,181106;3.066.850;136.951.005
03-03-2018;0,187394;0,192373;0,177083;0,186956;3.181.190;141.374.732
02-03-2018;0,182278;0,192746;0,176772;0,187453;3.183.310;141.750.559
01-03-2018;0,182393;0,191702;0,177741;0,182199;3.388.700;137.777.524
