SNT;Status ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,096277;0,103836;0,095793;0,100936;23.164.300;350.296.752
30-05-2018;0,09574;0,100208;0,094097;0,096238;24.203.600;333.992.072
29-05-2018;0,088077;0,096839;0,088077;0,095558;19.265.000;331.632.490
28-05-2018;0,093523;0,095218;0,088067;0,088238;14.121.600;306.228.201
27-05-2018;0,094396;0,095679;0,092915;0,093457;11.293.400;324.342.739
26-05-2018;0,094509;0,097864;0,093425;0,094429;12.781.400;327.714.314
25-05-2018;0,098591;0,098814;0,093029;0,094667;18.393.400;328.541.677
24-05-2018;0,095068;0,098824;0,090835;0,098278;28.566.500;341.073.594
23-05-2018;0,106105;0,106524;0,09293;0,09525;32.184.800;330.562.540
22-05-2018;0,11555;0,115603;0,105785;0,106293;25.676.600;368.888.133
21-05-2018;0,118234;0,119911;0,114539;0,115749;35.027.400;401.705.028
20-05-2018;0,114488;0,12081;0,113426;0,117948;30.077.000;409.336.622
19-05-2018;0,114311;0,117147;0,112003;0,114427;30.937.100;397.117.048
18-05-2018;0,113268;0,114906;0,110298;0,114732;27.366.600;398.175.546
17-05-2018;0,117509;0,121148;0,112558;0,11314;33.122.500;392.650.536
16-05-2018;0,119754;0,12072;0,113321;0,117029;35.949.400;406.147.247
15-05-2018;0,127661;0,129818;0,118948;0,119862;35.601.900;415.979.128
14-05-2018;0,132312;0,132312;0,121302;0,12897;35.848.900;447.588.294
13-05-2018;0,125424;0,134533;0,122398;0,131897;30.728.900;457.746.400
12-05-2018;0,124259;0,129555;0,114042;0,124652;41.984.600;432.602.745
11-05-2018;0,143108;0,144676;0,119438;0,124596;54.182.900;432.408.398
10-05-2018;0,154057;0,15958;0,143237;0,143237;38.331.700;497.101.686
09-05-2018;0,158698;0,15886;0,147785;0,154009;37.500.200;534.485.738
08-05-2018;0,156869;0,161973;0,152781;0,158792;46.992.000;551.085.062
07-05-2018;0,164802;0,165064;0,152004;0,156573;37.287.300;543.384.058
06-05-2018;0,176191;0,176191;0,159897;0,164732;49.216.500;571.699.735
05-05-2018;0,168579;0,177537;0,16846;0,175958;57.210.000;610.659.386
04-05-2018;0,166797;0,173523;0,162244;0,168305;53.840.200;584.099.774
03-05-2018;0,162494;0,177775;0,159334;0,167487;69.083.104;581.260.918
02-05-2018;0,157042;0,163349;0,155296;0,16248;36.960.500;563.884.206
01-05-2018;0,157871;0,16003;0,148124;0,157655;53.708.600;547.139.122
30-04-2018;0,172984;0,172984;0,157233;0,158083;47.581.900;548.624.489
29-04-2018;0,160506;0,184934;0,158982;0,172803;142.722.000;599.710.010
28-04-2018;0,139307;0,162356;0,139256;0,16033;77.434.096;556.422.666
27-04-2018;0,145597;0,14666;0,139817;0,139817;46.006.200;485.232.632
26-04-2018;0,135443;0,146149;0,129324;0,146129;64.894.800;507.138.325
25-04-2018;0,160717;0,160717;0,132561;0,134944;80.012.200;468.320.964
24-04-2018;0,150729;0,162992;0,150632;0,161205;97.652.704;559.459.339
23-04-2018;0,149944;0,151878;0,149278;0,15124;40.686.200;524.875.968
22-04-2018;0,152545;0,155887;0,146567;0,15024;59.283.700;521.405.484
21-04-2018;0,152493;0,160481;0,1416;0,154988;111.787.000;537.883.341
20-04-2018;0,138038;0,151835;0,135763;0,151447;94.652.400;525.594.358
19-04-2018;0,131706;0,138316;0,130962;0,138316;57.284.200;480.023.436
18-04-2018;0,120098;0,131287;0,120098;0,131241;57.154.700;455.469.763
17-04-2018;0,11836;0,125355;0,116272;0,120323;49.709.900;417.579.021
16-04-2018;0,12173;0,122987;0,113519;0,118375;43.065.200;410.818.518
15-04-2018;0,111452;0,122936;0,111452;0,122095;43.954.800;423.728.718
14-04-2018;0,110901;0,115863;0,108741;0,110881;34.108.900;384.810.713
13-04-2018;0,1075;0,123475;0,104554;0,112027;85.815.800;388.787.887
12-04-2018;0,094106;0,107918;0,091039;0,107553;68.905.104;373.260.943
11-04-2018;0,089451;0,09447;0,089423;0,094306;28.496.200;327.287.791
10-04-2018;0,088104;0,09006;0,086194;0,089237;19.453.900;309.695.215
09-04-2018;0,090478;0,095241;0,086435;0,088212;26.509.000;306.137.622
08-04-2018;0,089498;0,092227;0,089088;0,090614;22.013.100;314.473.377
07-04-2018;0,089598;0,090938;0,087444;0,089735;22.435.700;311.422.822
06-04-2018;0,088129;0,092123;0,086327;0,089802;41.355.400;311.656.038
05-04-2018;0,095788;0,095788;0,086097;0,08833;34.478.800;306.548.527
04-04-2018;0,105814;0,107317;0,093589;0,095638;40.694.400;331.909.087
03-04-2018;0,093008;0,115972;0,093008;0,107983;153.108.000;374.753.251
