MCO;Crypto.com;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;6,36;6,88;6,33;6,73;13.545.600;106.227.413
30-05-2018;6,56;6,65;6,17;6,36;12.788.600;100.477.668
29-05-2018;6,04;6,63;5,89;6,56;15.275.200;103.563.941
28-05-2018;6,68;6,72;6,06;6,07;13.765.200;95.840.284
27-05-2018;6,89;6,9;6,67;6,68;13.319.000;105.514.321
26-05-2018;7,05;7,17;6,87;6,88;14.046.000;108.739.737
25-05-2018;7,57;7,7;6,92;7,08;16.236.000;111.766.309
24-05-2018;7,38;7,62;6,9;7,59;17.720.300;119.889.550
23-05-2018;8,25;8,28;7,16;7,39;19.372.200;116.709.463
22-05-2018;8,9;8,9;8,25;8,27;17.695.300;130.610.087
21-05-2018;9,19;9,24;8,85;8,89;20.831.900;140.380.309
20-05-2018;9;9,24;8,93;9,2;21.701.900;145.304.036
19-05-2018;9,12;9,51;8,95;9;20.309.600;142.190.440
18-05-2018;8,96;9,13;8,61;9,11;21.905.200;143.944.661
17-05-2018;9,84;10,05;8,94;8,98;22.912.600;141.789.592
16-05-2018;10,41;11,04;9,55;9,85;41.687.800;155.620.882
15-05-2018;10,91;11,3;10,37;10,42;37.065.000;164.503.807
14-05-2018;10,29;11,11;9,44;10,94;35.523.800;172.784.512
13-05-2018;8,88;10,66;8,73;10,27;43.659.400;162.139.470
12-05-2018;8,8;9,01;8,18;8,86;16.520.400;139.926.552
11-05-2018;10,38;10,51;8,64;8,85;21.547.100;139.776.353
10-05-2018;10,83;11,15;10,4;10,4;18.881.300;164.296.907
09-05-2018;11,11;11,11;10,37;10,79;18.280.100;170.366.477
08-05-2018;11,99;11,99;10,81;11,18;22.092.700;176.515.015
07-05-2018;11,05;12,01;10,38;11,9;32.127.100;187.956.066
06-05-2018;11,82;12,13;10,87;11,04;21.082.700;174.390.745
05-05-2018;11,48;12,34;11,47;11,83;26.131.500;186.811.014
04-05-2018;11,92;12,2;11,2;11,5;27.077.200;181.570.620
03-05-2018;11,6;12,18;11,44;11,93;27.859.300;188.440.937
02-05-2018;11,57;11,67;11,23;11,61;23.399.400;183.445.348
01-05-2018;11,72;11,72;11,09;11,58;22.711.300;182.843.603
30-04-2018;12,07;12,6;11,55;11,71;39.516.100;184.911.016
29-04-2018;12,27;12,37;11,48;12,1;33.453.700;191.143.261
28-04-2018;11,47;12,42;11,45;12,3;33.174.100;194.275.178
27-04-2018;11,81;12,63;11,44;11,52;43.943.700;181.914.926
26-04-2018;11,29;11,86;10,66;11,86;39.972.200;187.280.090
25-04-2018;13,07;13,07;10,86;11,23;43.315.100;177.336.294
24-04-2018;12,94;13,27;12,79;13,12;67.797.000;207.234.017
23-04-2018;12,63;13,21;12,6;12,96;39.466.700;204.680.154
22-04-2018;12,5;13,14;12,14;12,64;39.402.200;199.564.532
21-04-2018;13,78;13,78;11,81;12,51;62.615.200;197.505.017
20-04-2018;14,5;14,5;13,08;13,79;106.544.000;217.872.741
19-04-2018;8,95;19,9;8,93;14,32;750.536.000;226.191.352
18-04-2018;7,97;9,05;7,97;8,93;9.022.880;117.920.747
17-04-2018;7,48;8,73;7,46;7,93;14.695.600;104.767.886
16-04-2018;8,15;8,15;7,4;7,48;12.490.100;98.839.390
15-04-2018;7,15;8,25;7,14;8,15;17.010.400;107.567.593
14-04-2018;6,47;7,53;6,46;7,15;11.354.600;94.356.636
13-04-2018;6,26;6,96;6,13;6,46;11.449.400;85.327.479
12-04-2018;5,56;6,27;5,31;6,26;9.499.580;82.647.678
11-04-2018;5,38;5,56;5,25;5,56;8.621.330;73.466.261
10-04-2018;4,9;5,5;4,87;5,35;9.175.680;70.709.868
09-04-2018;5,24;5,36;4,81;4,89;6.885.700;64.595.042
08-04-2018;5,12;5,32;5,12;5,23;7.508.650;69.029.199
07-04-2018;4,77;5,43;4,76;5,12;8.811.000;67.659.784
06-04-2018;4,88;4,94;4,63;4,78;6.222.220;63.058.445
05-04-2018;5,04;5,09;4,79;4,92;7.911.810;64.908.805
04-04-2018;5,59;5,94;4,98;5,04;10.911.000;66.547.349
03-04-2018;4,59;5,97;4,53;5,58;15.486.900;73.689.963
02-04-2018;4,4;4,69;4,35;4,58;8.353.220;60.476.893
01-04-2018;4,66;4,75;4,16;4,37;7.230.110;57.694.486
31-03-2018;4,57;4,84;4,47;4,66;6.535.540;61.583.650
30-03-2018;4,72;4,88;4,32;4,56;7.437.530;60.259.266
29-03-2018;5,57;5,61;4,59;4,72;6.892.900;62.370.304
28-03-2018;5,61;5,79;5,53;5,56;9.649.590;73.422.551
27-03-2018;5,9;5,98;5,56;5,62;8.925.870;74.228.089
26-03-2018;6,25;6,39;5,62;5,91;9.104.860;78.103.651
25-03-2018;6,08;6,44;6,04;6,26;8.176.700;82.602.647
24-03-2018;6,31;6,52;6,15;6,16;10.350.300;81.280.641
23-03-2018;6,32;6,34;5,94;6,23;9.604.850;82.265.642
22-03-2018;6,71;6,99;6,1;6,33;10.621.500;83.538.392
21-03-2018;6,57;7;6,52;6,7;13.080.300;88.486.245
20-03-2018;6,42;6,7;6,13;6,56;11.623.300;86.658.730
19-03-2018;6,04;6,39;5,81;6,33;9.683.290;83.593.459
18-03-2018;5,99;6,16;5,1;6,06;11.485.400;80.059.656
17-03-2018;6,35;6,45;5,79;5,98;9.633.680;78.989.083
16-03-2018;6,38;6,67;6,03;6,37;12.710.900;84.102.401
15-03-2018;7,14;7,24;6,34;6,39;12.319.800;84.433.992
14-03-2018;8,64;8,72;6,8;7,16;14.208.000;94.550.758
13-03-2018;9,14;10,49;8,28;8,68;31.687.000;114.583.962
12-03-2018;7,83;9,78;7,73;9,21;35.774.100;121.664.113
11-03-2018;6,76;8,16;6,47;7,85;8.576.540;103.719.102
10-03-2018;6,77;7,38;6,57;6,75;3.984.830;89.126.185
09-03-2018;6,5;6,79;5,6;6,77;3.810.100;89.338.002
08-03-2018;7,11;7,33;6,39;6,53;4.789.360;86.200.761
07-03-2018;8,24;8,57;6,65;7,14;6.880.780;94.264.726
06-03-2018;9,22;9,22;8,07;8,24;3.483.110;108.855.397
05-03-2018;9,3;9,64;9,14;9,26;4.166.060;122.217.425
04-03-2018;9,56;9,83;8,77;9,34;6.603.720;123.273.283
03-03-2018;8,55;9,57;8,43;9,5;7.535.570;125.299.459
02-03-2018;8,34;8,72;7,93;8,57;4.561.440;113.051.488
01-03-2018;7,44;8,49;7,32;8,37;4.153.860;110.468.461
