EOS;EOS ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;11,97;12,72;11,95;12,28;1.142.809.984;10.949.555.582
30-05-2018;12,18;12,58;11,81;12,01;1.269.209.984;10.690.851.777
29-05-2018;11,7;12,49;10,93;12,18;1.877.299.968;10.816.354.902
28-05-2018;12,5;12,98;11,59;11,64;1.580.160.000;10.313.257.383
27-05-2018;12,29;12,59;12,15;12,51;939.929.024;11.049.191.257
26-05-2018;12,27;12,83;12;12,35;1.085.629.952;10.886.129.050
25-05-2018;12,81;12,88;11,8;12,29;1.624.390.016;10.802.908.814
24-05-2018;10,92;12,96;10,53;12,75;2.161.890.048;11.184.161.873
23-05-2018;12,33;12,46;10,76;10,88;1.591.750.016;9.526.593.715
22-05-2018;13,52;13,53;12,25;12,27;991.158.976;10.708.741.124
21-05-2018;14,03;14,17;13,26;13,51;1.063.000.000;11.768.818.522
20-05-2018;13,17;14,19;13,05;14,01;1.228.359.936;12.169.908.573
19-05-2018;13,04;13,35;12,66;13,17;1.018.750.016;11.414.216.736
18-05-2018;12,37;13,18;12,08;13;1.343.680.000;11.248.647.265
17-05-2018;12,87;13,94;12,21;12,43;1.644.329.984;10.725.624.899
16-05-2018;12,93;13,17;12,06;12,77;1.534.140.032;10.990.743.059
15-05-2018;14,05;14,44;12,65;12,99;1.371.869.952;11.154.630.084
14-05-2018;14,93;15,02;13,39;14,02;1.702.960.000;12.010.357.478
13-05-2018;14,23;15,26;13,8;14,94;1.589.949.952;12.764.867.154
12-05-2018;14,98;15,24;12,59;14,25;3.091.069.952;12.147.113.285
11-05-2018;17,46;17,78;14,56;14,9;2.919.820.032;12.670.119.949
10-05-2018;17,97;18,73;17,52;17,54;1.287.810.048;14.877.302.684
09-05-2018;18,12;18,14;17,28;17,94;1.199.539.968;15.176.493.322
08-05-2018;17,98;18,88;17,9;18,14;1.449.939.968;15.288.076.463
07-05-2018;17,67;18,4;16,88;17,98;2.000.850.048;15.120.502.020
06-05-2018;17,74;17,9;16,86;17,47;1.434.829.952;14.658.734.341
05-05-2018;17,14;18,57;17,14;17,8;1.614.729.984;14.894.964.551
04-05-2018;17,71;18,06;16,47;17,15;1.749.309.952;14.319.584.039
03-05-2018;19,27;19,27;17,18;17,77;2.266.540.032;14.799.000.063
02-05-2018;18,93;19,51;18,42;19,21;2.410.370.048;15.961.145.534
01-05-2018;17,67;19,08;16,31;18,95;3.330.129.920;15.711.518.382
30-04-2018;21,64;21,64;16,86;17,58;4.073.370.112;14.536.328.263
