GNT;GOLEM;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,648529;0,669637;0,599417;0,608989;68.145.600;511.089.146
30-05-2018;0,529135;0,650313;0,529135;0,641308;64.120.000;538.212.609
29-05-2018;0,465621;0,549594;0,462813;0,528271;25.683.000;443.347.211
28-05-2018;0,479164;0,502102;0,454269;0,464292;21.421.600;389.653.347
27-05-2018;0,464329;0,483928;0,454237;0,477856;10.850.900;401.036.825
26-05-2018;0,47158;0,478818;0,463127;0,464427;9.468.260;387.732.454
25-05-2018;0,479146;0,51162;0,466632;0,472034;21.529.900;394.083.249
24-05-2018;0,473256;0,511279;0,44721;0,478798;13.657.300;399.730.256
23-05-2018;0,505633;0,520478;0,455927;0,47352;17.774.800;395.323.854
22-05-2018;0,531115;0,543549;0,492687;0,510563;13.374.300;426.249.647
21-05-2018;0,532782;0,540224;0,515501;0,531322;7.983.570;443.580.548
20-05-2018;0,517648;0,54184;0,513203;0,532384;8.750.250;444.467.171
19-05-2018;0,522127;0,525349;0,509007;0,517208;7.340.840;431.797.305
18-05-2018;0,518;0,520917;0,49892;0,520917;11.923.400;434.893.808
17-05-2018;0,555707;0,590529;0,513521;0,517768;15.955.100;432.264.828
16-05-2018;0,568568;0,591516;0,52559;0,555121;16.365.700;463.449.428
15-05-2018;0,622495;0,622686;0,565437;0,570059;12.900.700;475.920.597
14-05-2018;0,630726;0,640955;0,585353;0,624987;27.557.000;521.402.905
13-05-2018;0,573967;0,628283;0,558187;0,618336;27.229.400;515.854.228
12-05-2018;0,57579;0,601992;0,525369;0,574128;27.725.500;478.973.174
11-05-2018;0,64687;0,675238;0,549559;0,577102;45.789.400;481.454.269
10-05-2018;0,710792;0,712645;0,638076;0,642644;25.487.300;536.133.469
09-05-2018;0,739774;0,739774;0,672894;0,710575;30.652.400;592.805.721
08-05-2018;0,775386;0,775586;0,728316;0,743799;27.712.500;620.523.241
07-05-2018;0,748631;0,816808;0,748201;0,775338;82.055.800;646.835.031
06-05-2018;0,78953;0,790104;0,736051;0,748374;30.187.900;624.339.990
05-05-2018;0,798926;0,803934;0,780985;0,789487;35.525.800;658.639.004
04-05-2018;0,839145;0,862035;0,7615;0,801007;106.960.000;668.249.702
03-05-2018;0,733259;0,911248;0,701893;0,815141;521.276.992;680.041.161
02-05-2018;0,575133;0,780607;0,559938;0,697526;115.785.000;581.919.436
01-05-2018;0,556414;0,593539;0,551815;0,577077;33.778.300;481.433.412
30-04-2018;0,592992;0,593844;0,553274;0,556403;15.580.300;464.185.880
29-04-2018;0,603775;0,611882;0,56985;0,594552;24.486.000;496.012.141
28-04-2018;0,583951;0,612709;0,583951;0,605093;25.867.400;504.806.096
27-04-2018;0,546754;0,714944;0,538283;0,588227;154.071.008;490.735.433
26-04-2018;0,542237;0,58455;0,500346;0,55233;48.797.600;460.787.930
25-04-2018;0,620582;0,620582;0,504734;0,523048;42.323.700;436.359.071
24-04-2018;0,597546;0,636428;0,588694;0,626763;68.198.400;522.884.554
23-04-2018;0,56649;0,666262;0,564051;0,602848;101.940.000;502.933.178
22-04-2018;0,519033;0,599508;0,49965;0,574534;62.680.600;479.311.884
21-04-2018;0,465092;0,540139;0,446046;0,533376;83.985.000;444.975.329
20-04-2018;0,451153;0,466461;0,429197;0,463959;26.255.600;387.063.363
19-04-2018;0,444484;0,456704;0,427522;0,451066;30.695.700;376.307.223
18-04-2018;0,420961;0,446795;0,420092;0,446613;27.661.500;372.592.255
17-04-2018;0,408813;0,424397;0,400096;0,421045;23.943.600;351.261.844
16-04-2018;0,427302;0,427302;0,396743;0,408273;23.719.200;340.606.650
15-04-2018;0,4234;0,440465;0,401612;0,428294;60.301.300;357.309.409
