XZC;Zcoin ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;28,43;29,83;28,32;28,87;1.237.110;140.560.363
30-05-2018;29,02;30,05;28,15;28,41;1.099.770;138.157.809
29-05-2018;27,75;30,26;27,49;28,99;990.812;140.829.821
28-05-2018;30,17;30,21;27,55;27,84;1.705.150;135.058.163
27-05-2018;30,68;30,76;29,54;29,94;664.002;145.018.438
26-05-2018;31,23;31,91;30,47;30,56;935.146;147.830.567
25-05-2018;32,23;32,55;30,89;31,27;1.113.410;151.021.267
24-05-2018;32;33,18;30,52;32,04;1.006.830;154.515.402
23-05-2018;34,64;34,64;31,43;32,21;1.291.940;155.083.305
22-05-2018;35,55;36,18;34,37;34,45;1.748.770;165.673.509
21-05-2018;37,07;37,34;35,09;35,84;1.393.740;172.045.304
20-05-2018;36,02;37,44;35,04;36,61;1.337.600;175.500.832
19-05-2018;35,06;36,57;34,85;35,55;1.200.720;170.143.544
18-05-2018;34,47;35,98;33,75;35,16;1.288.100;168.036.081
17-05-2018;36,82;38,54;34,2;34,45;1.330.030;164.377.633
16-05-2018;37,83;38,24;34,51;36,78;2.544.180;175.227.303
15-05-2018;40,86;42,35;37,91;37,91;3.446.930;180.338.726
14-05-2018;39,07;41,6;35,97;40,92;3.770.220;194.384.154
13-05-2018;36,04;39,65;35,47;38,87;1.278.660;184.329.742
12-05-2018;35,56;37,66;34,13;36,01;1.121.870;170.537.326
11-05-2018;38,83;39,03;35,4;35,68;1.600.520;168.655.038
10-05-2018;41,5;42,12;38,81;38,81;1.796.160;183.151.521
09-05-2018;42,42;43,59;40,3;41,19;1.590.990;194.117.187
08-05-2018;45,12;45,86;41,86;42,47;1.442.160;199.850.342
07-05-2018;45,23;45,66;43,22;44,79;1.558.870;210.454.186
06-05-2018;46,68;48,1;43,17;45,28;2.641.840;212.488.376
05-05-2018;45,71;48,01;45,08;46,65;3.035.720;218.546.082
04-05-2018;45,9;46,2;43,94;45,25;1.434.750;211.726.182
03-05-2018;43,79;46,39;43,32;45,85;2.768.460;214.205.740
02-05-2018;43,01;44,51;42,66;43,8;1.885.050;204.374.131
01-05-2018;43,22;44,01;41,08;43,08;1.902.990;200.708.922
30-04-2018;44,76;45,89;42,98;43,25;2.574.940;201.168.508
29-04-2018;45,69;47,11;43,98;44,9;1.987.720;208.502.361
28-04-2018;44,18;47,32;44,18;45,45;2.179.620;210.660.944
27-04-2018;44,52;45,84;43,21;44,27;2.714.050;204.884.565
26-04-2018;40,01;44,91;39,32;44,34;2.438.630;204.880.704
25-04-2018;47,17;48,06;39,82;39,87;3.162.270;183.957.508
24-04-2018;46,54;48,51;45,93;47,22;3.213.060;217.559.899
23-04-2018;43,73;46,88;43,23;46,19;4.418.240;212.448.941
22-04-2018;41,76;44,58;40,97;43,65;2.772.120;200.448.731
21-04-2018;41,99;43,16;39,28;41,46;3.647.710;190.098.020
20-04-2018;40,43;42,83;37,79;41,56;2.527.180;190.195.185
19-04-2018;37,44;40,57;37,26;40,27;3.412.740;183.983.852
18-04-2018;32,85;38,9;32,39;37,39;6.828.420;170.542.198
17-04-2018;33,72;33,88;32,28;32,45;1.385.540;147.804.714
16-04-2018;34,2;34,92;31,78;33,23;1.336.240;151.098.439
15-04-2018;32,63;34,78;32,14;34,18;1.258.480;155.185.697
14-04-2018;31,9;33,67;31,88;32,76;1.073.030;148.483.437
13-04-2018;31,68;34,05;31,21;31,9;1.651.810;144.314.287
12-04-2018;29,52;32,39;28,23;31,65;2.422.190;142.913.654
11-04-2018;28,67;29,54;28,34;29,52;962.614;133.078.294
10-04-2018;28,11;28,86;27,4;28,5;921.407;128.296.699
09-04-2018;29,11;29,95;27,58;27,97;1.216.510;125.729.702
08-04-2018;28,9;29,56;28,5;29,15;763.236;130.812.118
07-04-2018;27,17;29,44;27,15;28,97;917.499;129.794.851
06-04-2018;27,57;28,1;26,9;27,43;1.033.030;122.730.888
05-04-2018;28,25;28,69;26,92;27,68;4.160.310;123.653.553
04-04-2018;31,39;31,4;28,56;28,75;730.142;128.145.392
03-04-2018;29,37;31,69;29,19;31,36;818.267;139.551.956
02-04-2018;29,25;30,02;28,47;29,36;706.161;130.522.992
01-04-2018;29,29;30,27;27,05;29,05;675.598;128.950.770
31-03-2018;28,95;30,45;28,52;29,29;764.298;129.809.028
30-03-2018;28,85;29,89;26,97;28,92;861.585;127.975.715
29-03-2018;33,69;33,74;28,89;28,89;931.396;127.592.076
28-03-2018;33,65;34,11;32,53;33,66;948.789;148.462.919
27-03-2018;34,98;37,01;33,22;33,68;778.522;148.297.520
26-03-2018;37,3;38,39;33,97;35,13;1.111.040;154.440.734
25-03-2018;37,99;38,51;37,31;37,52;979.950;164.671.172
24-03-2018;40,3;41,33;37,88;38,54;1.941.210;168.839.168
23-03-2018;40,69;40,69;37,14;39,56;949.116;172.999.808
22-03-2018;41,05;43,75;39,17;40,59;1.166.700;177.215.469
21-03-2018;41,75;44,41;39,86;40,99;2.052.100;178.653.598
20-03-2018;38,5;41,85;36,16;41,4;1.768.690;180.124.143
19-03-2018;33,13;38,44;33,09;38,24;1.332.900;166.092.392
18-03-2018;34,31;34,4;28,46;33,22;1.288.830;144.110.812
17-03-2018;35,98;36,48;33,7;34,35;903.180;148.759.987
16-03-2018;35,71;37,46;33,64;35,95;1.024.240;155.380.027
15-03-2018;36,08;38,37;33,11;35,65;2.099.930;153.744.630
14-03-2018;41,09;42,7;35,5;36,11;1.591.700;155.463.082
13-03-2018;41,22;43,52;40,6;41,11;937.751;176.749.084
12-03-2018;43,64;45,57;40,6;41,46;1.256.250;177.940.172
11-03-2018;40,58;44,12;39,32;43,8;784.397;187.672.829
10-03-2018;42,62;44;40,38;40,48;941.618;173.202.289
09-03-2018;42,09;42,86;35,62;42,86;2.244.250;183.125.245
08-03-2018;44,18;46,78;41,09;42,37;3.828.070;180.698.809
07-03-2018;50,15;51,06;41,19;44,33;5.079.780;188.784.004
06-03-2018;50,97;52,41;48,25;50,28;4.072.160;213.802.075
05-03-2018;57,29;57,29;51,65;51,65;4.034.100;219.236.596
04-03-2018;53,78;56,82;52,39;56,82;3.609.570;240.707.961
03-03-2018;54,62;58,38;52,03;53,92;3.600.510;228.066.454
02-03-2018;57,2;58,2;54,45;54,56;3.985.150;230.325.140
01-03-2018;51,54;61,21;50,97;57,42;4.823.590;242.000.058
