EKT;EDUCare ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,121201;0,140254;0,120153;0,136654;16.548.600;47.828.900
30-05-2018;0,129058;0,1384;0,119986;0,121223;14.193.600;42.428.050
29-05-2018;0,131536;0,140333;0,123007;0,128971;15.200.700;45.139.850
28-05-2018;0,150263;0,15029;0,12539;0,133954;18.450.700;46.883.900
27-05-2018;0,136233;0,150223;0,130171;0,150159;17.252.000;52.555.650
26-05-2018;0,132643;0,142372;0,130672;0,13196;8.837.840;46.186.000
25-05-2018;0,141671;0,146856;0,131377;0,132818;18.732.500;46.486.300
24-05-2018;0,150155;0,151916;0,131109;0,141276;19.745.400;49.446.600
23-05-2018;0,168998;0,175463;0,141114;0,150535;21.140.200;52.687.250
22-05-2018;0,160606;0,196957;0,142281;0,169173;25.733.300;59.210.550
21-05-2018;0,162107;0,169576;0,157379;0,160635;24.517.700;56.222.250
20-05-2018;0,147172;0,170943;0,146858;0,161904;13.718.500;56.666.400
19-05-2018;0,169336;0,176866;0,147062;0,147062;11.257.200;51.471.700
18-05-2018;0,162599;0,176469;0,132164;0,16921;25.809.000;59.223.500
17-05-2018;0,142951;0,164057;0,115217;0,153344;25.770.200;53.670.400
16-05-2018;0,103459;0,148954;0,101885;0,142819;31.318.000;49.986.650
15-05-2018;0,09954;0,118188;0,088573;0,103519;25.092.700;36.231.650
14-05-2018;0,098243;0,107033;0,087793;0,099711;27.462.000;34.898.850
13-05-2018;0,100477;0,105136;0,089299;0,098261;11.195.900;34.391.385
12-05-2018;0,100101;0,110469;0,085691;0,100512;5.199.920;35.179.200
11-05-2018;0,10318;0,10318;0,08739;0,100397;22.971.300;35.138.950
10-05-2018;0,11049;0,12013;0,099073;0,103056;22.150.800;36.069.600
09-05-2018;0,119266;0,126128;0,105132;0,110521;26.092.700;38.682.350
08-05-2018;0,122145;0,130029;0,117425;0,119448;30.348.000;41.806.800
07-05-2018;0,130881;0,130881;0,10565;0,121886;28.231.700;42.660.100
06-05-2018;0,118562;0,130787;0,104571;0,130787;11.045.300;45.775.450
05-05-2018;0,130752;0,132798;0,118427;0,118482;7.734.490;41.468.700
04-05-2018;0,120844;0,138827;0,118556;0,130814;34.401.500;45.784.900
