STRAT;Stratis ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;4,32;4,53;4,29;4,43;4.072.820;438.258.832
30-05-2018;4,48;4,57;4,21;4,34;5.337.390;428.851.944
29-05-2018;4,08;4,57;4,02;4,48;5.930.300;442.730.378
28-05-2018;4,6;4,61;4,07;4,08;6.485.070;403.409.473
27-05-2018;4,8;4,8;4,57;4,6;4.784.240;454.973.104
26-05-2018;4,91;5,04;4,77;4,79;4.702.850;473.873.297
25-05-2018;5,34;5,34;4,85;4,91;7.867.390;485.520.921
24-05-2018;5,41;5,87;5,14;5,33;32.881.100;527.152.098
23-05-2018;5,8;5,97;5,16;5,41;11.481.100;535.317.574
22-05-2018;5,76;6,18;5,73;5,79;15.869.200;572.231.142
21-05-2018;5,89;5,94;5,71;5,76;5.626.450;569.704.615
20-05-2018;5,77;5,94;5,71;5,89;5.246.120;581.823.774
19-05-2018;5,84;5,85;5,73;5,76;5.642.980;569.899.307
18-05-2018;5,68;5,84;5,59;5,84;6.431.330;576.959.463
17-05-2018;6,26;6,36;5,65;5,68;7.747.230;561.598.066
16-05-2018;5,89;6,29;5,57;6,29;12.093.300;621.978.242
15-05-2018;6,3;6,49;5,87;5,9;7.818.450;583.189.524
14-05-2018;6,47;6,5;5,96;6,31;8.797.740;623.796.783
13-05-2018;6,05;6,57;5,94;6,49;8.356.780;641.446.960
12-05-2018;5,66;6,28;5,52;6,05;11.831.900;598.157.757
11-05-2018;6,58;6,58;5,6;5,68;14.286.200;561.903.981
10-05-2018;7,11;7,24;6,59;6,59;11.072.900;651.159.614
09-05-2018;7,5;7,5;6,9;7,12;13.625.200;703.338.514
08-05-2018;7,65;7,83;7,14;7,51;11.640.400;742.697.487
07-05-2018;7,94;8;7,16;7,62;12.157.300;753.152.698
06-05-2018;8,21;8,27;7,57;7,91;13.944.000;782.230.139
05-05-2018;8,06;8,55;7,98;8,21;35.287.300;811.227.684
04-05-2018;7,64;8,02;7,16;8,02;18.501.200;792.692.989
03-05-2018;7,62;7,89;7,44;7,67;16.697.500;757.738.218
02-05-2018;7,24;7,74;7,14;7,62;25.944.100;752.677.613
01-05-2018;6,78;7,31;6,36;7,22;19.303.800;713.385.309
30-04-2018;7,15;7,26;6,7;6,77;18.585.700;668.939.601
29-04-2018;6,48;7,41;6,47;7,16;51.352.100;707.188.410
28-04-2018;5,99;6,52;5,96;6,47;9.946.400;639.937.757
27-04-2018;6,23;6,46;5,96;6,01;10.798.900;594.304.757
26-04-2018;5,78;6,23;5,64;6,23;10.733.000;615.730.782
25-04-2018;6,63;6,63;5,57;5,76;13.020.700;569.209.844
24-04-2018;6,12;6,79;6,12;6,69;17.273.700;661.247.576
23-04-2018;5,74;6,16;5,73;6,13;11.982.200;606.050.173
22-04-2018;5,79;5,98;5,61;5,74;10.004.900;567.607.285
21-04-2018;6;6,13;5,46;5,81;13.420.000;573.823.974
20-04-2018;5,78;6,03;5,54;6;13.536.300;593.222.664
19-04-2018;5,61;5,77;5,59;5,77;11.984.400;569.998.347
18-04-2018;4,98;5,66;4,98;5,61;14.289.700;554.294.985
17-04-2018;4,82;5,19;4,81;4,97;11.474.500;491.154.131
16-04-2018;5,03;5,08;4,7;4,83;7.659.550;477.274.493
15-04-2018;4,73;5,04;4,73;5,03;8.177.060;497.034.896
14-04-2018;4,62;4,77;4,51;4,71;7.097.920;465.134.246
13-04-2018;4,49;4,92;4,38;4,62;14.522.100;457.014.449
12-04-2018;4,06;4,52;3,85;4,5;11.442.900;444.309.819
11-04-2018;3,78;4,07;3,73;4,06;11.565.900;401.034.761
