DAI;DAI;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;1;1;0,987157;1;1.519.950;41.062.510
30-05-2018;0,994176;1,01;0,977017;1;2.796.250;40.555.051
29-05-2018;0,990455;1,01;0,978239;0,994412;2.364.730;40.109.930
28-05-2018;1,01;1,01;0,976353;0,992289;2.120.820;37.570.830
27-05-2018;0,989358;1,01;0,977811;1,01;686.620;37.598.180
26-05-2018;1;1,02;0,984022;0,986146;777.202;36.558.941
25-05-2018;1,01;1,03;0,977456;1;1.342.460;37.061.831
24-05-2018;1,04;1,06;0,976402;1,01;1.721.690;36.869.021
23-05-2018;0,99557;1,05;0,980438;1,04;2.368.530;37.856.252
22-05-2018;1,01;1,02;0,987927;0,997668;1.037.470;37.854.391
21-05-2018;1;1,02;0,99585;1,02;1.084.900;38.292.643
20-05-2018;1;1,01;0,992718;0,999266;579.318;37.578.571
19-05-2018;0,999524;1,01;0,975452;1;652.745;37.594.934
18-05-2018;1;1,01;0,986106;0,999485;1.064.750;37.219.237
17-05-2018;0,996523;1,01;0,985931;1;828.320;37.173.897
16-05-2018;0,999842;1,01;0,988008;0,995739;1.145.130;35.825.234
15-05-2018;0,994231;1,01;0,983358;1;461.766;35.833.425
14-05-2018;0,988935;1,04;0,985888;0,995898;1.282.940;35.470.701
13-05-2018;1,01;1,02;0,979833;0,989473;1.051.360;35.334.334
12-05-2018;1,02;1,04;0,985929;1;1.810.540;35.586.528
11-05-2018;0,994763;1,04;0,989494;1,02;2.111.880;35.658.582
10-05-2018;0,99402;1,01;0,987357;0,993957;1.117.250;34.285.595
09-05-2018;0,995124;1,01;0,990576;0,993661;1.275.110;33.650.071
08-05-2018;1;1,01;0,982001;0,995922;1.023.560;33.103.975
07-05-2018;1;1,01;0,989946;1;1.887.200;32.849.795
06-05-2018;1,01;1,02;0,995848;1;1.517.250;32.272.424
05-05-2018;0,994632;1,01;0,992013;1,01;1.906.500;32.218.894
04-05-2018;0,998196;1,01;0,988436;0,99364;2.058.060;31.455.307
03-05-2018;0,996717;1,02;0,98934;1;3.367.890;31.171.963
02-05-2018;0,994045;1,01;0,988163;0,996797;667.532;30.454.326
01-05-2018;1;1,01;0,990668;0,995504;1.998.170;30.236.384
30-04-2018;1;1,01;0,98897;1;1.488.330;30.251.991
29-04-2018;0,994321;1,06;0,981706;1;1.246.490;30.335.713
28-04-2018;0,997942;1,02;0,974882;0,994263;1.611.920;29.955.677
27-04-2018;0,991394;1,02;0,983124;0,999905;1.538.080;29.930.950
26-04-2018;0,991144;1,02;0,984644;0,989518;2.782.320;28.719.424
25-04-2018;1;1,03;0,975528;0,984276;2.967.660;27.719.908
24-04-2018;0,997596;1,01;0,979536;1;3.127.740;27.580.848
23-04-2018;0,991249;1,01;0,983058;0,997549;1.538.170;27.050.464
22-04-2018;0,998247;1,01;0,987871;0,99396;19.881.900;27.006.206
21-04-2018;0,991071;1,01;0,987426;0,997803;80.079.904;26.859.005
20-04-2018;0,995797;1;0,988319;0,991195;47.026.000;26.354.201
19-04-2018;0,998315;1;0,990286;0,996486;17.802.900;25.871.370
