WAX;WAX;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,18466;0,195445;0,181451;0,194265;1.312.860;121.420.150
30-05-2018;0,188298;0,195979;0,180009;0,184926;1.883.750;115.583.057
29-05-2018;0,174591;0,189803;0,166181;0,188059;1.757.520;117.541.255
28-05-2018;0,196139;0,200788;0,171313;0,172816;1.500.920;108.014.025
27-05-2018;0,195417;0,197956;0,192636;0,194426;891.150;121.520.779
26-05-2018;0,201264;0,208243;0,18731;0,194853;2.687.980;121.787.664
25-05-2018;0,203374;0,204577;0,191459;0,200514;2.004.580;125.325.921
24-05-2018;0,190986;0,202929;0,180167;0,202582;2.730.510;126.580.730
23-05-2018;0,212227;0,213151;0,185149;0,191452;2.967.010;119.626.294
22-05-2018;0,237305;0,239511;0,213364;0,213364;2.312.990;133.317.723
21-05-2018;0,258053;0,258687;0,236128;0,237475;3.289.140;148.383.168
20-05-2018;0,252528;0,260616;0,249064;0,259216;2.566.840;161.967.749
19-05-2018;0,259992;0,260663;0,247796;0,252605;2.246.850;157.836.952
18-05-2018;0,256523;0,266604;0,24094;0,260568;3.579.650;162.811.421
17-05-2018;0,279109;0,283679;0,245493;0,257045;6.340.000;160.610.136
16-05-2018;0,291433;0,339264;0,273438;0,280994;45.729.800;175.574.255
15-05-2018;0,27435;0,307549;0,27435;0,290969;6.461.200;181.806.962
14-05-2018;0,281125;0,289464;0,253346;0,27166;3.421.700;169.742.066
13-05-2018;0,253185;0,286263;0,244398;0,282043;2.475.710;176.229.705
12-05-2018;0,252525;0,267723;0,227532;0,253193;2.002.820;158.203.280
11-05-2018;0,300281;0,300281;0,238164;0,253325;4.451.230;158.285.758
10-05-2018;0,320013;0,324088;0,298689;0,29929;2.754.780;187.006.195
09-05-2018;0,335294;0,338531;0,309276;0,319968;3.218.990;199.926.487
08-05-2018;0,351513;0,355045;0,326027;0,336972;4.165.200;209.540.227
07-05-2018;0,369151;0,37229;0,335931;0,350373;2.936.490;217.873.408
06-05-2018;0,392613;0,395587;0,352154;0,36973;3.474.640;229.910.225
05-05-2018;0,391129;0,405464;0,3807;0,390943;5.138.760;243.101.163
04-05-2018;0,42871;0,42871;0,3717;0,39239;7.110.730;244.000.955
03-05-2018;0,379038;0,460847;0,376734;0,427537;16.891.700;265.833.545
02-05-2018;0,346822;0,393426;0,346822;0,378647;6.319.720;235.434.767
01-05-2018;0,35117;0,354853;0,325697;0,3484;3.497.650;216.627.817
