NAS;Nebulas ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;6,05;7,13;6,05;6,82;44.532.000;310.416.470
30-05-2018;6,25;6,37;5,94;6,16;44.602.200;280.235.865
29-05-2018;5,84;6,31;5,61;6,17;47.155.200;280.871.045
28-05-2018;6,12;6,28;5,77;5,86;47.211.500;266.520.800
27-05-2018;6,24;6,24;6,05;6,11;28.078.200;278.151.055
26-05-2018;6,21;6,45;6,11;6,22;44.855.000;282.969.050
25-05-2018;6,37;6,57;5,98;6,16;41.783.600;280.372.365
24-05-2018;5,9;6,4;5,67;6,35;42.078.900;288.894.970
23-05-2018;6,31;6,38;5,53;5,9;33.937.300;268.458.645
22-05-2018;7,23;7,23;6,32;6,32;39.885.100;287.670.565
21-05-2018;7,64;7,85;7,15;7,25;40.268.800;329.738.045
20-05-2018;7,38;7,74;7,23;7,63;43.360.300;347.179.560
19-05-2018;7,25;7,59;7,02;7,3;40.626.700;332.227.350
18-05-2018;7,04;7,26;6,92;7,24;41.614.500;329.553.770
17-05-2018;7,71;7,74;6,98;7,03;34.718.500;319.713.485
16-05-2018;7,68;7,86;7,1;7,69;37.253.000;349.965.070
15-05-2018;8,11;8,34;7,67;7,69;36.382.100;350.100.205
14-05-2018;8,59;8,59;7,82;8,11;32.005.000;369.227.495
13-05-2018;7,97;8,68;7,73;8,59;25.889.700;390.766.285
12-05-2018;7,78;8,54;7,23;8,05;30.013.600;366.156.245
11-05-2018;8,66;8,73;7,63;7,8;29.994.800;354.877.250
10-05-2018;9,23;9,51;8,65;8,65;34.061.400;393.725.605
09-05-2018;9,66;9,69;9,09;9,23;38.749.000;420.180.215
08-05-2018;10,13;10,45;9,52;9,67;32.364.800;343.399.665
07-05-2018;10,26;10,38;9,4;10,1;34.330.200;358.521.600
06-05-2018;10,78;11,17;9,94;10,26;39.044.100;364.357.800
05-05-2018;10,98;11,2;10,51;10,78;45.001.000;382.590.600
04-05-2018;11,27;11,5;10,21;10,98;43.043.500;389.630.250
03-05-2018;11,32;11,9;11,11;11,32;51.648.200;401.799.650
02-05-2018;9,76;11,18;9,67;11,18;87.955.200;396.879.350
01-05-2018;9,14;9,81;8,38;9,74;37.775.900;345.926.200
30-04-2018;10,1;10,46;9,11;9,16;42.842.600;325.115.390
29-04-2018;8,82;10,75;8,82;10,08;63.774.400;357.822.250
28-04-2018;7,03;9;7,03;8,81;46.872.600;312.796.535
27-04-2018;7,06;7,42;6,69;7,07;34.653.100;250.825.960
26-04-2018;6,28;7,07;6,11;7,06;36.179.800;250.505.750
25-04-2018;7,25;7,25;6;6,25;38.172.700;222.029.425
24-04-2018;6,15;7,4;6,14;7,33;40.115.600;260.347.770
23-04-2018;6,1;6,37;6,06;6,14;25.721.300;217.944.440
22-04-2018;5,92;6,45;5,85;6,11;22.421.000;216.786.075
21-04-2018;6,42;6,48;5,64;5,91;25.077.200;209.860.025
20-04-2018;5,65;6,34;5,45;6,34;25.284.500;225.191.410
19-04-2018;5,22;5,63;5,22;5,63;17.396.300;199.989.605
