SAN;Santiment Network Token;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;1,12;1,27;1,11;1,24;1.282.460;77.910.652
30-05-2018;1,16;1,18;1,11;1,12;713.408;70.162.697
29-05-2018;1;1,22;1;1,15;1.511.880;72.026.217
28-05-2018;1,09;1,1;0,99959;1,01;782.327;63.089.594
27-05-2018;1,11;1,11;1,07;1,09;711.000;68.425.125
26-05-2018;1,09;1,15;1,08;1,11;566.872;69.393.854
25-05-2018;1,16;1,16;1,08;1,09;520.336;68.267.848
24-05-2018;1,05;1,16;1,03;1,15;1.070.800;72.226.730
23-05-2018;1,17;1,18;1,04;1,06;1.239.520;66.522.756
22-05-2018;1,26;1,26;1,17;1,17;643.176;73.385.947
21-05-2018;1,36;1,36;1,24;1,26;1.014.740;78.704.559
20-05-2018;1,28;1,37;1,27;1,36;762.978;85.300.190
19-05-2018;1,26;1,36;1,23;1,29;1.032.540;80.618.833
18-05-2018;1,19;1,26;1,14;1,25;1.106.260;78.377.472
17-05-2018;1,28;1,29;1,18;1,2;1.172.440;74.904.207
16-05-2018;1,35;1,37;1,26;1,28;1.138.570;80.356.913
15-05-2018;1,46;1,49;1,34;1,36;1.047.070;85.354.078
14-05-2018;1,45;1,48;1,32;1,45;1.423.790;90.862.551
13-05-2018;1,31;1,47;1,29;1,45;1.457.370;90.591.231
12-05-2018;1,4;1,4;1,19;1,31;1.907.740;82.177.197
11-05-2018;1,67;1,67;1,28;1,4;4.278.820;87.718.253
10-05-2018;1,75;1,78;1,69;1,69;1.084.190;105.684.235
09-05-2018;1,73;1,8;1,72;1,75;1.149.160;109.744.000
08-05-2018;1,79;1,81;1,71;1,72;1.200.120;108.027.106
07-05-2018;1,8;1,82;1,69;1,79;1.563.950;112.043.009
06-05-2018;1,91;1,97;1,71;1,8;3.037.780;112.831.277
05-05-2018;1,94;1,97;1,87;1,91;1.567.740;119.712.639
04-05-2018;1,99;2,02;1,81;1,93;3.009.100;121.239.045
03-05-2018;1,82;2,06;1,82;2,02;3.293.260;126.327.694
02-05-2018;1,77;1,85;1,74;1,81;2.064.760;113.469.786
01-05-2018;1,79;1,81;1,62;1,79;2.707.100;111.937.113
30-04-2018;1,9;1,94;1,76;1,79;1.802.720;111.944.006
29-04-2018;1,94;2,03;1,84;1,91;1.840.370;119.615.515
28-04-2018;1,78;1,98;1,77;1,94;1.897.780;121.267.243
27-04-2018;1,88;1,94;1,77;1,78;2.149.000;111.838.110
26-04-2018;1,69;1,9;1,64;1,87;2.014.700;116.967.488
25-04-2018;2,09;2,09;1,59;1,69;4.068.470;105.754.414
24-04-2018;1,89;2,12;1,89;2,09;4.618.180;131.146.277
23-04-2018;1,76;1,95;1,76;1,89;2.789.750;118.459.431
22-04-2018;1,83;2,02;1,73;1,77;4.343.310;110.644.430
21-04-2018;1,9;1,96;1,69;1,83;6.424.720;114.735.525
20-04-2018;1,51;1,92;1,47;1,92;5.446.780;120.361.174
19-04-2018;1,42;1,52;1,38;1,52;1.826.830;95.077.087
18-04-2018;1,29;1,42;1,29;1,42;1.194.520;88.926.972
17-04-2018;1,34;1,43;1,28;1,28;1.165.310;80.165.172
16-04-2018;1,43;1,43;1,3;1,33;1.477.900;83.627.158
15-04-2018;1,3;1,44;1,3;1,43;1.576.770;89.812.990
14-04-2018;1,31;1,39;1,27;1,3;1.293.320;81.660.249
13-04-2018;1,26;1,42;1,21;1,31;2.426.180;82.174.690
12-04-2018;0,996615;1,28;0,960365;1,27;3.388.130;79.743.468
11-04-2018;0,969755;1,01;0,934933;1,01;1.267.350;63.241.233
10-04-2018;0,950202;0,97928;0,937166;0,964938;642.337;60.463.373
09-04-2018;0,972202;1,02;0,926857;0,949653;876.004;59.505.609
08-04-2018;0,929947;1,01;0,925031;0,971846;933.840;60.896.231
07-04-2018;0,881931;0,956906;0,881681;0,930646;960.922;58.314.624
06-04-2018;0,92983;0,94785;0,867746;0,884318;1.039.820;55.411.694
05-04-2018;0,960569;0,973326;0,874271;0,930834;1.677.930;58.326.404
04-04-2018;1,08;1,08;0,93722;0,96002;1.386.490;60.155.209
03-04-2018;0,942399;1,13;0,917406;1,08;1.901.290;67.518.430
02-04-2018;0,942984;0,98696;0,906838;0,934051;1.179.970;58.527.982
01-04-2018;0,981816;0,997526;0,876271;0,9455;1.791.820;59.245.381
31-03-2018;1,01;1,04;0,973627;0,981912;518.852;61.526.970
30-03-2018;0,971662;1,06;0,950173;0,995256;1.048.800;62.363.110
29-03-2018;1,17;1,18;0,938923;0,964988;2.302.860;60.466.506
28-03-2018;1,15;1,23;1,15;1,17;1.108.310;73.283.810
27-03-2018;1,23;1,23;1,15;1,15;1.147.820;72.301.922
26-03-2018;1,3;1,32;1,17;1,23;1.674.800;76.912.472
25-03-2018;1,25;1,33;1,24;1,3;979.747;81.310.604
24-03-2018;1,33;1,36;1,24;1,25;2.165.910;78.193.250
23-03-2018;1,33;1,34;1,22;1,34;2.730.020;84.035.703
22-03-2018;1,41;1,46;1,31;1,33;1.706.910;83.199.187
21-03-2018;1,47;1,52;1,39;1,41;2.711.980;88.414.410
20-03-2018;1,33;1,54;1,3;1,47;3.909.710;92.176.539
19-03-2018;1,35;1,46;1,26;1,34;4.085.360;83.881.559
18-03-2018;1,19;1,35;1,05;1,31;6.756.960;82.227.325
17-03-2018;1,28;1,29;1,16;1,2;2.924.820;74.928.645
16-03-2018;1,23;1,45;1,16;1,28;4.481.970;80.007.895
15-03-2018;1,25;1,28;1,11;1,23;4.683.900;77.195.071
14-03-2018;1,52;1,57;1,23;1,25;2.876.310;78.098.633
13-03-2018;1,56;1,6;1,48;1,53;2.630.860;95.968.744
12-03-2018;1,68;1,71;1,46;1,56;3.330.080;97.537.760
11-03-2018;1,5;1,73;1,44;1,7;3.169.100;106.284.521
10-03-2018;1,56;1,75;1,49;1,51;4.643.210;94.593.976
09-03-2018;1,57;1,59;1,28;1,55;4.494.890;97.239.497
08-03-2018;1,73;1,76;1,53;1,57;3.023.200;98.093.558
07-03-2018;1,83;1,97;1,6;1,74;5.147.990;109.025.286
06-03-2018;2,03;2,05;1,79;1,84;2.518.060;115.569.535
05-03-2018;2,13;2,18;2,04;2,06;1.699.130;128.856.667
04-03-2018;2,07;2,18;2,01;2,13;1.688.510;133.705.953
03-03-2018;2,2;2,23;2,04;2,07;2.845.280;129.550.944
02-03-2018;2,26;2,29;2,13;2,2;2.347.600;138.141.054
