ZEN;Horizen ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;30,12;31,22;29,49;30,54;2.004.580;121.025.162
30-05-2018;30,81;31,43;29,52;30,21;1.971.530;119.491.466
29-05-2018;29,05;32,51;27,57;30,85;3.842.140;121.837.772
28-05-2018;32,66;34,12;28,79;29,03;3.480.920;114.438.525
27-05-2018;36,1;36,1;32,04;32,72;4.851.400;128.762.002
26-05-2018;38,78;40,29;35,86;36,09;9.469.500;141.768.877
25-05-2018;34,05;40,26;31,74;38,29;19.515.300;150.132.616
24-05-2018;31,11;35,95;30,91;34,12;9.634.590;133.531.500
23-05-2018;32,76;50,5;30,6;31,52;62.711.500;123.136.032
22-05-2018;32,48;35,83;32,39;32,98;2.674.760;128.597.778
21-05-2018;30,38;34,96;30,27;32,4;1.300.910;126.110.540
20-05-2018;28,84;30,9;28,14;30,7;383.118;119.292.621
19-05-2018;28,62;29,18;27,93;28,82;226.321;111.771.941
18-05-2018;26,37;29,05;26,04;28,63;303.242;110.840.286
17-05-2018;28,33;29,34;26,2;26,76;477.046;103.404.631
16-05-2018;29,79;30,2;27,46;28,38;514.821;109.487.146
15-05-2018;32;32,3;28,95;29,69;423.175;114.326.986
14-05-2018;32,56;33,28;29,48;31,88;545.364;122.516.847
13-05-2018;31,24;32,96;30,32;32,51;436.068;124.700.870
12-05-2018;30,55;33,14;29,93;31,24;631.462;119.625.380
11-05-2018;35,84;35,84;30,4;30,57;720.786;116.831.659
10-05-2018;34,48;37,33;34,46;35,81;527.217;136.607.066
09-05-2018;36,22;36,4;34,37;34,49;621.179;131.329.873
08-05-2018;38,04;38,99;36,28;36,28;638.916;137.889.784
07-05-2018;39,9;39,92;37,36;37,79;660.443;143.363.227
06-05-2018;41,35;41,74;38,99;39,87;700.454;150.989.742
05-05-2018;40,83;42,52;39,98;41,35;794.575;156.298.749
04-05-2018;40,8;41,27;39,57;40,6;764.188;153.171.519
03-05-2018;40,71;41,36;38,27;40,57;1.554.170;152.801.804
02-05-2018;38,3;41;37,41;40,76;1.082.970;153.219.136
01-05-2018;38,96;39,22;35,72;38,34;1.464.040;143.857.973
30-04-2018;41,24;42,17;38,91;38,93;805.350;145.781.350
29-04-2018;42,12;42,95;40,67;41,11;1.007.810;153.699.083
28-04-2018;40,67;43,64;40,33;42,38;1.242.830;158.121.235
27-04-2018;38,99;42,35;37,8;40,81;1.454.760;151.986.536
26-04-2018;34,63;39,31;34,34;39,07;1.534.600;145.216.252
25-04-2018;37,13;37,13;32,6;34,19;1.242.420;126.869.087
24-04-2018;34,15;37,29;34,13;37,29;930.271;138.098.170
23-04-2018;34,44;35,52;33,05;34,11;1.295.720;126.087.618
22-04-2018;36,73;36,73;34,36;34,42;1.018.940;126.997.206
21-04-2018;40,38;40,38;34,45;36,78;1.829.510;135.421.927
20-04-2018;37,03;41,17;36,41;40,5;1.412.040;148.877.556
19-04-2018;34,62;38,51;34,06;37,09;1.560.260;136.067.294
18-04-2018;33,43;36;32,29;34,89;1.773.490;127.782.145
17-04-2018;33,5;34,84;32,05;33,4;1.270.690;122.076.998
16-04-2018;34,4;34,56;31,37;33,39;1.219.690;121.817.404
15-04-2018;34,38;35,99;33,25;34,43;1.039.190;125.352.017
14-04-2018;31,32;35,71;31,08;34,34;1.209.480;124.811.016
13-04-2018;30,11;33,11;29,45;31,42;1.103.970;113.971.886
12-04-2018;26,2;30,63;25,15;30,07;1.418.950;108.861.239
11-04-2018;25,07;26,35;24,89;26,19;603.039;94.624.458
10-04-2018;24,05;25,55;23,46;25,05;781.673;90.320.136
09-04-2018;25,31;26,91;23,29;24,03;1.130.510;86.477.790
08-04-2018;24,77;25,69;23,45;25,31;1.121.210;90.905.634
07-04-2018;23,49;25,87;23,17;24,75;748.465;88.725.622
06-04-2018;22,27;24,41;20,43;23,63;1.063.240;84.536.219
05-04-2018;20,87;23,3;19,17;22,41;876.755;80.037.054
04-04-2018;21,66;21,83;18,73;20,82;1.146.590;74.195.256
03-04-2018;20,45;22,31;18,49;21,67;1.524.020;77.060.307
02-04-2018;16,19;20,72;15,66;20,13;1.269.660;71.473.350
01-04-2018;15,88;16,6;14,09;16,1;469.153;57.052.430
31-03-2018;16,76;17,19;15,56;15,88;324.888;56.165.892
30-03-2018;17,8;17,8;14,67;16,74;586.134;59.085.497
29-03-2018;18,94;19,58;16,82;17,63;681.053;62.074.280
28-03-2018;17,72;19,4;16,65;18,91;623.722;66.481.975
27-03-2018;17,09;19,7;15,67;17,73;1.004.870;62.185.170
26-03-2018;18,13;19,27;15,01;17,23;1.086.750;60.307.070
25-03-2018;18,58;19,16;18,05;18,34;202.819;64.077.788
24-03-2018;18,98;19,81;18,38;18,72;347.242;65.290.215
23-03-2018;19,77;20,07;17,46;18,73;447.291;65.176.388
22-03-2018;19,79;20,08;19,03;19,76;538.111;68.631.017
21-03-2018;19,89;21,48;19,55;19,78;660.973;68.544.864
20-03-2018;19,46;19,79;18,11;19,79;552.392;68.431.813
19-03-2018;17,45;19,83;17,45;19,24;500.427;66.416.137
18-03-2018;18,55;18,55;15,77;17,56;887.095;60.483.944
17-03-2018;20,66;20,81;18,48;18,59;362.723;63.889.031
16-03-2018;20,62;22,21;19,46;20,64;1.307.080;70.811.094
15-03-2018;17,88;20,63;16,98;20,61;1.513.770;70.556.609
14-03-2018;23,22;23,3;17,61;17,89;843.263;61.115.781
13-03-2018;21,99;23,39;20,36;23,23;674.676;79.208.027
12-03-2018;24,37;26,73;20,62;21,91;1.217.310;74.533.680
11-03-2018;23,98;26,08;22,5;24,4;766.433;82.849.204
10-03-2018;25,68;28,13;23,69;24,06;812.526;81.517.430
09-03-2018;25,57;26,27;22,06;25,92;894.606;87.639.422
08-03-2018;29,93;30,44;25,27;25,84;1.257.440;87.171.907
07-03-2018;33,13;34,41;28,11;29,95;1.025.450;100.834.569
06-03-2018;38;38;32,57;33,18;1.059.100;111.477.517
05-03-2018;40,28;40,28;37,01;38,31;6.079.340;128.419.428
04-03-2018;39,1;40,48;37,05;40,11;4.895.740;134.191.511
03-03-2018;39,19;41,17;38,55;39,21;4.106.280;130.921.942
02-03-2018;40,61;40,99;36,12;39,28;3.142.510;130.882.696
01-03-2018;37,99;41,46;36,9;40,7;3.037.240;135.310.110
